ORF,ranks,weighted_rank
Q0010,41,0.436851486
Q0017,20,0.55965966
Q0032,25,0.475035035
Q0045,314,0.423066378
Q0050,105,0.476638543
Q0055,86,0.369427567
Q0060,148,0.354320537
Q0065,196,0.38034463
Q0070,149,0.356275739
Q0075,22,0.659432159
Q0080,123,0.569756749
Q0085,558,0.386224935
Q0092,50,0.433753754
Q0105,412,0.408058544
Q0110,234,0.340451563
Q0115,237,0.338993001
Q0120,239,0.427800185
Q0130,585,0.403807226
Q0140,167,0.619895344
Q0142,19,0.523734261
Q0143,24,0.504295963
Q0160,208,0.393253831
Q0182,29,0.49632391
Q0250,500,0.398544545
Q0255,45,0.43525748
Q0275,208,0.486024486
Q0297,15,0.658391725
YAL001C,140,0.407814958
YAL002W,326,0.33967403
YAL003W,653,0.459505447
YAL004W,43,0.340782643
YAL005C,1025,0.298081496
YAL007C,176,0.35721517
YAL008W,68,0.286050757
YAL009W,193,0.386350081
YAL010C,217,0.446225027
YAL011W,153,0.381158937
YAL012W,397,0.330403451
YAL013W,222,0.367525183
YAL014C,140,0.383819534
YAL015C,593,0.281838331
YAL016C-A,1,0.941941942
YAL016C-B,51,0.426661956
YAL016W,565,0.318536235
YAL017W,708,0.24901031
YAL018C,103,0.359728661
YAL019W,386,0.290676687
YAL019W-A,1,0.810810811
YAL020C,323,0.289778943
YAL021C,463,0.367737068
YAL022C,190,0.309583267
YAL023C,314,0.364896744
YAL024C,301,0.349801629
YAL025C,628,0.553389377
YAL026C,402,0.367813087
YAL026C-A,1,0.941941942
YAL027W,113,0.359261917
YAL028W,90,0.314859304
YAL029C,479,0.327636614
YAL030W,434,0.474479087
YAL031C,58,0.347675261
YAL031W-A,1,0.941941942
YAL032C,420,0.394380094
YAL033W,234,0.370515815
YAL034C,173,0.365457943
YAL034W-A,221,0.447592389
YAL035W,864,0.500361473
YAL036C,539,0.306878307
YAL037C-A,1,0.551551552
YAL037W,2,0.471971972
YAL038W,1098,0.366199533
YAL039C,250,0.300304304
YAL040C,575,0.342229186
YAL041W,347,0.402010079
YAL042C-A,1,0.971971972
YAL042W,390,0.294722928
YAL043C,259,0.360259874
YAL044C,392,0.312013544
YAL044W-A,141,0.397681369
YAL045C,2,0.549049049
YAL046C,235,0.376904564
YAL047C,193,0.369825784
YAL047W-A,1,0.930930931
YAL048C,504,0.325801992
YAL049C,196,0.267777982
YAL051W,87,0.42747345
YAL053W,156,0.344414928
YAL054C,630,0.334153201
YAL055W,96,0.406729646
YAL056W,110,0.371962872
YAL058W,567,0.368827381
YAL059C-A,1,0.970970971
YAL059W,449,0.502901565
YAL060W,301,0.292295618
YAL061W,385,0.32024492
YAL062W,512,0.345034488
YAL063C,118,0.292826725
YAL063C-A,1,0.203203203
YAL064C-A,7,0.467324467
YAL064W,61,0.35263132
YAL064W-B,55,0.366075166
YAL065C,27,0.383568754
YAL066W,15,0.413279947
YAL067C,170,0.317800153
YAL067W-A,2,0.416916917
YAL068C,37,0.620431242
YAL068W-A,14,0.371728872
YAL069W,20,0.659409409
YAR002C-A,211,0.392847824
YAR002W,265,0.397012106
YAR003W,257,0.359947496
YAR007C,605,0.474466202
YAR008W,103,0.393548889
YAR009C,73,0.353970409
YAR010C,93,0.287696298
YAR014C,258,0.373838955
YAR015W,532,0.315821461
YAR018C,281,0.276404518
YAR019C,437,0.34277527
YAR019W-A,1,0.788788789
YAR020C,106,0.437484654
YAR023C,31,0.29845975
YAR027W,48,0.366929429
YAR028W,30,0.421488155
YAR029W,29,0.396292845
YAR030C,4,0.623123123
YAR031W,67,0.357237835
YAR033W,52,0.344325094
YAR035C-A,2,0.382382382
YAR035W,188,0.35070709
YAR042W,839,0.27280439
YAR047C,6,0.62629296
YAR050W,209,0.300716985
YAR053W,39,0.270090603
YAR060C,2,0.187687688
YAR064W,77,0.40991641
YAR066W,2,0.902402402
YAR068W,104,0.409650035
YAR070C,37,0.521494467
YAR071W,166,0.364038738
YAR073W,552,0.27758193
YAR075W,450,0.253231009
YBL001C,114,0.275556258
YBL002W,715,0.402991803
YBL003C,738,0.408846516
YBL004W,382,0.542767899
YBL005W,340,0.343820291
YBL005W-A,60,0.246680013
YBL005W-B,24,0.307682683
YBL006C,93,0.390993144
YBL006W-A,1,0.901901902
YBL007C,383,0.361714195
YBL008W,358,0.328132602
YBL008W-A,4,0.312562563
YBL009W,222,0.291485179
YBL010C,14,0.511225511
YBL011W,300,0.335715716
YBL012C,27,0.560783005
YBL013W,546,0.293487627
YBL014C,176,0.339020839
YBL015W,363,0.339419309
YBL016W,766,0.370073729
YBL017C,322,0.345196128
YBL018C,100,0.527157157
YBL019W,714,0.293422274
YBL020W,85,0.367496909
YBL021C,616,0.347061347
YBL022C,685,0.312107728
YBL023C,561,0.457311144
YBL024W,791,0.395361227
YBL025W,111,0.353091831
YBL026W,468,0.416529778
YBL027W,530,0.620276881
YBL028C,334,0.593971217
YBL029C-A,102,0.386190112
YBL029W,46,0.502263133
YBL030C,577,0.320797401
YBL031W,66,0.434601268
YBL032W,515,0.292925936
YBL033C,312,0.31980057
YBL034C,213,0.336392731
YBL035C,346,0.455400487
YBL036C,363,0.22521971
YBL037W,405,0.348190165
YBL038W,610,0.463642331
YBL039C,1060,0.380007366
YBL039C-A,1,0.87987988
YBL039W-B,66,0.357281524
YBL040C,355,0.392493902
YBL041W,626,0.373773134
YBL042C,156,0.336593003
YBL043W,106,0.352985061
YBL044W,45,0.522233344
YBL045C,518,0.404307783
YBL046W,110,0.446455546
YBL047C,356,0.360649976
YBL048W,56,0.33510296
YBL049W,268,0.352120777
YBL050W,312,0.377293961
YBL051C,364,0.282901033
YBL052C,366,0.36315277
YBL053W,1,0.196196196
