Query Strain ID	Query allele name	Array Strain ID	Array allele name	Arraytype/Temp	Genetic interaction score (ε)	P-value	Query single mutant fitness (SMF)	Array SMF	Double mutant fitness	Double mutant fitness standard deviation
YNL181W_tsq2245	pbr1-5001	YDR361C_tsa580	bcp1-ts	TSA26	-0.0274	0.2929		0.9236	0.8962	0.0449
YOR341W_tsq530	rpa190-1	YBR193C_tsa741	med8-51	TSA26	-0.0091	0.3455	0.677	0.7984	0.5314	0.0227
YDL097C_tsq1037	rpn6-1	YGL233W_tsa40	sec15-1	TSA26	0.0451	0.1735	0.9155	0.9734	0.9362	0.0444
YPL093W_tsq3008	nog1-5004	YHR188C_tsa1166	gpi16-5001	TSA26	-0.043	0.06132000000000001		0.9914	0.9484	0.0214
YHR024C_tsq526	mas2-10	YLR276C_tsa1148	dbp9-5001	TSA26	-0.0598	0.01483	0.7592	0.7956	0.5442	0.0222
YKL012W_tsq2977	prp40-5003	YGL116W_tsa368	cdc20-3	TSA26	-0.0342	0.3457	0.8535	0.9507	0.7772	0.1061
YPL151C_tsq1407	prp46-5001	YDL103C_tsa859	qri1-ts1	TSA26	-0.0272	0.2792	0.8265	0.9645	0.77	0.0455
YHR036W_tsq1043	brl1-c371r	YIL144W_tsa246	tid3-1	TSA26	0.0282	0.1229	0.9203	0.9726	0.9233	0.018000000000000002
YER022W_tsq519	srb4-2	YLR440C_tsa726	sec39-2	TSA26	0.0163	0.05391		0.9573	0.9736	0.0063
YDR324C_tsq1775	utp4-5003	YLR005W_tsa1132	ssl1-5001	TSA26	-0.0639	0.03673	0.8781	0.8452	0.6783	0.0274
YFR031C_tsq522	smc2-8	YHR036W_tsa1038	brl1-2221	TSA26	-0.1538	1.032e-08	0.39	0.7939	0.1559	0.0257
YAL041W_tsq408	cdc24-1	YDR437W_tsa1012	gpi19-2xh	TSA26	0.0471	0.1393	0.9201	1.0290000000000001	0.9939	0.0393
YJR112W_tsq440	nnf1-77	YLR045C_tsa545	stu2-11	TSA26	0.0041	0.4977	1.0133	0.8994	0.9155	0.0321
YGL130W_tsq1079	ceg1-c354	YLR060W_tsa1227	frs1-5001	TSA26	0.0365	0.2854	0.6196	0.6412	0.4338	0.0682
YPR103W_tsq1278	pre2-1	YJL011C_tsa1270	rpc17-5001	TSA26	0.0798	0.02028	0.6007	0.8575	0.5949	0.0452
YJL008C_tsq2968	cct8-5002	YLR298C_tsa844	yhc1-8	TSA26	-0.0065	0.4514		0.8759999999999999	0.8695	0.0719
YNL158W_tsq1430	pga1-5001	YPR016C_tsa1008	tif6-ts1	TSA26	0.0013	0.3787	0.9614	0.7506	0.7229	0.0055
YPL085W_tsq119	sec16-2	YMR239C_tsa674	rnt1-47	TSA26	0.1131	1.014e-05	0.9279	0.7992	0.8547	0.0249
YBR038W_tsq2554	chs2-5006	YPL094C_tsa224	sec62-ts	TSA26	-0.1751	0.01329		0.8857	0.7106	0.0703
YBL076C_tsq275	ils1-1	YDL015C_tsa1113	tsc13-5001	TSA26	-0.0109	0.4384	0.9298	0.9102	0.8354	0.0759
YLR259C_tsq2110	hsp60-5005	YKL125W_tsa527	rrn3-s213p	TSA26	-0.0919	0.1099	0.8482	0.8493	0.6285	0.09699999999999999
YLR340W_tsq1339	rpp0-5001	YOR074C_tsa147	cdc21-ts	TSA26	0.0004	0.4392	0.7794	0.9831	0.7666	0.0148
YJL085W_tsq1245	exo70-38	YNR053C_tsa479	nog2-1	TSA26	-0.1473	0.04679	1.0126	0.5877	0.4478	0.0918
YCL059C_tsq1104	krr1-17	YGL093W_tsa446	spc105-15	TSA26	0.0068	0.4587	0.9045	0.955	0.8706	0.021
YMR309C_tsq2234	nip1-5010	YDL030W_tsa597	prp9-1	TSA26	0.0384	3.776e-07	0.6474	0.9485	0.6525	0.0062
