Query Strain ID	Query allele name	Array Strain ID	Array allele name	Arraytype/Temp	Genetic interaction score (ε)	P-value	Query single mutant fitness (SMF)	Array SMF	Double mutant fitness	Double mutant fitness standard deviation
YNL267W_tsq1076	pik1-104	YJL089W_dma2507	sip4	DMA30	0.0107	0.4163		1.0048	1.0155	0.0371
YBL105C_tsq538	pkc1-2	YGR242W_dma2001	ygr242w	DMA26	0.0356	0.162	0.6766	1.007	0.7169	0.0265
YHR068W_tsq1978	dys1-5002	YPL086C_dma4832	elp3	DMA26	-0.0242	0.2955	0.8613	0.8118	0.6751	0.0347
YGR278W_tsq1321	cwc22-5001	YLL051C_dma3091	fre6	DMA30	0.0229	0.2954	0.7184	0.9882	0.7328	0.0329
YMR308C_tsq683	pse1-41	YBR291C_dma447	ctp1	DMA26	0.0165	0.3801	0.8365	0.9625	0.8216	0.0467
YBL105C_tsq539	pkc1-4	YAL004W_dma22	yal004w	DMA26	-0.012	0.3386	0.8378	1.009	0.8333	0.02
YIL026C_tsq1069	irr1-1	YOL049W_dma4340	gsh2	DMA30	-0.0352	0.2377	0.8847	0.928	0.7858	0.0415
YJL057C_sn1697	iks1	YGR092W_tsa160	dbf2-3	TSA26	0.0404	0.0004588	1.0292	0.8621	0.9277	0.0097
YGL231C_sn84	emc4	YIL147C_tsa1001	sln1-ts4	TSA26	0.0358	0.2739	0.968	0.9341	0.94	0.0542
YDR354W_sn4483	trp4	YBR160W_tsa150	cdc28-4	TSA26	-0.0309	0.2937	0.9702	0.9326	0.8739	0.0508
YMR302C_sn4185	yme2	YFL034C-B_tsa935	mob2-14	TSA26	0.0143	0.3896	0.9407	0.7416	0.7119	0.0352
YER093C_tsq811	tsc11-5	YLR456W_dma3514	ylr456w	DMA30	0.0026	0.4809	0.6309	1.0038	0.6359	0.047
YFL022C_tsq1312	frs2-5001	YCR071C_dma581	img2	DMA30	0.1199	0.02408	0.6013	0.5975	0.4791	0.054
YJL072C_tsq2842	psf2-5001	YGL215W_dma1729	clg1	DMA26	-0.0289	0.1656	0.8666	0.945	0.79	0.0211
YKL042W_tsq1121	spc42-11	YIL166C_dma2395	yil166c	DMA30	0.0119	0.4368	0.8992	0.956	0.8715	0.0523
YLR145W_tsq1174	rmp1-ts	YNL030W_dma3954	hhf2	DMA26	-0.003	0.4081	0.5195	1.0267	0.5304	0.0082
YOL069W_tsq755	nuf2-61	YDR360W_dma1101	opi7	DMA30	-0.0213	0.0281	0.8238	0.8905	0.7123	0.0076
YGL113W_tsq1382	sld3-5001	YMR181C_dma3791	ymr181c	DMA30	-0.0012	0.4911	0.7886	0.9992	0.7868	0.049
YML121W_sn319	gtr1	YKR083C_tsa425	dad2-9	TSA26	0.0396	0.1619	0.8087	0.955	0.8119	0.0345
YBR109C_tsq154	cmd1-1	YER137C_dma1420	yer137c	DMA26	0.0629	0.05945	0.8809	1.0165	0.9583	0.0323
YDR243C_tsq574	prp28-101	YBR296C_dma465	pho89	DMA30	0.0046	0.4485	0.8235	1.0052	0.8324	0.025
YNL047C_sn554	slm2	YJL097W_tsa896	phs1-1	TSA30	-0.2095	1.514e-07	0.9885	0.9416	0.7213	0.0324
YKL128C_sn3541	pmu1	YOL021C_tsa1030	dis3-1	TSA26	-0.0103	0.06973	1.007	0.9155	0.9116	0.0062
YFL031W_sn2018	hac1	YHR107C_tsa50	cdc12-td	TSA26	0.0208	0.4318	0.9398	0.8644	0.8332	0.1807
YFL038C_tsq591	ypt1-3	YHR022C_dma2093	yhr022c	DMA26	0.0167	0.3529	0.9095	0.9922	0.9191	0.0371
YDR037W_tsq1746	krs1-5001	YKL101W_dma2824	hsl1	DMA26	-0.0078	0.338	0.9174	1.0083	0.9172	0.0114
YPR124W_sn2348	ctr1	YHR166C_tsa86	cdc23-1	TSA26	-0.0362	0.3158	0.799	0.8685	0.6577	0.0732
YHR170W_tsq1131	nmd3-4	YLR446W_dma3500	ylr446w	DMA30	0.0484	0.221	0.5539	1.016	0.6112	0.0783
YDR280W_tsq1315	rrp45-5001	YJR126C_dma2717	vps70	DMA30	0.0146	0.3887	0.9865	0.9595	0.9611	0.0431
YHR020W_tsq1453	yhr020w-5001	YBL100C_dma177	ybl100c	DMA30	-0.0538	0.2191	0.8719	1.0175	0.8334	0.0649
YCR054C_tsq1414	ctr86-5001	YJL208C_dma2600	nuc1	DMA26	-0.0417	0.2444		1.0028	0.9611	0.0463
YER172C_tsq1850	brr2-5005	YKR045C_dma2956	ykr045c	DMA26	0.0224	0.3738	0.5755	1.0202	0.6095	0.0664
YLR075W_tsq2649	rpl10-5001	YDL142C_dma729	crd1	DMA26	-0.036	0.3378		0.86	0.824	0.0896
YNL126W_tsq1467	spc98-5001	YPL073C_dma4814	ypl073c	DMA30	0.0012	0.3429	0.9252	1.0155	0.9407	0.0017
YPR105C_tsq3047	cog4-5005	YHR076W_dma2132	ptc7	DMA26	0.0115	0.4136		1.0028	1.0143	0.0382
YGR081C_sn1249	slx9	YOR168W_tsa1198	gln4-5001	TSA26	-0.1282	0.1807	0.7983	0.9588	0.6372	0.1129
YBR160W_tsq150	cdc28-4	YPL259C_dma4971	apm1	DMA30	0.0623	0.1955	0.8987	1.0025	0.9633	0.071
YPR055W_tsq364	sec8-6	YBR114W_dma269	rad16	DMA30	0.03	0.2293	0.8916	1.0042	0.9253	0.0328
YPR103W_tsq1278	pre2-1	YER113C_dma1393	tmn3	DMA30	0.0066	0.4426	0.6016	0.994	0.6046	0.0612
YBR002C_tsq2935	rer2-5008	YDR415C_dma1134	ydr415c	DMA26	-0.0332	2.6719999999999995e-42		1.0235	0.9903	0.0017
YPR016C_tsq1010	tif6-ts1	YKL026C_dma2752	gpx1	DMA26	0.0114	0.4349	0.7506	1.0288	0.7836	0.0704
YNL260C_tsq1413	lto1-5001	YBR067C_dma232	tip1	DMA30	-0.0209	0.3682		1.0043	0.9834	0.0611
YNL008C_sn4491	asi3	YDR013W_tsa583	psf1-1	TSA26	0.0427	0.2096	1.0157	0.8279	0.8835	0.0496
