Query Strain ID	Query allele name	Array Strain ID	Array allele name	Arraytype/Temp	Genetic interaction score (ε)	P-value	Query single mutant fitness (SMF)	Array SMF	Double mutant fitness	Double mutant fitness standard deviation
YOR106W_sn514	vam3	YAL031C_dma25	gip4	DMA30	0.0168	0.325	0.721	1.0028	0.7399	0.0248
YBR282W_S253	mrpl27-supp1	YGR017W_dma1793	ygr017w	DMA30	0.0637	0.01253		1.0	1.0637	0.0194
YLR226W_sn1461	bur2	YHR081W_dma2126	lrp1	DMA26	-0.0391	0.030489999999999996	0.226	0.714	0.1223	0.0205
YBL089W_sn4683	avt5	YMR020W_dma3647	fms1	DMA30	-0.078	0.01214	0.9787	1.0215	0.9217	0.0259
YGR180C_sn1306	rnr4	YKL076C_dma2818	psy1	DMA30	-0.0199	0.3562	0.745	0.954	0.6908	0.0507
YKL175W_sn2429	zrt3	YER116C_dma1413	slx8-supp1	DMA30	0.0528	0.1704	1.0155	0.65	0.7129	0.0422
YDL061C_sn4011	rps29b	YFR049W_dma1595	ymr31	DMA30	0.014	0.2556	0.5607	0.942	0.5422	0.0152
YNL003C_sn2318	pet8	YIL173W_dma2391	vth1	DMA30	0.0298	0.3045	0.736	1.0115	0.7743	0.0538
YLR346C_sn2592	cis1	YFL018C_dma1482	lpd1-supp1	DMA30	-0.0195	0.403	0.9732	0.88	0.837	0.1192
YJL062W_sn830	las21	YER047C_dma1354	sap1	DMA30	0.0701	0.1358	1.0512	1.0385	1.1618	0.0674
YLR133W_sn884	cki1	YDL189W_dma787	rbs1	DMA30	-0.0049	0.4353	1.0335	1.0035	1.0323	0.0205
YGL244W_sn2097	rtf1	YJL004C_dma2439	sys1	DMA30	0.0233	0.1258	0.5465	0.9745	0.5559	0.0144
YOL158C_sn2209	enb1	YLR024C_dma3131	ubr2	DMA30	0.0074	0.4213	0.9962	0.91	0.9139	0.0263
YLR038C_sn2629	cox12	YDR503C_dma1220	lpp1	DMA30	-0.0112	0.4065	0.772	1.038	0.7902	0.0433
YOR018W_sn2382	rod1	YJL130C_dma2510	ura2	DMA30	0.0171	0.259	1.01	1.0333	1.0607	0.0174
YDR042C_sn3143	ydr042c	YFR010W_dma1515	ubp6	DMA30	0.0468	0.1305	1.01	0.7638	0.8183	0.0314
YMR243C_sn2446	zrc1	YBL068W_dma153	prs4	DMA30	0.0283	0.1435	0.8053	1.0092	0.841	0.0205
YMR072W_sn1446	abf2	YAR040C_dma77	yar040c	DMA30	-0.0096	0.4059	0.82	1.0235	0.8296	0.0339
YMR140W_sn153	sip5	YOR050C_dma4468	yor050c	DMA30	-0.0093	0.4297	1.0522	1.0255	1.0697	0.0528
YKL011C_sn1251	cce1	YFL014W_dma1484	hsp12	DMA30	-0.0178	0.3266	0.87	1.0125	0.8631	0.038
YKL039W_sn3075	ptm1	YAL024C_dma5246	lte1-supp1	DMA30	-0.0164	0.4277	1.0023	0.946	0.9318	0.0834
YHR181W_sn70	svp26	YBL017C_dma119	pep1	DMA30	0.0155	0.4014	1.024	0.9715	1.0103	0.0567
YLR344W_sn4081	rpl26a	YPR052C_dma5060	nhp6a	DMA30	-0.0119	0.0	0.971	1.0317	0.9899	0.0001
YMR154C_sn1568	rim13	YOR368W_dma4760	rad17	DMA30	0.0256	0.03883	0.8535	0.9932	0.8733	0.0099
YIL125W_sn4713	kgd1	YER063W_dma1361	tho1	DMA30	0.0144	0.4257	0.948	0.983	0.9463	0.0895
YJL190C_sn4000	rps22a	YHL026C_dma2059	yhl026c	DMA30	-0.013	0.3945	0.6555	0.991	0.6366	0.0423
YOL024W_sn3361	yol024w	YDR497C_dma1223	itr1	DMA30	-0.0489	0.0001135	1.007	1.0217	0.9799	0.0093
YGL045W_sn1386	rim8	YIL098C_dma2349	fmc1	DMA30	0.0392	0.04088	0.768	0.924	0.7488	0.0157
YFL014W_sn2963	hsp12	YOR135C_dma4556	irc14	DMA30	-0.1511	0.061279999999999994	1.0125	0.843	0.7024	0.1539
YMR070W_sn2076	mot3	YPR097W_dma5111	ypr097w	DMA30	0.0135	0.4041	0.9357	1.011	0.9595	0.0427
YHL040C_sn2196	arn1	YLR437C_dma3484	dif1	DMA30	0.0189	0.3211	1.0105	1.042	1.0719	0.031
YNL197C_sn1588	whi3	YGR068C_dma5190	art5	DMA30	0.0275	0.3077		0.9803	1.0078	0.0444
YHR152W_sn1595	spo12	YMR086C-A_dma3673	ymr086c-a	DMA30	0.0132	0.408	1.0267	1.03	1.0707	0.051
YMR069W_sn3840	nat4	YDR369C_dma1097	xrs2	DMA30	-0.0135	0.3891	1.015	0.7365	0.734	0.0375
YBR249C_sn4273	aro4	YNR029C_dma4239	ynr029c	DMA30	-0.021	0.2535	1.021	0.938	0.9367	0.0234
YLL048C_sn2442	ybt1	YPL274W_dma5005	sam3	DMA30	-0.022	0.311	0.9852	1.016	0.9789	0.033
YLR392C_sn3494	art10	YNL052W_dma3962	cox5a	DMA30	-0.0349	0.016280000000000003	1.0095	0.941	0.915	0.0112
YER142C_sn1246	mag1	YNL070W_dma3995	tom7	DMA30	-0.0064	0.4136	0.969	0.9433	0.9076	0.0203
YBR282W_S253	mrpl27-supp1	YMR294W-A_dma3894	ymr294w-a	DMA30	-0.0448	0.2529		1.032	0.9872	0.058
YAR071W_sn2924	pho11	YDR424C_dma1174	dyn2	DMA30	0.0024	0.4876	1.071	0.998	1.0713	0.0832
YOL068C_sn1781	hst1	YNR004W_dma4190	swm2	DMA30	-0.0372	0.2496	0.9828	0.9283	0.8751	0.05
YJL201W_sn716	ecm25	YOR318C_dma4723	yor318c	DMA30	0.0115	0.4309	1.0063	1.041	1.059	0.061
