,genes,smf,dmf,rank,positive_rank,negative_rank,positive_weighted_rank,negative_weighted_rank,absolute_weighted_rank
0,YAL001C,0.8453248128637724,0.00014921027593700804,4960.0,0.3106284398640909,-0.33240352401021006,6.26267015855022e-05,-6.70168395181875e-05,0.0001296435411036897
1,YAL002W,0.7640000000000722,0.00013585417268521986,5327.0,0.5594060490698679,-0.5426919396829541,0.00010501333753892774,-0.00010187571610342672,0.00020688905364235445
2,YAL004W,1.0090000000000132,0.00017658271317019678,4066.0,0.2818213553721594,-0.2838585862032203,6.931169586132794e-05,-6.981273640020175e-05,0.0001391244322615297
3,YAL005C,1.0405000000000462,0.0001819003140578912,4085.0,0.2408667870035829,-0.2864086866433315,5.89637177487351e-05,-7.01122855920028e-05,0.00012907600334073792
4,YAL007C,1.0259999999998852,0.00018302728322814392,5240.0,0.3471065097094412,-0.3220746347402844,6.624170032622924e-05,-6.146462495043596e-05,0.00012770632527666522
5,YAL008W,1.0444999999999736,0.0001865025478568804,5272.0,0.24646073787996364,-0.2313882424067069,4.6749001874044704e-05,-4.389003080552103e-05,9.063903267956572e-05
6,YAL009W,0.9164999999999296,0.00016612934904592446,3955.0,0.3172538276441404,-0.3916199951067871,8.021588562430857e-05,-9.901896210032544e-05,0.00017923484772463402
7,YAL010C,0.6364999999999291,0.00011339990030045572,5316.0,0.4369481780722191,-0.4152209669212646,8.219491686836326e-05,-7.810778158789777e-05,0.00016030269845626103
8,YAL011W,0.899999999999855,0.00015973084840635186,5312.0,0.4799203221677301,-0.5383447988269361,9.034644619121426e-05,-0.0001013450298996491,0.00019169147609086337
9,YAL012W,0.6680000000000029,0.00012207452944217398,4248.0,0.2370643242058804,-0.22725499585675135,5.5806102685000084e-05,-5.349693876100551e-05,0.0001093030414460056
10,YAL013W,0.8320000000001166,0.00014622714249890747,5146.0,0.544426852354851,-0.6884949212644691,0.00010579612366009542,-0.00013379225053720734,0.00023958837419730278
11,YAL014C,1.0182000000002092,0.0001816137075606549,5241.0,0.3100346035733396,-0.29857857124788106,5.9155619838454406e-05,-5.696977127416162e-05,0.00011612539111261604
12,YAL015C,1.0344999999999185,0.00018437845936254064,5276.0,0.2830107458015347,-0.3017180852236882,5.364115727853197e-05,-5.718690015611983e-05,0.0001108280574346518
13,YAL016C-B,0.9974999999999901,0.00018225178979870064,4254.0,0.2407102313923101,-0.2516526977691605,5.658444555531501e-05,-5.915672255974624e-05,0.00011574116811506123
14,YAL017W,0.9894999999998744,0.00017606011205071692,5160.0,0.228858833840615,-0.2621464965865731,4.435248717841376e-05,-5.080358460980098e-05,9.515607178821474e-05
15,YAL018C,1.0230000000000943,0.00018192323389049867,5206.0,0.2651209014266974,-0.2995319835222752,5.092602793444053e-05,-5.753591692706017e-05,0.0001084619448615007
16,YAL019W,0.9589999999998812,0.00017087360458050295,5265.0,0.3427998615418457,-0.3416080615634662,6.510918547803338e-05,-6.488282270911037e-05,0.00012999200818714378
17,YAL020C,0.9841999999999188,0.0001750391553134617,5176.0,0.2919802320766184,-0.3139067315313001,5.641040032392163e-05,-6.064658646277049e-05,0.00011705698678669214
18,YAL021C,0.4459999999999675,8.129447057360021e-05,4250.0,0.2403395792373661,-0.2359967278700965,5.6550489232321435e-05,-5.552864185178741e-05,0.00011207913108410884
19,YAL022C,0.9871999999999336,0.00017350521822727632,4166.0,0.2163354880549418,-0.20186276294424696,5.192882574530528e-05,-4.845481587715962e-05,0.00010038364162246491
20,YAL023C,1.0708000000001272,0.00019043850766525133,5191.0,0.3210465695889341,-0.3579360518294028,6.18467674029925e-05,-6.895319819483774e-05,0.00013079996559783028
21,YAL024C,0.9212703911896128,0.00016252908061666584,5283.0,0.3567306147484636,-0.5312354616411417,6.752425037828196e-05,-0.00010055564293794089,0.00016807989331622282
22,YAL025C,0.6223080108011162,0.00010894147690549892,5288.0,0.4325416905558295,-0.3933248757454879,8.179684012024007e-05,-7.438064972494097e-05,0.00015617748984518104
23,YAL026C,0.6920000000000067,0.00011903371800738962,3956.0,0.4735817023672789,-0.5788276967630025,0.000119712260456845,-0.00014631640464181058,0.0002660286650986556
24,YAL027W,1.0276999999998682,0.00018347328460611217,5251.0,0.2402852973718245,-0.23160043008091,4.575991189712902e-05,-4.410596649798324e-05,8.986587839511226e-05
25,YAL028W,0.9822000000000272,0.0001722355944637817,4154.0,0.17666642877597566,-0.19036631777830876,4.2529231770817435e-05,-4.582723104918361e-05,8.835646282000105e-05
26,YAL029C,1.0276999999998704,0.00018329709192586052,5263.0,0.2964397879086306,-0.2990848418746399,5.632524946012362e-05,-5.6827824790925306e-05,0.00011315307425104893
27,YAL030W,1.0519999999998548,0.00018764492173534467,5267.0,0.22244523478390246,-0.2326846793289388,4.223376396124975e-05,-4.4177839249845984e-05,8.641160321109572e-05
28,YAL031C,1.0028000000001036,0.0001760969354103018,4111.0,0.22097076327653628,-0.19943005581946854,5.375109785369406e-05,-4.8511324694592214e-05,0.00010226242254828628
29,YAL032C,0.909099999999944,0.00016507108141377186,4258.0,0.3670711445154224,-0.4301238812400742,8.620740829389912e-05,-0.00010101547234384082,0.00018722288063773997
30,YAL033W,0.0,0.00018262508048136705,4310.0,0.36095750362946377,-0.3765571957961696,8.374884074929554e-05,-8.736825888542221e-05,0.00017111709963471772
31,YAL034C,1.002999999999996,0.00017569823075821718,4177.0,0.28865753012630696,-0.3015606783287847,6.910642330052836e-05,-7.219551791448041e-05,0.00014130194121500877
32,YAL034W-A,0.8868314091025198,0.00015914238794905022,5286.0,0.3204048157741044,-0.30484177633350545,6.0613850884242226e-05,-5.7669651217083886e-05,0.00011828350210132613
33,YAL036C,1.005500000000082,0.00017970959329494132,5326.0,0.30237908032485383,-0.2800144254563451,5.6774142006168566e-05,-5.2574995391728334e-05,0.00010934913739789688
34,YAL037C-A,1.0120000000000302,0.0001851735788759946,4260.0,0.19921845538140784,-0.19546028180222214,4.676489562943846e-05,-4.588269525873759e-05,9.264759088817604e-05
35,YAL037W,1.0210000000000443,0.00017878188655942462,4103.0,0.1696532387362432,-0.19684680709466734,4.134858365494594e-05,-4.7976311746202145e-05,8.932489540114808e-05
36,YAL038W,0.8887365985344664,0.00015861510611086985,5287.0,0.309644012868967,-0.33344025880225403,5.8567053691879505e-05,-6.306795135280008e-05,0.0001216350050446796
37,YAL039C,0.7894999999999625,0.00014407665133231836,4252.0,0.266138096281222,-0.2749533403881762,6.259127381966651e-05,-6.46644732803801e-05,0.00012725574710004657
38,YAL040C,0.957500000000198,0.00017055341963477806,5249.0,0.3271109925278724,-0.34652197880754865,6.231872595310962e-05,-6.601676106068749e-05,0.00012833548701379709
39,YAL041W,0.8936617485138144,0.00015825285047058876,5359.0,0.5823613434395178,-0.6149927266514493,0.00010866977858546704,-0.00011475885923706837,0.0002234286378225354
40,YAL042C-A,0.9845052378773675,0.00017243113093825917,4045.0,0.20473814003234744,-0.212561307553864,5.061511496473361e-05,-5.254914896263633e-05,0.00010316426392736994
41,YAL042W,1.008499999999927,0.00017943085232517486,5045.0,0.2618555428740334,-0.271332742219985,5.19039728194318e-05,-5.378250589097819e-05,0.00010568647871040998
42,YAL043C,0.9316729801914349,0.00016871363611641697,4266.0,0.17185294595050365,-0.2342448954780824,4.028432863349828e-05,-5.4909727022522824e-05,9.519405565602109e-05
43,YAL044C,0.8170000000000051,0.00013089373330710334,554.0,0.0675787626416731,-0.05912200846127848,0.000121983326068002,-0.00010671842682541242,0.0002287017528934144
44,YAL044W-A,1.011500000000003,0.0001849821157691116,4286.0,0.19676685335963015,-0.2063112119800045,4.590920517023569e-05,-4.81360737237528e-05,9.404527889398848e-05
45,YAL045C,0.9799999999999928,0.00017199239428288465,4085.0,0.19985666878448996,-0.17773259719261875,4.892452112227416e-05,-4.350859172401928e-05,9.243311284629344e-05
46,YAL046C,0.9525000000001316,0.00016995768985053156,5287.0,0.34934289944055674,-0.33538783274129763,6.60758273956037e-05,-6.343632168361976e-05,0.00012951214907922344
47,YAL048C,0.8689999999999131,0.00015436256361095918,5136.0,0.3936500967995531,-0.4527344693234744,7.664526806844882e-05,-8.814923468136184e-05,0.00016479450274981065
48,YAL049C,1.0105000000001363,0.00018033429165533127,5235.0,0.2295071692321977,-0.2274939565883809,4.3840911028117996e-05,-4.3456343187847354e-05,8.729725421596535e-05
49,YAL051W,0.9767000000001171,0.00017427467337287404,5279.0,0.22192376874331995,-0.22464925166884145,4.203897873523772e-05,-4.255526646502016e-05,8.459424520025788e-05
50,YAL053W,0.9781999999997728,0.0001742372197522385,5326.0,0.2481575284259852,-0.2909925942295069,4.659360278369981e-05,-5.463623624286649e-05,0.00010122983902656628
51,YAL054C,0.998499999999878,0.0001782028528832462,5246.0,0.2766712512287601,-0.2713004997575341,5.273946840044989e-05,-5.1715688097128113e-05,0.000104455156497578
52,YAL055W,0.8815000000001819,0.0001571083891312742,5340.0,0.4130633233611861,-0.4001154136257808,7.735268227737567e-05,-7.492798007973423e-05,0.00015228066235710991
53,YAL056C-A,0.9648766786033441,0.00016835643016878407,4134.0,0.20953886014891127,-0.27371502021083466,5.0686710244052084e-05,-6.62106967128289e-05,0.00011689740695688098
54,YAL056W,1.0456999999998855,0.0001863949335260243,5292.0,0.2976915486957776,-0.30176936831530515,5.6253127115604235e-05,-5.7023690157843004e-05,0.00011327681727344725
55,YAL058W,0.9683000000002387,0.00017278327615971803,5345.0,0.2953094453440458,-0.3063283352474497,5.5249662365583875e-05,-5.731119462066412e-05,0.000112560856986248
56,YAL059W,1.0354999999999597,0.0001848700091323199,5313.0,0.30650750869813137,-0.30323710528250897,5.769010139245837e-05,-5.7074553977509695e-05,0.0001147646553699681
57,YAL060W,1.010800000000016,0.0001771125757535214,4034.0,0.17548312404450284,-0.1917583811963084,4.350102232139386e-05,-4.753554318202984e-05,9.103656550342371e-05
58,YAL061W,1.0365000000001152,0.00018549719466272218,5241.0,0.468435180871472,-0.3707911171424692,8.937896982855791e-05,-7.074816201916983e-05,0.00016012713184772776
59,YAL062W,1.0060000000000906,0.00017956144890993327,5241.0,0.2416428609968004,-0.23413152538502,4.610625090570509e-05,-4.467306342015265e-05,9.077931432585772e-05
60,YAL063C,1.061999999999922,0.0001942836711971064,4273.0,0.2049593209027231,-0.2133678785664751,4.7966141095886515e-05,-4.9933975793698825e-05,9.790011688958537e-05
61,YAL063C-A,1.001499999999954,0.00018295654875333847,4008.0,0.1580770530012451,-0.17096492499140908,3.94403824853406e-05,-4.265591940903421e-05,8.20963018943748e-05
62,YAL064C-A,1.0074999999999894,0.00017725365664531133,4203.0,0.2159759957912044,-0.18270837882658825,5.138615174665819e-05,-4.347094428422275e-05,9.485709603088095e-05
63,YAL064W,1.0599999999999543,0.0001925988135189236,2901.0,0.3082438084421708,-0.25610131738166303,0.00010625432900454007,-8.828035759450639e-05,0.00019453468659904648
64,YAL065C,1.0131999999999923,0.00017747212692719905,4131.0,0.19678992358553127,-0.20499698912961492,4.763735744021576e-05,-4.9624059339049846e-05,9.726141677926563e-05
65,YAL066W,0.9625000000000464,0.00016831911605280183,4113.0,0.16175334403758468,-0.1983095457729474,3.932733869136511e-05,-4.8215304102345585e-05,8.754264279371071e-05
66,YAL067C,1.019699999999891,0.0001815356967580242,5280.0,0.2384824108661119,-0.2768503148613611,4.5167123270096946e-05,-5.2433771754045664e-05,9.76008950241426e-05
