#id: 450
#name: S.cerevisiae - Whole organism, SC (GPM,Oct,2012)
#score: 15.55
#weight: 10%
#description: abundance based on Spectral counting, from<a href="http://www.thegpm.org/" target="_blank">GPM, Oct,2012</a><br/><b>Interaction consistency score</b>: 15.55&nbsp<b>Coverage</b>: 90
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 90
#publication_year: 2012
#filename: 4932-GPM_2012_09_Saccharomyces_cerevisiae.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
633090	4932.YLR201C	42.8	2
633742	4932.YMR188C	145	16
633911	4932.YNL015W	842	25
631565	4932.YHR022C	27.0	4
632728	4932.YKR039W	65.1	14
630083	4932.YDR240C	36.7	6
630237	4932.YDR378C	1376	58
629122	4932.YBR072W	985	111
630842	4932.YFR020W	20.4	1
629965	4932.YDR131C	60.8	15
631882	4932.YIL068W-A	85.9	6
631967	4932.YIL147C	12.5	7
632246	4932.YJL193W	22.3	4
635296	4932.YPR057W	6.99	1
635390	4932.YPR146C	53.8	2
630691	4932.YER149C	63.8	11
632781	4932.YKR091W	12.3	1
631811	4932.YIL007C	127	12
633110	4932.YLR221C	43.8	4
631835	4932.YIL027C	218	10
633005	4932.YLR134W	654	312
630199	4932.YDR346C	263	46
632316	4932.YJR033C	21.6	15
631733	4932.YHR165W-A	91.4	5
635036	4932.YPL095C	3.14	1
632276	4932.YJL222W	1.25	4
629804	4932.YDL231C	180	68
630311	4932.YDR449C	62.0	13
630704	4932.YER159C-A	57.0	300
629555	4932.YCR102C	7.21	4
634424	4932.YOL084W	11.6	5
632307	4932.YJR024C	101	15
630595	4932.YER073W	373	71
630840	4932.YFR018C	10.8	1
632161	4932.YJL113W	1.7	3
635143	4932.YPL196W	42.7	3
629361	4932.YBR289W	10.2	2
629869	4932.YDR040C	17.8	27
633539	4932.YMR005W	36.0	4
633057	4932.YLR168C	7.02	1
631304	4932.YGR135W	390	43
630353	4932.YDR490C	11.7	5
629746	4932.YDL174C	186	49
631968	4932.YIL148W	1005	106
634776	4932.YOR244W	8.33	2
632773	4932.YKR083C	24.6	1
632342	4932.YJR059W	68.7	21
633709	4932.YMR159C	36.3	2
630881	4932.YFR053C	1157	267
631608	4932.YHR056C	13.5	4
631227	4932.YGR063C	165	7
632182	4932.YJL132W	56.5	18
632176	4932.YJL127C-B	49.7	2
633710	4932.YMR160W	4.73	2
629293	4932.YBR224W	39.5	3
631954	4932.YIL135C	13.1	2
633749	4932.YMR194C-A	33.4	2
629674	4932.YDL108W	39.1	7
634191	4932.YNL282W	14.0	1
633603	4932.YMR063W	8.65	1
632441	4932.YJR154W	23.2	3
634929	4932.YOR386W	17.0	5
631055	4932.YGL164C	36.6	6
630680	4932.YER141W	71.4	15
634789	4932.YOR257W	105	9
634801	4932.YOR269W	11.8	3
634386	4932.YOL048C	24.6	1
634275	4932.YNR021W	166	32
630242	4932.YDR381W	768	33
629885	4932.YDR056C	64.4	6
631685	4932.YHR123W	34.7	3
632263	4932.YJL209W	2.85	1
629565	4932.YDL004W	323	15
632563	4932.YKL104C	200	69
635425	4932.YPR171W	15.3	3
631788	4932.YHR213W	29.6	1
632348	4932.YJR065C	593	83
634934	4932.YOR391C	11.0	3
630400	4932.YDR532C	4.87	1
634820	4932.YOR288C	65.2	10
634027	4932.YNL124W	29.8	3
631135	4932.YGL241W	24.4	12
632877	4932.YLR009W	76.0	5
629079	4932.YBR033W	65.4	20
634092	4932.YNL184C	48.5	2
633061	4932.YLR172C	229	26
629031	4932.YBL102W	59.8	8
630217	4932.YDR363W	22.8	3
633862	4932.YMR298W	23.9	1
629854	4932.YDR029W	25.9	1
630041	4932.YDR202C	7.04	1
634956	4932.YPL016W	40.0	17
632386	4932.YJR103W	184	56
628828	4932.YAL030W	134	6
631144	4932.YGL250W	119	6
630215	4932.YDR361C	147	17
635350	4932.YPR110C	382	58
630401	4932.YDR533C	364	41
633770	4932.YMR213W	39.9	8
633663	4932.YMR119W-A	19.7	1
631662	4932.YHR100C	23.7	2
630447	4932.YEL027W	233	15
634133	4932.YNL225C	7.05	2
632435	4932.YJR149W	6.19	1
630958	4932.YGL068W	272	10
631123	4932.YGL229C	4.42	2
629412	4932.YCL036W	38.9	9
632856	4932.YLL058W	8.68	2
635281	4932.YPR042C	13.5	3
630416	4932.YEL002C	183	35
633730	4932.YMR177W	82.3	15
632051	4932.YJL006C	15.0	3
633651	4932.YMR108W	677	149
628861	4932.YAL056W	2.15	1
629500	4932.YCR046C	57.1	4
632784	4932.YKR094C	1005	106
633680	4932.YMR135C	70.3	34
628920	4932.YBL005W-A	43.6	43
632344	4932.YJR061W	38.2	15
631587	4932.YHR039C-A	1389	43
629432	4932.YCL056C	175	10
632150	4932.YJL102W	6.28	2
630775	4932.YFL026W	69.4	10
630981	4932.YGL091C	10.6	1
635239	4932.YPR003C	2.5	1
632663	4932.YKL198C	95.9	16
634915	4932.YOR374W	552	132
634992	4932.YPL051W	38.8	4
634913	4932.YOR372C	17.6	2
630127	4932.YDR279W	30.9	6
632890	4932.YLR022C	83.8	7
629823	4932.YDL248W	7.68	1
630755	4932.YFL011W	0.212	1
633119	4932.YLR227W-B	25.9	465
634123	4932.YNL215W	79.9	7
633745	4932.YMR191W	184	16
632792	4932.YKR101W	154	40
630081	4932.YDR238C	194	86
629377	4932.YCL001W	67.2	5
634020	4932.YNL117W	110	23
634715	4932.YOR186W	59.9	4
632103	4932.YJL058C	4.43	2
635379	4932.YPR137C-B	25.5	489
630531	4932.YER021W	215	52
633312	4932.YLR405W	17.9	4
630887	4932.YGL002W	14.3	2
631675	4932.YHR113W	134	28
629664	4932.YDL098C	155	14
628848	4932.YAL044C	586	27
633100	4932.YLR211C	9.17	1
632152	4932.YJL104W	276	14
630827	4932.YFR008W	33.3	3
631193	4932.YGR032W	102	113
633271	4932.YLR365W	74.1	3
629469	4932.YCR020C-A	67.5	2
633149	4932.YLR256W-A	52.1	293
629325	4932.YBR254C	29.0	1
633481	4932.YML088W	16.3	4
633994	4932.YNL094W	4.18	1
634747	4932.YOR215C	399	19
632415	4932.YJR131W	49.8	15
633035	4932.YLR155C	16.4	6
629708	4932.YDL139C	30.5	2
635297	4932.YPR058W	146	16
633538	4932.YMR004W	47.3	12
628921	4932.YBL005W-B	16.5	180
631247	4932.YGR082W	281	22
633690	4932.YMR143W	661	74
629214	4932.YBR154C	206	15
628892	4932.YAR020C	137	4
630078	4932.YDR235W	10.7	3
634556	4932.YOR036W	13.2	1
632524	4932.YKL068W-A	90.7	2
631035	4932.YGL144C	5.5	1
635158	4932.YPL211W	175	12
630154	4932.YDR306C	75.0	14
632685	4932.YKL222C	2.08	2
631412	4932.YGR234W	740	127
633421	4932.YML034C-A	66.5	5
631327	4932.YGR157W	181	57
633685	4932.YMR139W	101	17
633500	4932.YML103C	87.0	57
630805	4932.YFL054C	55.4	12
629145	4932.YBR092C	106	24
634555	4932.YOR035C	56.6	25
632735	4932.YKR046C	470	52
633857	4932.YMR294W	7.71	1
630762	4932.YFL015W-A	220	10
630306	4932.YDR444W	3.49	1
633495	4932.YML100W	225	99
630801	4932.YFL050C	3.64	1
633412	4932.YML025C	61.5	7
632776	4932.YKR086W	3.53	2
633980	4932.YNL080C	48.6	6
634706	4932.YOR178C	44.1	11
629299	4932.YBR230C	345	15
632640	4932.YKL176C	4.36	1
630375	4932.YDR511W	112	6
633375	4932.YLR462W	2.26	3
632349	4932.YJR066W	32.1	40
631382	4932.YGR204W	480	181
632315	4932.YJR032W	75.6	9
629853	4932.YDR028C	150	52
635269	4932.YPR031W	3.72	4
634031	4932.YNL128W	79.8	17
629867	4932.YDR038C	18.4	29
633441	4932.YML052W	217	17
632100	4932.YJL055W	242	24
631303	4932.YGR134W	3.58	2
632453	4932.YKL004W	49.1	3
633204	4932.YLR305C	44.9	35
632300	4932.YJR017C	248	14
633712	4932.YMR162C	4.28	3
635031	4932.YPL090C	1013	128
630313	4932.YDR451C	31.8	4
629583	4932.YDL021W	85.7	12
633434	4932.YML046W	27.2	7
631413	4932.YGR235C	181	17
630357	4932.YDR494W	119	13
632988	4932.YLR118C	133	11
632914	4932.YLR045C	30.6	10
634852	4932.YOR316C	113	12
635085	4932.YPL141C	3.46	1
631678	4932.YHR116W	76.4	4
634126	4932.YNL218W	7.12	2
631359	4932.YGR182C	4309	102
630175	4932.YDR322W	62.5	11
630161	4932.YDR313C	47.6	6
629386	4932.YCL009C	468	71
632057	4932.YJL012C	470	111
630622	4932.YER090W	337	78
632061	4932.YJL016W	4.33	1
632399	4932.YJR115W	149	2
632944	4932.YLR075W	4029	150
631251	4932.YGR086C	772	106
632108	4932.YJL062W-A	173	4
633386	4932.YML003W	243	20
632041	4932.YIR038C	291	24
633821	4932.YMR261C	109	59
633893	4932.YMR323W	16.4	14
629124	4932.YBR074W	104	44
630283	4932.YDR421W	2.37	2
633211	4932.YLR311C	108	7
632127	4932.YJL079C	30.1	1
629434	4932.YCL057W	166	58
632268	4932.YJL214W	0.22	1
633278	4932.YLR372W	75.0	10
632221	4932.YJL168C	12.1	4
633797	4932.YMR239C	874	163
633169	4932.YLR274W	44.9	17
633013	4932.YLR142W	3.1	1
631742	4932.YHR174W	3185	872
633737	4932.YMR183C	304	30
633478	4932.YML085C	200	40
634239	4932.YNL328C	24.4	2
634637	4932.YOR114W	19.7	3
629553	4932.YCR100C	34.8	3
631769	4932.YHR196W	51.1	15
629673	4932.YDL107W	35.0	5
631470	4932.YGR290W	49.5	1
633963	4932.YNL065W	4.42	1
631387	4932.YGR209C	1038	66
631515	4932.YHL030W-A	25.3	1
632461	4932.YKL011C	13.2	2
630718	4932.YER172C	87.1	80
634155	4932.YNL247W	292	85
631456	4932.YGR276C	42.8	8
632406	4932.YJR122W	5.34	1
629637	4932.YDL073W	5.88	2
630520	4932.YER012W	522	37
629019	4932.YBL093C	18.7	1
633811	4932.YMR251W-A	22.0	1
634437	4932.YOL095C	22.4	6
634981	4932.YPL040C	1.77	1
631272	4932.YGR107W	36.1	2
631205	4932.YGR041W	8.72	2
632626	4932.YKL163W	54.6	23
633205	4932.YLR306W	10.9	1
630891	4932.YGL006W	64.4	30
634314	4932.YNR058W	59.8	11
630201	4932.YDR348C	91.9	14
635315	4932.YPR075C	4.39	1
631517	4932.YHL032C	9.09	4
631313	4932.YGR144W	4.65	1
631418	4932.YGR240C	837	353
631362	4932.YGR185C	729	96
629826	4932.YDR003W	11.5	1
634540	4932.YOR022C	11.4	4
631584	4932.YHR037W	158	35
634808	4932.YOR276W	454	23
634291	4932.YNR035C	297	39
631330	4932.YGR160W	55.5	1
633385	4932.YML002W	16.7	7
631154	4932.YGL259W	50.5	2
