,Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity
38,AAC1,YMR056C,mitochondria,16.32,4.0165,mitochondria,38.4817,mitochondria,53.8212,mitochondria,20.0036
62,AAC3,YBR085W,mitochondria,15.91,4.80202,mitochondria,0.0,mitochondria,123.863,"punctate,mitochondria",19.9798
364,AAD10,YJR155W,below threshold,18.88,6.10576,"cytosol,punctate",118.464,cytosol,42.0938,below threshold,12.9503
2044,AAD14,YNL331C,below threshold,15.6,3.8952400000000003,cytosol,230.768,cytosol,,punctate,20.1578
68,AAD15,YOL165C,below threshold,16.36,4.41174,below threshold,19.0048,below threshold,4.85262,below threshold,17.8552
5,AAD16,YFL057C,below threshold,17.12,4.04001,,,,,,
1959,AAD3,YCR107W,below threshold,15.75,3.91715,cytosol,47.6504,missing,,below threshold,18.2137
1500,AAD4,YDL243C,below threshold,15.43,4.18921,"cytosol,nucleus",143.90200000000002,cytosol,54.0244,below threshold,18.7702
8,AAD6,YFL056C,below threshold,17.18,4.32175,,,,,,
683,AAH1,YNL141W,below threshold,16.94,3.98,cytosol,193.83599999999998,cytosol,244.817,cytosol,84.1722
501,AAP1,YHR047C,below threshold,14.82,3.583,cytosol,210.274,cytosol,291.165,cytosol,26.6639
1601,AAR2,YBL074C,cytosol,19.25,8.30987,"cytosol,nucleus",62.7856,nucleus,71.2867,below threshold,21.5242
253,AAT1,YKL106W,mitochondria,42.06,9.51256,mitochondria,63.7429,"punctate,mitochondria",15.4834,mitochondria,26.0869
344,AAT2,YLR027C,,,,punctate,224.551,punctate,321.77099999999996,punctate,186.112
79,ABD1,YBR236C,nucleus,29.13,6.54093,nucleus,70.5231,missing,,missing,
81,ABF1,YKL112W,nucleus,67.62,18.0276,nucleus,74.9893,missing,,nucleus,27.6221
292,ABF2,YMR072W,mitochondria,162.34,41.7062,mitochondria,228.835,mitochondria,379.98400000000004,"punctate,nucleus",70.3454
909,ABM1,YJR108W,below threshold,18.32,4.04261,"cytosol,punctate,nucleus",36.8621,below threshold,8.96336,below threshold,18.2687
1310,ABP1,YCR088W,below threshold,14.46,3.55882,"cytosol,nucleus",45.8475,punctate,31.6241,below threshold,20.3858
71,ABP140,YOR239W,below threshold,16.79,3.75315,"cytosol,punctate,bud",159.02200000000002,"cytosol,punctate,bud",,"punctate,bud neck",78.5807
374,ABZ1,YNR033W,cytosol,29.72,6.718160000000001,cytosol,66.4445,cytosol,83.0868,ambiguous,26.9464
1237,ABZ2,YMR289W,below threshold,16.17,4.54507,cytosol,83.6538,cytosol,104.98700000000001,below threshold,25.8208
647,ACA1,YER045C,below threshold,15.76,3.92665,nucleus,44.0962,nucleus,24.2968,below threshold,19.4881
113,ACB1,YGR037C,cytosol,184.47,55.6389,cytosol,350.5,cytosol,723.0110000000001,cytosol,158.882
238,ACC1,YNR016C,"punctate, cytosol",348.88,113.12,"cytosol,punctate",231.97099999999998,"cytosol,punctate",192.195,cytosol,135.351
1421,ACE2,YLR131C,nucleus,21.84,6.306690000000001,"cytosol,nucleus",35.797,"cytosol,nucleus",40.7651,cytosol,23.7204
808,ACF2,YLR144C,cytosol,29.93,6.982710000000001,cytosol,89.9908,cytosol,94.7346,nucleus,29.3197
95,ACF4,YJR083C,cytosol,31.1,6.856910000000001,"cytosol,bud neck",69.9763,cytosol,98.5837,below threshold,18.7679
1807,ACH1,YBL015W,mitochondria,145.11,60.1639,"cytosol,punctate",84.3347,missing,0.0,below threshold,26.8577
62,ACK1,YDL203C,,,,"punctate,bud",,ER,0.0,"punctate,bud",24.2325
943,ACL4,YDR161W,,,,nucleus,152.04,nucleus,235.502,nucleus,42.4587
576,ACM1,YPL267W,below threshold,18.47,5.78677,"cytosol,nucleus",31.0258,punctate,119.999,below threshold,28.6227
25,ACN9,YDR511W,mitochondria,17.17,4.3032699999999995,,,,,,
287,ACO1,YLR304C,punctate,22.59,6.866560000000001,mitochondria,94.8462,mitochondria,,mitochondria,25.2246
230,ACO2,YJL200C,mitochondria,451.36,124.745,mitochondria,97.3504,mitochondria,127.478,cytosol,333.902
250,ACP1,YKL192C,mitochondria,222.89,68.2375,mitochondria,167.805,mitochondria,451.25800000000004,mitochondria,24.1103
1863,ACS1,YAL054C,nucleus,23.86,15.0339,"cytosol,nucleus",133.768,"ER,vacuole",,nucleus,20.9454
740,ACS2,YLR153C,,,,nucleus,279.89799999999997,nucleus,221.674,nucleus,204.852
618,ADA2,YDR448W,below threshold,15.63,3.04563,"punctate,nucleus",46.7569,"punctate,nucleus",25.7813,nucleus,31.2667
2099,ADD37,YMR184W,below threshold,16.89,3.4348400000000003,cytosol,128.746,cytosol,,cytosol,22.9886
978,ADD66,YKL206C,cytosol,31.29,7.70865,cytosol,106.559,cytosol,149.83700000000002,cytosol,37.1628
1598,ADE1,YAR015W,cytosol,118.59,35.6764,cytosol,192.38400000000001,cytosol,289.55400000000003,cytosol,363.907
1456,ADE12,YNL220W,,,,cytosol,256.49,cytosol,261.724,cytosol,239.687
1510,ADE13,YLR359W,,,,cytosol,168.253,missing,,missing,
1290,ADE16,YLR028C,cytosol,94.01,24.3281,cytosol,179.426,cytosol,308.335,cytosol,88.73100000000001
706,ADE17,YMR120C,cytosol,469.55,170.106,cytosol,179.05599999999998,cytosol,300.012,cytosol,436.338
349,ADE2,YOR128C,cytosol,90.34,27.8839,cytosol,105.09899999999999,cytosol,182.89,cytosol,215.31099999999998
605,ADE3,YGR204W,cytosol,317.77,90.7784,cytosol,233.55,cytosol,247.843,cytosol,224.22099999999998
372,ADE4,YMR300C,cytosol,89.54,26.5233,punctate,16.647000000000002,missing,,missing,
344,ADE6,YGR061C,below threshold,15.84,4.015969999999999,cytosol,271.171,cytosol,205.16400000000002,cytosol,188.622
31,ADE8,YDR408C,below threshold,17.63,3.5736800000000004,,,,,,
582,ADF1,YCL058W-A,,,,nucleus,64.3984,nucleus,21.6675,nucleus,32.6754
2065,ADH1,YOL086C,,,,cytosol,499.67199999999997,cytosol,195.792,cytosol,1878.15
1191,ADH2,YMR303C,cytosol,22.38,8.41704,cytosol,181.405,cytosol,153.39,below threshold,17.8085
385,ADH3,YMR083W,mitochondria,120.86,32.2289,mitochondria,143.437,mitochondria,330.976,"ER,mitochondria",51.9776
1351,ADH4,YGL256W,,,,cytosol,390.542,cytosol,301.025,cytosol,84.9752
1348,ADH5,YBR145W,cytosol,39.58,16.0136,cytosol,85.34100000000001,cytosol,73.2221,cytosol,34.1849
664,ADH6,YMR318C,cytosol,127.02,38.5518,cytosol,327.243,cytosol,433.676,below threshold,17.8083
1130,ADH7,YCR105W,below threshold,17.39,4.07412,cytosol,223.36900000000003,cytosol,253.41,below threshold,19.5506
1164,ADK1,YDR226W,below threshold,19.03,5.04972,cytosol,342.338,cytosol,403.298,cytosol,324.059
21,ADK2,YER170W,mitochondria,17.34,4.8302,"ambiguous,cytosol",27.2727,below threshold,8.00537,below threshold,21.5498
376,ADO1,YJR105W,cytosol,369.19,86.3541,cytosol,343.287,missing,,missing,0.0
131,ADP1,YCR011C,below threshold,14.17,4.23564,vacuole,68.9205,vacuole,42.1223,vacuole,24.2237
10,ADR1,YDR216W,cytosol,22.11,5.6641699999999995,cytosol,59.7755,cytosol,48.5382,cytosol,30.7681
27,ADY2,YCR010C,below threshold,14.87,4.1746300000000005,"cell periphery,vacuole",121.029,"cell periphery,vacuole",304.91700000000003,below threshold,18.3291
681,ADY3,YDL239C,below threshold,16.79,3.95683,punctate,54.9099,"punctate,nucleus",35.665,below threshold,19.2083
901,ADY4,YLR227C,below threshold,15.84,4.25547,punctate,38.6887,missing,,punctate,16.8723
546,AEP1,YMR064W,mitochondria,20.75,5.4743699999999995,nucleus,28.915,nucleus,20.7491,below threshold,19.8391
406,AEP2,YMR282C,mitochondria,22.24,4.7076,mitochondria,44.718999999999994,missing,7.153519999999999,mitochondria,22.9366
151,AEP3,YPL005W,below threshold,16.59,3.7192300000000005,below threshold,24.3975,below threshold,28.9718,below threshold,21.0812
256,AFB1,YLR040C,,,,"cell periphery,vacuole",47.1648,"cell periphery,vacuole",19.5464,below threshold,29.2943
177,AFG1,YEL052W,mitochondria,33.98,8.42215,mitochondria,109.65899999999999,mitochondria,115.788,"cytosol,mitochondria",19.0282
1860,AFG2,YLR397C,cytosol,36.58,8.3712,cytosol,104.652,vacuole,0.0,missing,
435,AFG3,YER017C,mitochondria,39.64,13.0573,mitochondria,99.7029,missing,0.0,mitochondria,32.9418
215,AFI1,YOR129C,below threshold,16.41,4.40163,"cell periphery,nucleus",37.5292,"cell periphery,nucleus",31.1825,below threshold,19.8821
88,AFR1,YDR085C,below threshold,15.8,3.1604200000000002,"punctate,bud neck",39.8609,punctate,16.5204,punctate,17.5073
504,AFT1,YGL071W,below threshold,17.15,3.6638699999999997,"cytosol,nucleus",33.7444,nucleus,30.7148,nucleus,51.0549
1941,AFT2,YPL202C,cytosol,19.14,9.267660000000001,cytosol,37.7644,cytosol,12.2176,below threshold,22.9944
253,AGA1,YNR044W,,,,"cell periphery,vacuole",31.8933,"cell periphery,vacuole",12.356,below threshold,19.6519
657,AGA2,YGL032C,,,,ER,86.8549,"ER,vacuole",33.532,below threshold,19.6719
72,AGC1,YPR021C,below threshold,14.36,3.8338099999999997,mitochondria,131.77700000000002,punctate,86.3794,punctate,20.0815
131,AGE1,YDR524C,below threshold,14.52,3.94426,punctate,33.5935,cytosol,11.6521,below threshold,19.7891
92,AGE2,YIL044C,punctate,36.57,8.82496,"cytosol,punctate",116.916,"cytosol,punctate",145.716,punctate,37.7377
60,AGP1,YCL025C,punctate,32.18,9.33076,ER,60.3589,"cell periphery,vacuole",66.6869,ER,45.3078
122,AGP2,YBR132C,ER,30.68,9.93608,ER,50.6298,"ER,vacuole",50.4856,below threshold,20.434
234,AGP3,YFL055W,below threshold,16.39,4.35098,ER,56.0688,ER,11.7179,below threshold,17.5709
111,AGX1,YFL030W,below threshold,17.28,4.72194,cytosol,111.916,cytosol,215.266,below threshold,18.4907
1250,AHA1,YDR214W,cytosol,107.97,31.267,cytosol,176.15099999999998,cytosol,247.859,cytosol,122.99799999999999
1827,AHC1,YOR023C,,,,"cytosol,nucleus",41.6458,nucleus,,punctate,18.3062
2148,AHC2,YCR082W,nucleus,29.41,6.627089999999999,"cytosol,nucleus",63.6477,"cytosol,nucleus",7.19937,nucleus,29.8553
67,AHK1,YDL073W,,,,"cytosol,punctate,bud",51.1467,"cytosol,punctate,bud",37.0111,below threshold,21.2187
157,AHP1,YLR109W,nucleus:cytosol,2851.58,690.431,cytosol,236.16,cytosol,340.777,cytosol,23.8997
57,AHT1,YHR093W,below threshold,17.48,3.5811599999999997,,,,,,
593,AIF1,YNR074C,below threshold,16.2,3.96156,ER,136.238,ER,152.465,below threshold,19.3359
176,AIM10,YER087W,,,,mitochondria,39.0409,missing,,mitochondria,20.1083
8,AIM11,YER093C-A,below threshold,16.74,3.15825,"punctate,mitochondria",23.9843,punctate,11.4297,below threshold,14.0146
177,AIM14,YGL160W,cytosol,20.18,4.954969999999999,ER,44.9764,ER,35.7737,below threshold,19.6581
203,AIM17,YHL021C,mitochondria,58.08,21.8995,mitochondria,103.604,mitochondria,96.22200000000001,cytosol,62.7257
215,AIM18,YHR198C,mitochondria,22.12,5.67009,mitochondria,75.7437,mitochondria,120.177,mitochondria,28.647
91,AIM19,YIL087C,mitochondria,17.77,3.5873800000000005,mitochondria,88.5462,mitochondria,15.2787,mitochondria,25.8284
974,AIM2,YAL049C,below threshold,18.42,5.03549,cytosol,260.528,cytosol,352.906,cytosol,29.7075
199,AIM20,YIL158W,vacuole,22.75,5.2186,punctate,33.8602,punctate,14.5934,ambiguous,24.1003
46,AIM21,YIR003W,,,,"cytosol,punctate,bud",85.0191,"punctate,bud neck",106.434,"punctate,bud neck",37.222
94,AIM22,YJL046W,below threshold,18.02,3.73849,mitochondria,104.09,mitochondria,26.8145,punctate,19.4251
232,AIM23,YJL131C,mitochondria,19.3,4.88545,mitochondria,66.2327,mitochondria,10.8626,below threshold,18.8151
243,AIM24,YJR080C,mitochondria,39.45,9.980360000000001,mitochondria,108.87700000000001,missing,0.0,mitochondria,18.7831
235,AIM25,YJR100C,below threshold,15.77,4.0595300000000005,mitochondria,101.74799999999999,mitochondria,129.808,mitochondria,18.6888
39,AIM26,YKL037W,below threshold,15.39,3.90933,below threshold,12.1047,below threshold,4.7894,below threshold,18.8044
68,AIM27,YKL207W,below threshold,17.03,4.48115,,,,,,
1760,AIM29,YKR074W,nucleus:cytosol,38.71,9.05682,"cytosol,nucleus",206.21,nucleus,251.767,nucleus,30.1402
2094,AIM3,YBR108W,cytosol,18.82,4.311030000000001,"cytosol,punctate",83.4289,"cytosol,punctate",0.0,"punctate,bud neck",24.022
294,AIM32,YML050W,below threshold,15.87,3.21253,mitochondria,67.7574,"punctate,mitochondria",12.9093,below threshold,19.3865
28,AIM33,YML087C,below threshold,15.79,3.96529,below threshold,14.3225,below threshold,4.43014,below threshold,19.6626
1218,AIM34,YMR003W,mitochondria,24.61,4.74335,nucleus,21.1695,below threshold,57.25,below threshold,16.917
298,AIM36,YMR157C,mitochondria,22.01,5.2990900000000005,mitochondria,112.213,mitochondria,55.8215,mitochondria,23.5994
72,AIM37,YNL100W,mitochondria,46.65,11.1119,,,,,,
73,AIM38,YNR018W,mitochondria,61.07,17.234,,,,,,
267,AIM39,YOL053W,below threshold,15.53,3.3304300000000002,"cytosol,punctate",33.518,punctate,8.97075,below threshold,18.9725
627,AIM4,YBR194W,nucleus,21.27,4.18396,nucleus,60.825,nucleus,0.0,nucleus,27.3334
319,AIM41,YOR215C,mitochondria,64.08,17.8106,mitochondria,156.612,mitochondria,336.231,"punctate,bud neck",48.6147
75,AIM43,YPL099C,below threshold,15.02,3.4731199999999998,,,,,,
83,AIM44,YPL158C,bud neck,,6.33922,bud neck,28.7841,nucleus,5.84963,bud neck,19.1268
370,AIM45,YPR004C,mitochondria,107.59,27.8183,mitochondria,104.339,missing,57.25,mitochondria,42.0525
216,AIM46,YHR199C,mitochondria,20.67,4.8152099999999995,mitochondria,132.041,mitochondria,190.33900000000003,"punctate,nucleus",22.3483
77,AIM5,YBR262C,below threshold,14.45,4.07945,,,,,,
545,AIM6,YDL237W,below threshold,17.29,3.7976199999999998,ER,110.103,ER,142.126,"ambiguous,ER",25.7498
1342,AIM7,YDR063W,cytosol,40.33,10.8041,"cytosol,punctate",195.99599999999998,cytosol,460.665,"punctate,bud neck",42.0849
175,AIM9,YER080W,below threshold,15.93,3.35298,mitochondria,165.562,mitochondria,120.12899999999999,"punctate,nucleus",19.3615
1553,AIP1,YMR092C,"punctate, cytosol",99.57,34.5738,"cytosol,punctate",217.041,punctate,248.375,"punctate,bud neck",78.0084
83,AIR1,YIL079C,nucleus,27.83,6.23415,nucleolus,45.3701,"nucleus,nucleolus",17.2436,"nucleus,nucleolus",33.3302
514,AIR2,YDL175C,nucleus,26.96,6.9473199999999995,nucleus,42.9417,nucleus,17.6966,nucleus,28.5122
10,AKL1,YBR059C,cytosol,37.78,8.46681,"cytosol,punctate,bud neck",84.7497,"cytosol,cell periphery,punctate",113.39,below threshold,28.2134
83,AKR1,YDR264C,punctate,44.12,12.5918,,,,,,
32,AKR2,YOR034C,cytosol,21.03,4.79013,"punctate,mitochondria",56.5762,vacuole,38.3454,"punctate,vacuole membrane",25.6051
2106,ALA1,YOR335C,cytosol,374.07,116.854,cytosol,256.64099999999996,missing,16.0791,below threshold,19.3304
1108,ALB1,YJL122W,below threshold,16.22,3.32815,nucleus,194.83599999999998,"cell periphery,vacuole",0.0,nucleus,51.8578
1436,ALD2,YMR170C,cytosol,23.67,7.6371199999999995,cytosol,312.63599999999997,cytosol,350.29699999999997,below threshold,20.505
1410,ALD3,YMR169C,cytosol,24.01,7.82647,cytosol,190.475,cytosol,334.694,below threshold,18.3493
349,ALD4,YOR374W,below threshold,15.96,4.16349,mitochondria,114.443,mitochondria,164.342,mitochondria,33.8066
173,ALD5,YER073W,mitochondria,171.79,57.4782,mitochondria,46.8673,mitochondria,65.7314,"cytosol,punctate",48.7387
1386,ALD6,YPL061W,cytosol,2806.67,620.064,cytosol,119.305,cytosol,164.12099999999998,cytosol,585.883
421,ALE1,YOR175C,below threshold,15.9,4.158519999999999,ER,49.4453,ER,33.3897,below threshold,19.2829
814,ALF1,YNL148C,below threshold,15.54,3.8658099999999997,cytosol,109.34,nucleus,169.171,cytosol,26.4769
116,ALG1,YBR110W,ER,26.44,7.75617,punctate,73.57600000000001,punctate,132.793,punctate,25.4456
392,ALG11,YNL048W,,,,punctate,106.572,punctate,118.87899999999999,punctate,33.1194
410,ALG12,YNR030W,ER,34.1,8.93132,ER,144.225,ER,150.872,ER,22.8209
69,ALG13,YGL047W,ER,24.26,6.550680000000001,cytosol,89.7782,cytosol,123.016,"ambiguous,ER",25.1775
99,ALG14,YBR070C,cytosol,21.84,5.58798,punctate,31.3502,ER,37.3092,punctate,21.636
138,ALG2,YGL065C,below threshold,16.08,3.5502599999999997,ER,83.7657,ER,136.929,ER,34.5521
45,ALG3,YBL082C,cytosol,20.92,5.03299,ER,138.247,ER,223.747,ER,25.480999999999998
405,ALG5,YPL227C,ER,32.62,8.484960000000001,punctate,91.5692,punctate,83.3524,punctate,39.4891
498,ALG6,YOR002W,below threshold,18.0,3.8307900000000004,ER,115.12200000000001,"ER,vacuole",175.585,punctate,19.3771
28,ALG7,YBR243C,,,,ER,113.11,ER,167.173,ER,30.5543
516,ALG8,YOR067C,below threshold,18.81,4.96437,ER,107.68299999999999,ER,113.92299999999999,ER,34.3525
702,ALG9,YNL219C,ER,42.09,10.9407,ER,72.7619,ER,10.0929,ER,35.9033
873,ALK1,YGL021W,cytosol,24.5,6.537030000000001,cytosol,23.5969,below threshold,7.0209,below threshold,17.2829
401,ALK2,YBL009W,below threshold,17.57,4.90564,"cytosol,nucleus",43.2417,below threshold,12.1084,below threshold,18.6379
64,ALO1,YML086C,mitochondria,98.3,32.8377,mitochondria,169.074,mitochondria,214.767,mitochondria,41.1048
504,ALP1,YNL270C,,,,ER,67.0264,ER,19.563,below threshold,17.8441
170,ALR1,YOL130W,below threshold,16.87,4.69112,cell periphery,88.0694,"cell periphery,vacuole",92.3605,"cell periphery,punctate",24.6028
73,ALR2,YFL050C,below threshold,14.99,4.13506,"cell periphery,punctate",54.6603,"cell periphery,vacuole",71.3275,below threshold,19.1431
276,ALT1,YLR089C,below threshold,14.33,3.31104,mitochondria,146.141,mitochondria,168.67700000000002,"punctate,nucleus,mitochondria",39.1091
469,ALT2,YDR111C,cytosol,31.44,6.91257,cytosol,88.5496,cytosol,124.25299999999999,cytosol,31.1214
176,ALY1,YKR021W,cytosol,22.77,4.964519999999999,cytosol,52.4506,cytosol,55.8939,below threshold,19.451
148,ALY2,YJL084C,cytosol,28.89,5.79672,cytosol,51.9269,cytosol,39.7605,below threshold,21.0873
1724,AMA1,YGR225W,below threshold,16.18,3.06115,cytosol,33.0041,below threshold,7.6055399999999995,cytosol,17.5068
