,Gene Name,DTT Fold Change,DTT Intensity (Median),DTT Localization,DTT STD,Description,H2O2 Fold Change,H2O2 Intensity (Median),H2O2 Localization,H2O2 STD,MA3 Fold Change,MA3 Intensity (Median),MA3 Localization,MA3 STD,N' NATIVEpr-GFP in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' NOP1pr-GFP in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' TEF2pr-mCherry in SD Localization,ORF,Pup2 DAmP Localization,SD Intensity (Median),SD Localization,SD STD,Significance of DTT Intensity (Median) Change,Significance of H2O2 Intensity (Median) Change,Significance of MA3 Intensity (Median) Change,Significance of Starvation Intensity (Median) Change,Starvation Fold Change,Starvation Intensity (Median),Starvation Localization,Starvation STD
0,AAC1,0.94,15.36,mitochondria,6.0,"Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; Aac1p is a minor isoform while Pet9p is the major ADP/ATP translocator",1.09,17.85,mitochondria,3.42,1.03,16.77,mitochondria,2.51,20.0,mitochondria,38.48,mitochondria,,,53.82,mitochondria,YMR056C,mitochondria,16.32,mitochondria,4.02,0.0,0.0,0.0,0.0,1.13,18.44,mitochondria,
1,AAC3,0.93,14.92,mitochondria,5.83,"Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP; expressed under anaerobic conditions; similar to Pet9p and Aac1p; has roles in maintenance of viability and in respiration",0.94,14.97,mitochondria,3.04,1.07,17.1,mitochondria,3.99,19.98,"punctate,mitochondria",0.0,mitochondria,31.35,mitochondria,123.86,mitochondria,YBR085W,mitochondria,15.91,mitochondria,4.8,0.0,0.0,0.0,0.0,1.16,18.62,mitochondria,
2,AAD10,0.98,18.54,cytosol,7.8,Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role,0.87,16.43,cytosol,4.37,0.99,18.63,below threshold,2.69,12.95,below threshold,118.46,"cytosol,punctate",27.83,below threshold,42.09,cytosol,YJR155W,below threshold,18.88,below threshold,6.11,0.0,0.0,0.0,0.0,0.92,17.56,cytosol,
3,AAD14,1.01,15.8,cytosol,3.75,Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role,1.18,18.51,cytosol,3.73,1.06,16.54,below threshold,2.07,20.16,punctate,230.77,cytosol,59.28,cytosol,,cytosol,YNL331C,below threshold,15.6,below threshold,3.9,0.0,0.0,0.0,0.0,1.59,24.86,cytosol,
4,AAD15,1.01,16.54,cytosol,6.48,Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role,0.96,15.75,cytosol,3.32,0.99,16.14,below threshold,1.89,17.86,below threshold,19.0,below threshold,23.02,,4.85,below threshold,YOL165C,below threshold,16.36,below threshold,4.41,0.0,0.0,0.0,0.0,0.9,14.84,cytosol,
5,AAD16,,,,,,,,,,,,,,,,,,,,,,YFL057C,,17.12,below threshold,4.04,,,,,,,,
6,AAD3,1.12,17.67,cytosol,6.17,Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role,1.1,17.39,cytosol,3.24,1.08,17.05,below threshold,2.7,18.21,below threshold,47.65,cytosol,24.13,below threshold,,missing,YCR107W,below threshold,15.75,below threshold,3.92,0.0,0.0,0.0,0.0,1.55,24.45,cytosol,
7,AAD4,1.09,16.92,cytosol,5.36,"Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase, involved in the oxidative stress response; expression induced in cells treated with the mycotoxin patulin",1.07,16.62,cytosol,3.83,1.15,17.7,below threshold,3.37,18.77,below threshold,143.9,"cytosol,nucleus",0.0,,54.02,cytosol,YDL243C,below threshold,15.43,below threshold,4.19,0.0,0.0,0.0,0.0,1.19,18.42,cytosol,
8,AAD6,,,,,,,,,,,,,,,,,,,,,,YFL056C,,17.18,below threshold,4.32,,,,,,,,
9,AAH1,0.93,15.88,cytosol,6.54,"Adenine deaminase (adenine aminohydrolase), converts adenine to hypoxanthine; involved in purine salvage; transcriptionally regulated by nutrient levels and growth phase; Aah1p degraded upon entry into quiescence via SCF and the proteasome",1.08,18.35,cytosol,3.21,1.01,17.16,below threshold,2.41,84.17,cytosol,193.84,cytosol,72.58,cytosol,244.82,cytosol,YNL141W,below threshold,16.94,below threshold,3.98,0.0,0.0,0.0,0.0,1.37,23.28,cytosol,
10,AAP1,1.21,17.99,cytosol,5.61,"Arginine/alanine aminopeptidase, overproduction stimulates glycogen accumulation",0.95,14.2,cytosol,3.11,1.05,15.53,below threshold,2.05,26.66,cytosol,210.27,cytosol,80.74,cytosol,291.17,cytosol,YHR047C,below threshold,14.82,below threshold,3.58,0.0,0.0,0.0,0.0,1.07,15.89,cytosol,
11,AAR2,1.16,22.44,cytosol,14.69,"Component of the U5 snRNP, required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron",1.21,23.38,cytosol,7.31,0.86,16.53,cytosol,1.97,21.52,below threshold,62.79,"cytosol,nucleus",0.0,,71.29,nucleus,YBL074C,cytosol,19.25,cytosol,8.31,0.0,0.0,0.0,0.0,1.47,28.39,cytosol,
12,AAT1,1.08,45.52,mitochondria,12.6,"Mitochondrial aspartate aminotransferase, catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis",0.93,39.46,mitochondria,5.7,1.05,44.27,mitochondria,6.19,26.09,mitochondria,63.74,mitochondria,28.22,,15.48,"punctate,mitochondria",YKL106W,mitochondria,42.06,mitochondria,9.51,0.0,0.0,0.0,0.0,0.8,33.94,mitochondria,
13,AAT2,,,,,,,,,,,,,,186.11,punctate,224.55,punctate,72.54,punctate,321.77,punctate,YLR027C,,,,,,,,,,,,
14,ABD1,0.93,27.24,nucleus,9.36,"Methyltransferase, catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA",0.99,28.86,nucleus,5.23,1.02,29.65,nucleus,4.09,,missing,70.52,nucleus,,,,missing,YBR236C,nucleus,29.13,nucleus,6.54,0.0,0.0,0.0,-1.0,0.67,19.78,nucleus,
15,ABF1,0.99,66.98,nucleus,15.24,"DNA binding protein with possible chromatin-reorganizing activity involved in transcriptional activation, gene silencing, and DNA replication and repair",1.08,73.2,nucleus,13.21,1.18,79.47,nucleus,20.25,27.62,nucleus,74.99,nucleus,37.49,nucleus,,missing,YKL112W,nucleus,67.62,nucleus,18.03,0.0,0.0,0.0,0.0,1.17,79.47,nucleus,
16,ABF2,0.89,145.67,mitochondria,79.21,"Mitochondrial DNA-binding protein involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family; activity may be regulated by protein kinase A phosphorylation",0.84,137.15,mitochondria,26.72,0.74,120.83,mitochondria,22.44,70.35,"punctate,nucleus",228.84,mitochondria,62.26,,379.98,mitochondria,YMR072W,mitochondria,162.34,mitochondria,41.71,0.0,0.0,0.0,1.0,1.53,248.89,mitochondria,
17,ABM1,0.79,14.59,cytosol,5.08,"Protein of unknown function, required for normal microtubule organization",0.99,18.17,cytosol,4.11,0.83,15.22,below threshold,1.91,18.27,below threshold,36.86,"cytosol,punctate,nucleus",23.67,below threshold,8.96,below threshold,YJR108W,below threshold,18.32,below threshold,4.04,0.0,0.0,0.0,0.0,0.9,16.59,cytosol,
18,ABP1,1.14,16.59,cytosol,5.53,"Actin-binding protein of the cortical actin cytoskeleton, important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organization",1.11,16.05,cytosol,3.2,1.11,16.09,below threshold,2.48,20.39,below threshold,45.85,"cytosol,nucleus",25.56,below threshold,31.62,punctate,YCR088W,below threshold,14.46,below threshold,3.56,0.0,0.0,0.0,0.0,1.39,20.11,cytosol,
19,ABP140,1.0,16.83,cytosol,5.51,"Nonessential protein that binds actin filaments and localizes to actin patches and cables, has similarity to S-adenosylmethionine (AdoMet)-dependent methyltransferases",1.15,19.43,cytosol,3.48,1.06,17.8,below threshold,2.62,78.58,"punctate,bud neck",159.02,"cytosol,punctate,bud",58.17,cytosol,,"cytosol,punctate,bud",YOR239W,below threshold,16.79,below threshold,3.75,0.0,0.0,0.0,0.0,0.9,15.18,cytosol,
20,ABZ1,1.01,30.22,cytosol,13.43,"Para-aminobenzoate (PABA) synthase, has similarity to Escherichia coli PABA synthase components PabA and PabB",1.1,32.73,cytosol,6.21,1.19,35.52,cytosol,5.06,26.95,ambiguous,66.44,cytosol,,,83.09,cytosol,YNR033W,cytosol,29.72,cytosol,6.72,0.0,0.0,0.0,0.0,1.24,37.09,cytosol,
21,ABZ2,0.95,15.52,cytosol,4.52,"Aminodeoxychorismate lyase (4-amino-4-deoxychorismate lyase), catalyzes the third step in para-aminobenzoic acid biosynthesis; involved in folic acid biosynthesis",1.08,17.49,cytosol,3.34,1.04,16.86,below threshold,2.63,25.82,below threshold,83.65,cytosol,0.0,,104.99,cytosol,YMR289W,below threshold,16.17,below threshold,4.55,0.0,0.0,0.0,0.0,1.67,27.08,cytosol,
22,ACA1,1.09,17.3,cytosol,6.35,"Basic leucine zipper (bZIP) transcription factor of the ATF/CREB family, may regulate transcription of genes involved in utilization of non-optimal carbon sources",1.04,16.48,cytosol,3.46,1.09,17.25,below threshold,2.37,19.49,below threshold,44.1,nucleus,25.46,below threshold,24.3,nucleus,YER045C,below threshold,15.76,below threshold,3.93,0.0,0.0,0.0,0.0,0.9,14.21,cytosol,
23,ACB1,1.87,344.96,cytosol,194.72,"Acyl-CoA-binding protein, transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes",1.18,218.62,cytosol,60.38,0.82,150.45,cytosol,28.05,158.88,cytosol,350.5,cytosol,80.29,cytosol,723.01,cytosol,YGR037C,cytosol,184.47,cytosol,55.64,1.0,0.0,0.0,1.0,1.49,276.1,cytosol,
24,ACC1,,,punctate,,"Acetyl-CoA carboxylase, biotin containing enzyme that catalyzes the carboxylation of acetyl-CoA to form malonyl-CoA; required for de novo biosynthesis of long-chain fatty acids",0.82,288.85,"punctate, cytosol",56.62,0.87,303.42,"punctate, cytosol",51.63,135.35,cytosol,231.97,"cytosol,punctate",58.85,cytosol,192.2,"cytosol,punctate",YNR016C,punctate,348.88,"punctate, cytosol",113.12,0.0,0.0,0.0,0.0,0.62,216.69,"punctate, cytosol",
25,ACE2,0.99,21.65,nucleus,10.86,"Transcription factor that activates expression of early G1-specific genes, localizes to daughter cell nuclei after cytokinesis and delays G1 progression in daughters, localization is regulated by phosphorylation; potential Cdc28p substrate",1.05,23.13,nucleus,4.83,0.95,20.75,nucleus,4.92,23.72,cytosol,35.8,"cytosol,nucleus",33.23,cytosol,40.77,"cytosol,nucleus",YLR131C,nucleus,21.84,nucleus,6.31,0.0,0.0,0.0,,,,nucleus,
26,ACF2,0.99,29.68,cytosol,9.08,"Intracellular beta-1,3-endoglucanase, expression is induced during sporulation; may have a role in cortical actin cytoskeleton assembly",0.98,29.55,cytosol,5.84,0.99,29.56,cytosol,6.38,29.32,nucleus,89.99,cytosol,,,94.73,cytosol,YLR144C,cytosol,29.93,cytosol,6.98,0.0,0.0,0.0,0.0,0.9,27.11,cytosol,
27,ACF4,0.91,28.47,cytosol,7.53,"Protein of unknown function, computational analysis of large-scale protein-protein interaction data suggests a possible role in actin cytoskeleton organization; potential Cdc28p substrate",0.81,25.21,cytosol,5.46,1.32,41.12,cytosol,9.57,18.77,below threshold,69.98,"cytosol,bud neck",47.96,cytosol,98.58,cytosol,YJR083C,cytosol,31.1,cytosol,6.86,0.0,0.0,0.0,0.0,0.86,26.79,cytosol,
28,ACH1,1.3,189.84,mitochondria,107.77,"Protein with CoA transferase activity, particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth",0.83,120.82,mitochondria,32.41,1.09,158.59,mitochondria,49.65,26.86,below threshold,84.33,"cytosol,punctate",0.0,,0.0,missing,YBL015W,mitochondria,145.11,mitochondria,60.16,0.0,0.0,0.0,0.0,0.88,128.25,mitochondria,
29,ACK1,,,,,,,,,,,,,,24.23,"punctate,bud",,"punctate,bud",0.0,,0.0,ER,YDL203C,,,,,,,,,,,,
30,ACL4,,,,,Putative protein of unknown function; non-essential gene; proposed function in rRNA and ribosome biosynthesis based on transcriptional co-regulation; genetic interactions suggest a role in ER-associated protein degradation (ERAD),,,,,,,,,42.46,nucleus,152.04,nucleus,52.4,nucleus,235.5,nucleus,YDR161W,,,,,,,,,,,,
31,ACM1,1.02,19.0,cytosol,8.06,"Pseudosubstrate inhibitor of the anaphase-promoting complex/cyclosome (APC/C), that suppresses APC/C [Cdh1]-mediated proteolysis of mitotic cyclins; associates with Cdh1p, Bmh1p and Bmh2p; cell cycle regulated protein",0.83,15.35,cytosol,2.85,1.01,18.62,below threshold,3.36,28.62,below threshold,31.03,"cytosol,nucleus",0.0,,120.0,punctate,YPL267W,below threshold,18.47,below threshold,5.79,0.0,0.0,0.0,0.0,0.86,15.97,cytosol,
32,ACN9,,,,,,,,,,,,,,,,,,,,,,YDR511W,,17.17,mitochondria,4.3,,,,,,,,
33,ACO1,0.91,20.76,punctate,7.48,"Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy",0.91,20.59,punctate,6.88,1.13,25.47,punctate,3.52,25.22,mitochondria,94.85,mitochondria,64.81,,,mitochondria,YLR304C,punctate,22.59,punctate,6.87,0.0,0.0,0.0,0.0,0.84,19.03,punctate,
34,ACO2,0.81,368.92,mitochondria,117.72,"Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on glucose, by amino acid starvation via Gcn4p, and repressed on ethanol",0.91,414.75,mitochondria,109.89,1.11,502.3,mitochondria,91.69,333.9,cytosol,97.35,mitochondria,54.04,,127.48,mitochondria,YJL200C,mitochondria,451.36,mitochondria,124.74,0.0,0.0,0.0,-1.0,0.22,102.58,mitochondria,
35,ACP1,1.18,264.39,mitochondria,118.82,"Mitochondrial matrix acyl carrier protein, involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p",0.54,121.83,mitochondria,14.56,0.85,188.96,mitochondria,47.36,24.11,mitochondria,167.8,mitochondria,80.93,,451.26,mitochondria,YKL192C,mitochondria,222.89,mitochondria,68.24,0.0,-1.0,0.0,0.0,1.25,278.74,mitochondria,
36,ACS1,,,nucleus,,"Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetlyation; expressed during growth on nonfermentable carbon sources and under aerobic conditions",,,nucleus,,,,nucleus,,20.95,nucleus,133.77,"cytosol,nucleus",77.13,nucleus,,"ER,vacuole",YAL054C,nucleus,23.86,nucleus,15.03,0.0,0.0,0.0,,,,nucleus,
37,ACS2,,,,,,,,,,,,,,204.85,nucleus,279.9,nucleus,84.64,nucleus,221.67,nucleus,YLR153C,,,,,,,,,,,,
38,ADA2,0.97,15.25,cytosol,5.39,"Transcription coactivator, component of the ADA and SAGA transcriptional adaptor/HAT (histone acetyltransferase) complexes",1.05,16.56,cytosol,2.68,1.07,16.67,below threshold,2.69,31.27,nucleus,46.76,"punctate,nucleus",26.17,below threshold,25.78,"punctate,nucleus",YDR448W,below threshold,15.63,below threshold,3.05,0.0,0.0,0.0,0.0,1.03,16.21,cytosol,
39,ADD37,0.96,16.24,cytosol,5.88,Protein of unknown function involved in ER-associated protein degradation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS; YMR184W is not an essential gene,0.96,16.38,cytosol,2.73,0.98,16.64,below threshold,2.04,22.99,cytosol,128.75,cytosol,52.2,cytosol,,cytosol,YMR184W,below threshold,16.89,below threshold,3.43,0.0,0.0,0.0,0.0,0.85,14.51,cytosol,
40,ADD66,1.34,42.15,cytosol,12.43,Protein involved in 20S proteasome assembly; forms a heterodimer with Pba1p that binds to proteasome precursors; similar to human PAC2 constituent of the PAC1-PAC2 complex involved in proteasome assembly,1.23,38.5,cytosol,6.17,0.94,29.57,cytosol,5.13,37.16,cytosol,106.56,cytosol,40.7,cytosol,149.84,cytosol,YKL206C,cytosol,31.29,cytosol,7.71,1.0,0.0,0.0,0.0,0.97,30.37,cytosol,
41,ADE1,0.91,108.5,cytosol,44.04,"N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine",1.23,146.2,cytosol,26.71,1.05,124.49,cytosol,21.05,363.91,cytosol,192.38,cytosol,0.0,,289.55,cytosol,YAR015W,cytosol,118.59,cytosol,35.68,0.0,0.0,0.0,,,,nucleus,
42,ADE12,,,,,,,,,,,,,,239.69,cytosol,256.49,cytosol,80.95,cytosol,261.72,cytosol,YNL220W,,,,,,,,,,,,
43,ADE13,,,,,,,,,,,,,,,missing,168.25,cytosol,,,,missing,YLR359W,,,,,,,,,,,,
44,ADE16,1.53,144.3,cytosol,52.23,"Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade17p; ade16 ade17 mutants require adenine and histidine",1.2,113.38,cytosol,17.65,1.04,97.66,cytosol,12.52,88.73,cytosol,179.43,cytosol,73.99,cytosol,308.33,cytosol,YLR028C,cytosol,94.01,cytosol,24.33,1.0,0.0,0.0,1.0,1.48,140.02,cytosol,
