Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"CSH1","YBR161W","below threshold","18.93","5.41442","below threshold","12.847","punctate,vacuole","16.3662","below threshold","21.0998","below threshold","27.6445","cytosol","19.11","1","0","6.94","cytosol","16.55","0.87","0","3.02","cytosol","35.71","1.88","0","","below threshold","below threshold","18.8565","0.995892","0","2.50877","Probable catalytic subunit of a mannosylinositol phosphorylceramide (MIPC) synthase, forms a complex with probable regulatory subunit Csg2p; function in sphingolipid biosynthesis is overlapping with that of Sur1p"
"DER1","YBR201W","below threshold","16.5","3.72586","below threshold","19.8227","below threshold","4.66838","below threshold","19.5335","#N/A","25.9705","cytosol","19.17","1.16","0","6.91","cytosol","14.12","0.85","0","2.87","cytosol","19.6","1.18","0","","below threshold","below threshold","16.6973","1.01169","0","2.14616","Endoplasmic reticulum membrane protein, required for ER-associated protein degradation of misfolded or unassembled proteins; N- and C- termini protrude into the cytoplasm, has similarity to Dfm1p"
"YBR219C","YBR219C","below threshold","15.32","3.90489","below threshold","20.4882","below threshold","5.51732","punctate","31.9535","#N/A","25.3201","cytosol","15.71","1.02","0","5.71","cytosol","16.7","1.09","0","3.4","cytosol","18.16","1.18","0","","below threshold","below threshold","16.4353","1.07258","0","3.37484","Putative protein of unknown function; YBR219C is not an essential gene"
"GGA1","YDR358W","below threshold","15.84","3.78401","below threshold","12.4429","missing","0","below threshold","19.7735","cytosol","51.2193","cytosol","16.16","1.02","0","5.82","cytosol","17.77","1.12","0","4.5","cytosol","16.02","1.01","0","","below threshold","below threshold","17.512","1.10527","0","2.50962","Golgi-localized protein with homology to gamma-adaptin, interacts with and regulates Arf1p and Arf2p in a GTP-dependent manner in order to facilitate traffic through the late Golgi"
"YDR366C","YDR366C","below threshold","18.28","","below threshold","14.3112","below threshold","6.77743","missing","","#N/A","22.9767","cytosol","15.75","0.86","0","","cytosol","15.42","0.84","0","","cytosol","16.95","0.92","0","","","","","","","","Putative protein of unknown function"
"YDR034C-A","YDR034C-A","","","","below threshold","18.6439","cytosol","5.68819","below threshold","19.7591","#N/A","23.1893","","","","","","","","","","","","","","","","","","","","","",""
"YCR024C-B","YCR024C-B","","","","below threshold","22.5227","below threshold","7.22864","below threshold","19.0722","below threshold","24.4715","","","","","","","","","","","","","","","","","","","","","",""
"YDR114C","YDR114C","below threshold","17.51","","below threshold","13.8643","below threshold","6.9231","below threshold","20.1174","#N/A","0","cytosol","18.22","1.04","0","","cytosol","15.96","0.91","0","","cytosol","15.51","0.88","0","","","","","","","","Putative protein of unknown function; deletion mutant exhibits poor growth at elevated pH and calcium"
"ERS1","YCR075C","below threshold","15.33","4.53098","below threshold","21.5164","vacuole","10.1116","below threshold","18.0149","below threshold","24.226","cytosol","16.45","1.07","0","4.93","cytosol","13.74","0.89","0","2.87","cytosol","22.36","1.45","0","","below threshold","below threshold","14.5545","0.948743","0","2.16368","Protein with similarity to human cystinosin, which is a H(+)-driven transporter involved in L-cystine export from lysosomes and implicated in the disease cystinosis; contains seven transmembrane domains"
"RTC2","YBR147W","cytosol","20.59","5.46656","below threshold","16.4012","below threshold","4.92853","below threshold","18.158","#N/A","22.9297","cytosol","19.13","0.92","0","6.56","cytosol","23.58","1.14","0","4.92","cytosol","24.01","1.16","0","","cytosol","cytosol","22.5208","1.0937","0","4.14432","Protein of unknown function; identified in a screen for mutants with decreased levels of rDNA transcription; detected in highly purified mitochondria; null mutant suppresses cdc13-1; similar to a G-protein coupled receptor from S. pombe"
"MTC7","YEL033W","cytosol","20.16","4.0818","below threshold","14.8474","missing","","below threshold","13.2183","below threshold","24.5699","cytosol","15.96","0.79","0","6.51","cytosol","15.68","0.77","0","2.93","cytosol","16.4","0.81","0","","cytosol","cytosol","16.8157","0.834006","0","2.21179","Predicted metabolic role based on network analysis derived from ChIP experiments, a large-scale deletion study and localization of transcription factor binding sites; null mutant is sensitive to temperature oscillation in a cdc13-1 mutant"
"VMA8","YEL051W","vacuole membrane","95.5","29.0029","below threshold","58.7086","below threshold","0","below threshold","16.4722","#N/A","24.2489","vacuole membrane","104.65","1.09","0","43.63","vacuole membrane","98.3","1.02","0","21.06","vacuole membrane","246.7","2.58","1","","vacuole membrane","vacuole membrane","107.601","1.12666","0","23.3896","Subunit D of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; plays a role in the coupling of proton transport and ATP hydrolysis"
"YHR175W-A","YHR175W-A","","","","below threshold","14.654","below threshold","6.63933","below threshold","16.4922","#N/A","24.6044","","","","","","","","","","","","","","","","","","","","","",""
"YHR213W-A","YHR213W-A","","","","below threshold","13.8262","below threshold","5.41653","below threshold","18.692","#N/A","24.2671","","","","","","","","","","","","","","","","","","","","","",""
"YHR214C-E","YHR214C-E","","","","below threshold","14.9677","below threshold","6.52164","below threshold","16.9421","#N/A","23.7846","","","","","","","","","","","","","","","","","","","","","",""
"MVB12","YGR206W","punctate","22.72","6.41489","below threshold","14.71","below threshold","0","punctate","16.7898","#N/A","0","punctate","25.91","1.14","0","5.38","punctate","24.09","1.06","0","5.13","punctate","29.38","1.29","0","","punctate","punctate","18.5093","0.814506","0","1.88896","ESCRT-I subunit required to stabilize oligomers of the ESCRT-I core complex (Stp22p, Vps28p, Srn2p), which is involved in ubiquitin-dependent sorting of proteins into the endosome; deletion mutant is sensitive to rapamycin and nystatin"
"YER039C-A","YER039C-A","below threshold","18.36","","below threshold","15.4153","below threshold","5.55876","below threshold","15.5148","#N/A","23.296","cytosol","17.48","0.95","0","","cytosol","18.26","0.99","0","","cytosol","15.32","0.83","0","","","","","","","","Putative protein of unknown function; YER039C-A is not an essential gene"
"RRT6","YGL146C","below threshold","16.56","3.95306","below threshold","14.477","below threshold","5.67079","below threshold","17.3487","#N/A","22.3708","cytosol","17.36","1.04","0","5.4","cytosol","17.29","1.04","0","3.04","cytosol","17.55","1.05","0","","below threshold","below threshold","17.0461","1.02879","0","4.08455","Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; contains two putative transmembrane spans, but no significant homology to other known proteins"
