Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"SNC1","YAL030W","","","","punctate,bud","98.2949","cell periphery,vacuole,bud","164.718","bud","24.9122","bud","41.5201","","","","","","","","","","","","","","","","","","","","","",""
"YDL012C","YDL012C","","","","cell periphery,punctate,bud","192.754","cell periphery,vacuole","154.476","cell periphery,punctate,bud","154.699","bud","43.3062","","","","","","","","","","","","","","","","","","","","","",""
"OSH2","YDL019C","cell periphery","32.11","","cell periphery,punctate,bud","114.868","cell periphery,punctate","142.267","cell periphery","24.8172","cytosol","56.4811","technical problem","","","","","cell periphery","37.78","1.17","0","","cell periphery","55.94","1.74","1","","","","","","","","Member of an oxysterol-binding protein family with seven members in S. cerevisiae; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability"
"SEC5","YDR166C","","","","cytosol,bud","68.5419","punctate,bud neck","55.667","cell periphery,bud neck","32.8292","bud","32.6039","","","","","","","","","","","","","","","","","","","","","",""
"CHO2","YGR157W","ER","108.98","37.0765","ER,bud","147.489","ER,punctate","268.763","ER","59.2641","ER,punctate","52.2288","ER","60.59","0.55","-1","29.77","ER","67.81","0.62","-1","14.87","ER","44.88","0.41","-1","","ER","ER","90.3464","0.828922","0","15.6074","Phosphatidylethanolamine methyltransferase (PEMT), catalyzes the first step in the conversion of phosphatidylethanolamine to phosphatidylcholine during the methylation pathway of phosphatidylcholine biosynthesis"
"SEC3","YER008C","bud neck","","10.5478","cytosol,bud","52.319","bud neck","54.2674","bud neck","21.9895","cytosol","36.0902","bud neck","31.01","0.98","0","8.26","cytosol","","","0","","punctate","","","","","bud neck","bud neck","25.9186","0.821693","0","7.80979","Subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, Exo84p) which mediates targeting of post-Golgi vesicles to sites of active exocytosis; Sec3p specifically is a spatial landmark for secretion"
"TOS2","YGR221C","below threshold","15.36","3.78072","cytosol,bud","52.619","bud","76.5995","bud","20.684","cytosol","37.2504","cytosol","16.52","1.07","0","5.03","cytosol","18.88","1.22","0","3.3","cytosol","17.84","1.16","0","","below threshold","below threshold","17.0092","1.10701","0","2.78549","Protein involved in localization of Cdc24p to the site of bud growth; may act as a membrane anchor; localizes to the bud neck and bud tip; potentially phosphorylated by Cdc28p"
"SEY1","YOR165W","punctate","48.93","13.6381","cytosol,ER,bud","122.54","cell periphery,punctate,bud","161.659","ER,punctate,bud","34.7702","punctate","45.0877","punctate","52.94","1.08","0","19.42","punctate","46.39","0.94","0","8.11","punctate","34.8","0.71","0","","punctate","punctate","54.1154","1.10583","0","8.28077","GTPase with a role in ER morphology; interacts physically and genetically with Yop1p and Rtn1p; possible functional ortholog of mammalian atlastins, defects in which cause a form of hereditary spastic paraplegia; homolog of Arabidopsis RHD3"
"YAP1802","YGR241C","","","","punctate,bud","65.8065","cytosol,bud neck,nucleus","64.6049","punctate,bud neck","29.7211","punctate,cytosol","38.5446","","","","","","","","","","","","","","","","","","","","","",""
"DNF1","YER166W","below threshold","15.6","3.83279","ER,punctate,bud","80.196","ER,bud","56.5248","punctate,bud","20.9283","ambigous,punctate","38.1924","cytosol","16.47","1.05","0","5.18","cytosol","15.97","1.02","0","3","cytosol","14.92","0.95","0","","below threshold","below threshold","15.0488","0.964192","0","1.73696","Aminophospholipid translocase (flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase"
"NTE1","YML059C","ER","23.85","","punctate,bud","57.4184","cell periphery,punctate,bud neck","38.8495","below threshold","19.1263","punctate","30.1849","ER","21.7","0.9","0","","ER","30.34","1.27","0","","ER","23.78","0.99","0","","","","","","","","Serine esterase, homolog of human neuropathy target esterase (NTE); Nte1p-mediated phosphatidylcholine turnover influences transcription factor Opi1p localization, affecting transcriptional regulation of phospholipid biosynthesis genes"
"RCY1","YJL204C","cytosol","34.33","9.94952","punctate,bud","44.9522","punctate,bud","40.4882","punctate","26.4444","cytosol,punctate","40.3028","cytosol","27.66","0.8","0","10.57","cytosol","18.64","0.54","0","4.34","cytosol","17.23","0.5","0","","cytosol","cytosol","24.053","0.70051","0","7.29153","F-box protein involved in recycling plasma membrane proteins internalized by endocytosis; localized to sites of polarized growth"
