Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"SLA1","YBL007C","punctate","87.07","28.3034","punctate,bud neck","168.632","cytosol,punctate,bud neck","115.802","punctate,bud neck","42.4834","punctate,bud neck","60.8797","punctate","95.12","1.09","0","34.07","punctate","102.01","1.17","0","18.94","punctate","101.49","1.16","0","","punctate","punctate","93.6835","1.07579","0","18.4654","Cytoskeletal protein binding protein required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains"
"APL3","YBL037W","cell periphery, bud neck","","7.78735","punctate,bud neck","60.1415","punctate,bud neck","32.4077","bud neck","26.4632","below threshold","28.769","cell periphery, bud neck","28.43","0.97","0","7.61","cell periphery, bud neck","30.97","1.05","0","5.96","punctate","","","","","cell periphery, bud neck","cell periphery, bud neck","26.7577","0.912722","0","4.0975","Alpha-adaptin, large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport"
"EDE1","YBL047C","cell periphery, bud neck","","33.1027","punctate,bud neck","174.11","punctate","150.133","punctate,bud neck","59.0879","punctate","46.6111","punctate","","","0","","punctate","","","0","","punctate","","","","","cell periphery, bud neck","cell periphery, bud neck","122.636","1.14866","0","28.4942","Key endocytic protein involved in a network of interactions with other endocytic proteins, binds membranes in a ubiquitin-dependent manner, may also bind ubiquitinated membrane-associated proteins"
"LDB17","YDL146W","cytosol","21.9","5.07697","punctate,bud neck","58.4531","cytosol,punctate","73.9904","below threshold","13.8658","cytosol","37.4392","cytosol","29.04","1.32","1","14.25","cytosol","24.01","1.09","0","3.88","cytosol","18.15","0.82","0","","cytosol","cytosol","27.1871","1.24122","0","4.94318","Protein involved in the regulation of endocytosis; transiently recruited to actin cortical patches in a SLA1-dependent manner after late coat component assembly; GFP-fusion protein localizes to the periphery, cytoplasm, bud, and bud neck"
"ENT1","YDL161W","punctate","37.62","10.825","punctate,bud neck","100.977","punctate,bud neck","107.131","punctate,bud neck","40.9073","cytosol,punctate","45.5039","punctate","40.82","1.08","0","16.45","punctate","41.67","1.1","0","7.98","punctate","50.98","1.35","1","","punctate","punctate","45.1726","1.20059","0","6.32394","Epsin-like protein involved in endocytosis and actin patch assembly and functionally redundant with Ent2p; binds clathrin via a clathrin-binding domain motif at C-terminus"
"SKT5","YBL061C","bud neck","","7.96357","bud neck","56.0979","cell periphery,bud","66.6665","bud neck","24.0893","cell periphery,punctate","37.9434","bud neck","","","0","","cytosol","25.94","","0","5.16","bud neck","18.3","0.62","-1","","bud neck","bud neck","22.9664","0.782027","0","3.78888","Activator of Chs3p (chitin synthase III), recruits Chs3p to the bud neck via interaction with Bni4p; has similarity to Shc1p, which activates Chs3p during sporulation"
"SHS1","YDL225W","bud neck","","16.6877","bud neck","119.192","cytosol,bud neck","157.842","bud neck","47.5","bud neck","53.7862","bud neck","41.98","1.15","0","17.71","bud neck","36.17","0.99","0","14.1","punctate","","","","","bud neck","bud neck","44.4066","1.22295","0","7.68582","One of five related septins (Cdc3p, Cdc10p, Cdc11p, Cdc12p, Shs1p) that form a cortical filamentous collar at the mother-bud neck which is necessary for normal morphogenesis and cytokinesis"
"PKC1","YBL105C","bud neck","","","bud neck","69.9779","cytosol,bud neck","79.7159","bud neck","29.4605","cytosol,bud neck","40.2627","bud neck","35.71","0.99","0","","bud neck","35.97","0.99","0","","bud neck","31.65","0.87","0","","","","","","","","Protein serine/threonine kinase essential for cell wall remodeling during growth; localized to sites of polarized growth and the mother-daughter bud neck; homolog of the alpha, beta, and gamma isoforms of mammalian protein kinase C (PKC)"
"SRO77","YBL106C","below threshold","14.47","4.44159","punctate,bud neck","67.533","cytosol,punctate,bud","59.539","ambiguous","19.6932","cytosol,punctate","35.2306","cytosol","15.32","1.05","0","4.84","cytosol","15.4","1.06","0","3.51","cytosol","17.61","1.21","0","","below threshold","below threshold","15.1643","1.04773","0","1.91596","Protein with roles in exocytosis and cation homeostasis; functions in docking and fusion of post-Golgi vesicles with plasma membrane; homolog of Sro7p and Drosophila lethal giant larvae tumor suppressor; interacts with SNARE protein Sec9p"
"CDC10","YCR002C","below threshold","17.97","6.66834","bud neck","170.835","bud neck","297.402","bud neck","69.6627","bud neck","49.2682","cytosol","","","0","","cytosol","21.65","1.2","0","4.15","cytosol","20.76","1.15","0","","below threshold","below threshold","19.7426","1.09827","0","5.76806","Component of the septin ring of the mother-bud neck that is required for cytokinesis; septins recruit proteins to the neck and can act as a barrier to diffusion at the membrane, and they comprise the 10nm filaments seen with EM"
"AKL1","YBR059C","cytosol","37.78","8.46681","cytosol,punctate,bud neck","84.7497","cytosol,cell periphery,punctate","113.39","below threshold","28.2134","cell periphery,punctate","47.2114","punctate","","","0","","cytosol","44.52","1.17","0","6.34","cytosol","46.8","1.23","0","","cytosol","cytosol","42.4051","1.12234","0","5.44024","Ser-Thr protein kinase, member (with Ark1p and Prk1p) of the Ark kinase family; involved in endocytosis and actin cytoskeleton organization"
"EXO84","YBR102C","bud neck","","8.02561","bud neck,nucleus","81.4991","cytosol,bud,nucleus","94.1804","punctate,bud neck","26.1077","bud","41.1045","bud neck","","","0","","technical problem","","","0","","punctate","","","","","bud neck","bud neck","","","0","","Essential protein with dual roles in spliceosome assembly and exocytosis; the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p) mediates polarized targeting of secretory vesicles to active sites of exocytosis"
"DNF2","YDR093W","cell periphery","30.13","10.1479","cell periphery,ER,bud neck","57.2795","ER,bud neck","64.3303","cell periphery,bud","23.3916","punctate,bud neck","39.4601","cell periphery","34.84","1.15","0","11.84","cell periphery","29.66","0.98","0","7.25","cell periphery","22.09","0.73","-1","","cell periphery","cell periphery","21.1922","0.703285","0","5.69352","Aminophospholipid translocase (flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase"
"CMD1","YBR109C","below threshold","14.92","3.45779","bud,bud neck","303.362","bud,bud neck","606.359","punctate,bud","154.227","cytosol,bud","78.2254","cytosol","","","0","","cytosol","","","0","","cytosol","","","","","below threshold","below threshold","","","0","","Calmodulin; Ca++ binding protein that regulates Ca++ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca++ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin"
"SEC1","YDR164C","","","","cytosol,bud neck","103.438","cell periphery,bud neck,nucleus","142.638","below threshold","20.3022","cytosol","37.9742","","","","","","","","","","","","","","","","","","","","","",""
"PRM2","YIL037C","below threshold","15.6","4.33208","punctate,bud neck","41.7344","cell periphery,vacuole","86.9204","below threshold","13.7716","cytosol,punctate","29.4565","cytosol","13.84","0.88","0","4.43","cytosol","14.58","0.93","0","2.75","cytosol","17.32","1.11","0","","below threshold","below threshold","15.3477","0.98328","0","2.02325","Pheromone-regulated protein, predicted to have 4 transmembrane segments and a coiled coil domain; regulated by Ste12p; required for efficient nuclear fusion"
"SEC6","YIL068C","bud neck","","8.18685","bud neck","60.3366","cytosol,bud neck","66.3745","punctate,bud neck","26.4111","bud neck","28.5531","bud neck","26.15","1.04","0","6.27","cytosol","25.84","1.03","0","4.18","punctate","","","","","bud neck","bud neck","19.0007","0.76155","0","3.94552","Essential 88kDa subunit of the exocyst complex, which mediates polarized targeting of secretory vesicles to active sites of exocytosis; dimeric form of Sec6p interacts with Sec9p in vitro and inhibits t-SNARE assembly"
"SHO1","YER118C","bud neck","","7.29005","cell periphery,ER,bud neck","104.652","cell periphery,ER,bud neck","155.694","bud neck","22.6819","punctate,bud neck","31.9144","bud neck","","","0","","bud neck","","","0","","bud neck","19.13","0.7","-1","","bud neck","bud neck","22.642","0.839186","0","3.28612","Transmembrane osmosensor, participates in activation of both the Cdc42p- and MAP kinase-dependent filamentous growth pathway and the high-osmolarity glycerol response pathway"
"PRK1","YIL095W","punctate","26.43","6.46701","punctate,bud neck","62.2442","punctate","86.1218","punctate,bud","17.7575","below threshold","25.7346","punctate","32.52","1.23","0","14.12","punctate","28.7","1.08","0","4.84","punctate","28.7","1.08","0","","punctate","punctate","26.6122","1.00655","0","3.56969","Protein serine/threonine kinase; regulates the organization and function of the actin cytoskeleton through the phosphorylation of the Pan1p-Sla1p-End3p protein complex"
"YPT32","YGL210W","below threshold","16.02","4.41496","punctate,bud neck","98.218","ER,punctate,bud","167.283","punctate,bud neck","26.6618","punctate,bud neck","48.6478","cytosol","15.55","0.97","0","5.34","cytosol","14.54","0.9","0","3.03","cytosol","15.03","0.93","0","","below threshold","below threshold","14.9658","0.933882","0","1.68961","GTPase of the Ypt/Rab family, very similar to Ypt31p; involved in the exocytic pathway; mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi"
"SEC15","YGL233W","bud neck","","8.22012","bud neck","87.8336","bud neck","71.3775","punctate,bud neck","26.1592","punctate","34.1677","bud neck","24.73","0.87","0","8.2","cytosol","25.26","0.88","0","6.22","bud neck","27.44","0.96","0","","bud neck","bud neck","22.2784","0.784444","0","3.84537","Essential 113kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which mediates polarized targeting of vesicles to active sites of exocytosis; Sec15p associates with Sec4p and vesicles"
"SEC4","YFL005W","","","","punctate,bud neck","246.789","ER,punctate,bud neck","464","below threshold","18.4098","ER,punctate,bud neck","73.2129","","","","","","","","","","","","","","","","","","","","","",""
"DJP1","YIR004W","ER","38.87","11.7597","vacuole membrane,bud neck","120.462","ER,punctate,bud","163.645","ER","39.6209","cytosol","59.8336","ER","44.66","1.14","0","13.6","ER","36.19","0.93","0","7.52","ER","54.89","1.41","1","","ER","ER","36.5253","0.939526","0","4.8457","Cytosolic J-domain-containing protein, required for peroxisomal protein import and involved in peroxisome assembly, homologous to E. coli DnaJ"
"PAN1","YIR006C","punctate","69.91","","punctate,bud neck","165.36","punctate,bud neck","102.055","punctate,bud neck","54.0596","cytosol","46.8667","punctate","88.94","1.27","0","","punctate","73.03","1.04","0","","punctate","69.96","1","0","","","","","","","","Part of actin cytoskeleton-regulatory complex Pan1p-Sla1p-End3p, associates with actin patches on the cell cortex; promotes protein-protein interactions essential for endocytosis; previously thought to be a subunit of poly(A) ribonuclease"
"EGH1","YIR007W","","","","cytosol,bud neck","83.2303","cytosol,punctate","67.2882","below threshold","15.1446","cytosol","33.0137","","","","","","","","","","","","","","","","","","","","","","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YIR007W is a non-essential gene"
"SEC9","YGR009C","","","","cytosol,bud neck","83.7446","cytosol,bud","126.032","punctate,bud","31.3761","cytosol","52.2297","","","","","","","","","","","","","","","","","","","","","",""
"GSC2","YGR032W","below threshold","15.82","4.40546","cell periphery,bud neck","115.185","cell periphery,vacuole","127.604","cell periphery,bud","30.4622","bud","35.1041","cytosol","28.7","1.81","0","11.27","cytosol","17.48","1.1","0","3.23","cytosol","23.15","1.46","0","","below threshold","below threshold","15.854","1.00192","0","2.36009","Catalytic subunit of 1,3-beta-glucan synthase, involved in formation of the inner layer of the spore wall; activity positively regulated by Rho1p and negatively by Smk1p; has similarity to an alternate catalytic subunit, Fks1p (Gsc1p)"
"BUD9","YGR041W","bud neck","","4.40467","bud neck","22.805","cell periphery,vacuole","11.5143","below threshold","16.8967","below threshold","24.0861","bud neck","17.08","1.08","0","5.46","bud neck","17.81","1.12","0","3.91","bud neck","18.45","1.16","0","","bud neck","bud neck","17.1674","1.08712","0","2.73628","Protein involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern, and bud at the distal pole"
"MSC7","YHR039C","ER","40.75","10.7773","ER,punctate,bud neck","61.2688","ER,punctate","47.2983","below threshold","16.0414","below threshold","21.9594","ER","37.18","0.91","0","14.88","ER","41.15","1","0","6.69","ER","62.26","1.52","1","","ER","ER","34.1884","0.838867","0","6.08485","Protein of unknown function, green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; msc7 mutants are defective in directing meiotic recombination events to homologous chromatids"
"CDC12","YHR107C","","","","bud neck","139.755","bud neck","223.476","bud neck","52.4918","bud neck","61.8154","","","","","","","","","","","","","","","","","","","","","",""
"BZZ1","YHR114W","","","","cytosol,punctate,bud neck","115.138","cytosol,punctate,bud neck","159.312","below threshold","20.0448","cytosol,bud neck","61.6749","","","","","","","","","","","","","","","","","","","","","",""
"EXO70","YJL085W","bud neck","","7.78552","cytosol,bud neck","81.9941","bud","90.396","bud","23.4814","cytosol","45.2979","bud neck","25.96","1.15","0","7.49","cytosol","23.8","1.05","0","4.92","bud neck","29.16","1.29","0","","bud neck","bud neck","20.2629","0.89894","0","6.16394","Subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which directs secretory vesicles to active sites of exocytosis; acts with Sec3p in membrane targeting of the exocyst via PI(4,5)P2 binding"
"BCK1","YJL095W","cytosol","21.34","4.67672","bud neck","55.6032","bud neck","52.1793","below threshold","16.0446","cytosol,bud neck","40.0852","cytosol","19.25","0.9","0","6.45","cytosol","24.02","1.12","0","4.04","cytosol","18.52","0.86","0","","cytosol","cytosol","23.3702","1.09499","0","3.0926","Mitogen-activated protein (MAP) kinase kinase kinase acting in the protein kinase C signaling pathway, which controls cell integrity; upon activation by Pkc1p phosphorylates downstream kinases Mkk1p and Mkk2p"
"YAP1801","YHR161C","bud neck","","7.69886","punctate,bud neck","77.4038","punctate,bud neck","79.5065","bud neck","31.8049","cytosol","38.2386","bud neck","","","0","","bud neck","","","0","","bud neck","38.87","1.46","1","","bud neck","bud neck","26.5726","1.00232","0","4.93063","Protein involved in clathrin cage assembly; binds Pan1p and clathrin; homologous to Yap1802p, member of the AP180 protein family"
"AVL9","YLR114C","cytosol, bud neck","","11.4311","punctate,bud neck","57.9707","punctate,bud neck","68.7695","bud neck","32.2181","bud neck","44.7433","cytosol, bud neck","50.15","1.18","0","18.15","cytosol","","","0","","punctate","","","","","cytosol, bud neck","cytosol, bud neck","44.9931","1.06673","0","6.2055","Conserved protein involved in exocytic transport from the Golgi; mutation is synthetically lethal with apl2 vps1 double mutation; member of a protein superfamily with orthologs in diverse organisms"
"APL1","YJR005W","bud neck","","9.99244","punctate,bud neck,nucleus","29.0374","bud neck,nucleus","12.5349","bud neck","26.5278","below threshold","24.9547","bud neck","36.78","1.07","0","10.66","bud neck","31.62","0.92","0","6.04","bud neck","37.55","1.09","0","","bud neck","bud neck","25.5278","0.747533","0","5.6594","Beta-adaptin, large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport; similar to mammalian beta-chain of the clathrin associated protein complex"
"APS2","YJR058C","below threshold","17.32","3.81766","punctate,bud neck,nucleus","40.4728","punctate,bud neck,nucleus","17.0491","missing","15.8225","below threshold","24.0536","cytosol","17.87","1.03","0","5.19","cytosol","18.1","1.04","0","3.18","cytosol","16.85","0.97","0","","below threshold","below threshold","15.5939","0.90006","0","3.03773","Small subunit of the clathrin-associated adaptor complex AP-2, which is involved in protein sorting at the plasma membrane; related to the sigma subunit of the mammalian plasma membrane clathrin-associated protein (AP-2) complex"
"CDC11","YJR076C","bud neck","","31.4311","bud neck","101.448","bud neck","219.204","bud neck","30.9389","bud neck","50.4349","bud neck","62.56","1.02","0","31.28","bud neck","53.22","0.87","0","16.49","punctate","","","","","bud neck","bud neck","71.9252","1.1832","0","18.7921","Component of the septin ring of the mother-bud neck that is required for cytokinesis; septins recruit proteins to the neck and can act as a barrier to diffusion at the membrane, and they comprise the 10nm filaments seen with EM"
"RHO4","YKR055W","below threshold","18","4.98677","cell periphery,ER,bud neck","69.1359","ER,bud neck","100.352","below threshold","22.3684","cytosol","44.4134","cytosol","15.84","0.87","0","4.89","cytosol","16.58","0.92","0","3.22","cytosol","22.8","1.26","0","","below threshold","below threshold","16.6011","0.921424","0","5.30533","Non-essential small GTPase of the Rho/Rac subfamily of Ras-like proteins, likely to be involved in the establishment of cell polarity"
"CDC3","YLR314C","below threshold","15.22","3.6596","bud neck","116.29","bud neck","205.246","bud neck","43.1099","bud neck","61.0312","cytosol","17.22","1.13","0","5.89","cytosol","16.55","1.08","0","2.57","cytosol","15.64","1.02","0","","below threshold","below threshold","16.9132","1.11045","0","1.69226","Component of the septin ring of the mother-bud neck that is required for cytokinesis; septins recruit proteins to the neck and can act as a barrier to diffusion at the membrane, and they comprise the 10nm filaments seen with EM"
"BUD8","YLR353W","below threshold","17.64","5.31266","bud neck","25.2972","cell periphery,bud neck","20.303","below threshold","16.9858","below threshold","26.2594","cytosol","18.64","1.05","0","7.4","cytosol","18.37","1.04","0","3.61","cytosol","14.31","0.81","0","","below threshold","below threshold","17.9228","1.01556","0","2.19199","Protein involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern, and bud at the proximal pole"
"MYO5","YMR109W","punctate","62.71","19.271","cell periphery,punctate,bud neck","75.9186","cell periphery,punctate,bud","106.698","punctate,bud neck","36.6691","below threshold","27.4497","punctate","74.64","1.19","0","30.61","punctate","73.09","1.16","0","14.11","punctate","71.64","1.14","0","","punctate","punctate","76.0946","1.2133","0","15.8483","One of two type I myosins; contains proline-rich tail homology 2 (TH2) and SH3 domains; MYO5 deletion has little effect on growth, but myo3 myo5 double deletion causes severe defects in growth and actin cytoskeleton organization"
"GTS1","YGL181W","punctate","36.93","9.43759","cytosol,punctate,bud neck,nucleus","86.75","cytosol,nucleus,bud","141.542","punctate,bud neck","41.7265","cytosol","48.7048","punctate","40.56","1.09","0","14.2","punctate","44.46","1.2","0","11.4","punctate","63.41","1.71","1","","punctate","punctate","39.5939","1.07195","0","5.08223","Arf3p GTPase Activating Protein (GAP) that localizes to endocytic patches; gts1 mutations affect budding, cell size, heat tolerance, sporulation, life span, ultradian rhythms; localizes to nucleus and induces flocculation when overexpressed"
"MSO1","YNR049C","bud neck","","5.9248","cytosol,bud neck","77.794","cytosol,bud neck","97.3641","punctate,bud","26.072","cytosol","36.3423","bud neck","23.58","1.3","0","8.56","bud neck","16.19","0.89","0","3.6","bud neck","30.79","1.7","0","","bud neck","bud neck","16.4887","0.914711","0","2.49852","Probable component of the secretory vesicle docking complex, acts at a late step in secretion; shows genetic and physical interactions with Sec1p; required for prospore membrane formation during sporulation"
"HRR25","YPL204W","nucleus, cytosol","65","12.3358","cytosol,bud neck","77.4959","punctate,bud neck","30.084","cytosol,bud neck","68.7478","below threshold","27.0242","nucleus, cytosol","77.74","1.19","0","20.8","nucleus, cytosol","61.89","0.95","0","7.19","nucleus, cytosol","44.99","0.69","0","","punctate","nucleus, cytosol","59.4805","0.914893","0","7.01817","Protein kinase involved in regulating diverse events including vesicular trafficking, DNA repair, and chromosome segregation; binds the CTD of RNA pol II; homolog of mammalian casein kinase 1delta (CK1delta)"
"RAX1","YOR301W","below threshold","15.55","4.04746","vacuole,bud neck","32.3186","vacuole","39.493","bud neck","19.7642","below threshold","23.8221","cytosol","16.98","1.09","0","6.42","cytosol","16.4","1.05","0","3.07","cytosol","17.43","1.12","0","","below threshold","below threshold","16.4717","1.05859","0","2.53228","Protein involved in bud site selection during bipolar budding; localization requires Rax2p; has similarity to members of the insulin-related peptide superfamily"
"SEC8","YPR055W","bud neck","","7.53746","cytosol,bud neck","66.8336","missing","","missing","0","#N/A","","bud neck","29.46","0.98","0","8.31","cytosol","","","0","","punctate","","","","","bud neck","bud neck","23.8127","0.799674","0","4.61451","Essential 121kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which has the essential function of mediating polarized targeting of secretory vesicles to active sites of exocytosis"
"SLA2","YNL243W","below threshold","18.43","4.99912","punctate,bud neck","124.386","punctate,bud neck","139.806","punctate,bud neck","40.6093","cytosol,bud neck","57.3431","cytosol","14.65","0.79","0","5.16","cytosol","16.25","0.88","0","4.51","cytosol","16.54","0.89","0","","below threshold","below threshold","15.515","0.841266","0","1.88965","Transmembrane actin-binding protein involved in membrane cytoskeleton assembly and cell polarization; adaptor protein that links actin to clathrin and endocytosis; present in the actin cortical patch of the emerging bud tip; dimer in vivo"
"SEC2","YNL272C","cytosol:bud neck","","8.39289","bud neck","64.1193","bud neck","74.7668","bud neck","32.7046","cytosol,bud neck","43.6448","cytosol.bud neck","28.92","0.91","0","10.43","cytosol","","","0","","punctate","32.54","1.03","0","","cytosol:bud neck","cytosol:bud neck","23.7836","0.75465","0","3.43086","Guanyl-nucleotide exchange factor for the small G-protein Sec4p; essential for post-Golgi vesicle transport; associates with the exocyst, via exocyst subunit Sec15p, on secretory vesicles"
"PRM1","YNL279W","below threshold","17.43","4.94541","vacuole,bud neck","52.275","cell periphery,vacuole","84.0109","below threshold","17.8156","#N/A","","cytosol","","","0","","cytosol","15.54","0.89","0","3.8","cytosol","16.77","0.96","0","","below threshold","below threshold","14.8223","0.849829","0","1.88044","Pheromone-regulated multispanning membrane protein involved in membrane fusion during mating; predicted to have 5 transmembrane segments and a coiled coil domain; localizes to the shmoo tip; regulated by Ste12p"
"RSB1","YOR049C","cytosol","21.19","5.60141","vacuole,bud neck","44.7661","vacuole","47.1763","below threshold","19.5042","below threshold","22.9761","cytosol","22.19","1.04","0","9.22","cytosol","21.55","1.01","0","4.79","cytosol","28.13","1.32","0","","cytosol","cytosol","23.7926","1.12226","0","4.07034","Suppressor of sphingoid long chain base (LCB) sensitivity of an LCB-lyase mutation; putative integral membrane transporter or flippase that may transport LCBs from the cytoplasmic side toward the extracytoplasmic side of the membrane"
