Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"SSA1","YAL005C","below threshold","18.27","4.40091","cytosol","251.515","cytosol","218.641","cytosol","587.543","cytosol","89.1573","cytosol","17.93","0.98","0","8.39","cytosol","18.28","1","0","3.32","cytosol","18.78","1.02","0","","below threshold","below threshold","18.9704","1.03773","0","2.94511","ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall"
"ARL1","YBR164C","below threshold","12.69","3.93637","cytosol","188.011","cytosol,nucleus","298.127","cytosol","83.438","cytosol","70.0281","cytosol","14.26","1.12","0","4.7","cytosol","13.33","1.04","0","2.77","cytosol","16.45","1.29","0","","below threshold","below threshold","13.5562","1.06751","0","1.36407","Soluble GTPase with a role in regulation of membrane traffic; regulates potassium influx; G protein of the Ras superfamily, similar to ADP-ribosylation factor"
"NPL4","YBR170C","nucleus,cytosol","41.7","","cytosol,nucleus","87.609","cytosol,nucleus","97.9736","nucleus","45.0922","cytosol","45.6942","nucleus,cytosol","56.47","1.35","1","","nucleus,cytosol","62.26","1.49","1","","nucleus,cytosol","44.46","1.06","0","","","","","","","","Endoplasmic reticulum and nuclear membrane protein, forms a complex with Cdc48p and Ufd1p that recognizes ubiquitinated proteins in the endoplasmic reticulum and delivers them to the proteasome for degradation"
"SMY2","YBR172C","cytosol","51.27","14.9942","cytosol","53.3872","cytosol","43.4604","cytosol","33.1461","cytosol,punctate","43.6748","cytosol","42.1","0.82","0","16.42","cytosol","48.96","0.95","0","8.18","cytosol","25.93","0.5","0","","cytosol","cytosol","50.6003","0.98688","0","9.83748","Protein of unknown function involved in COPII vesicle formation; interacts with the Sec23p/Sec24p subcomplex; overexpression suppresses the temperature sensitivity of a myo2 mutant; has similarity to S. pombe Mpd2"
"FUN12","YAL035W","cytosol","282.66","64.0709","cytosol","228.864","cytosol","174.84","cytosol","160.501","cytosol","73.2946","cytosol","311.4","1.1","0","106.62","cytosol","311.97","1.1","0","52.87","cytosol","167.86","0.59","0","","cytosol","cytosol","314.328","1.11199","0","42.8839","GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2"
"UBC1","YDR177W","nucleus:cytosol","61.15","13.6403","cytosol","185.482","cytosol","302.826","cytosol","85.3367","cytosol","48.8799","nucleus.cytosol","50.84","0.83","0","18.54","nucleus.cytosol","35.27","0.57","-1","10.42","nucleus,cytosol","29.94","0.48","-1","","nucleus:cytosol","nucleus:cytosol","53.3028","0.871517","0","9.3054","Ubiquitin-conjugating enzyme that mediates selective degradation of short-lived and abnormal proteins; plays a role in vesicle biogenesis and ER-associated protein degradation (ERAD); component of the cellular stress response"
"PEX19","YDL065C","","","","cytosol,punctate","91.7961","cytosol","137.384","punctate","43.3058","cytosol,punctate","45.8615","","","","","","","","","","","","","","","","","","","","","",""
"SLY1","YDR189W","punctate","53.59","14.4322","cytosol,punctate","123.525","cytosol","140.452","punctate","34.8233","cytosol","56.2253","punctate","63.16","1.17","0","18.39","punctate","52.77","0.98","0","7.8","punctate","61.6","1.14","0","","punctate","punctate","39.953","0.74538","0","5.71048","Hydrophilic protein involved in vesicle trafficking between the ER and Golgi; SM (Sec1/Munc-18) family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex"
"CAB5","YDR196C","below threshold","15.87","3.52787","cytosol","60.4922","cytosol","43.1857","below threshold","23.4291","below threshold","26.6363","cytosol","17.53","1.1","0","6.4","cytosol","14.14","0.89","0","3.4","cytosol","16.56","1.04","0","","below threshold","below threshold","17.3885","1.09478","0","2.20237","Probable dephospho-CoA kinase (DPCK) that catalyzes the last step in coenzyme A biosynthesis; null mutant lethality is complemented by E. coli coaE (encoding DPCK); detected in purified mitochondria in high-throughput studies"
"GCD6","YDR211W","below threshold","17.46","3.60892","cytosol","116.635","cytosol","110.724","cytosol","44.0919","cytosol","47.7299","cytosol","16.99","0.97","0","6.3","cytosol","18.79","1.07","0","3.5","cytosol","14.57","0.83","0","","below threshold","below threshold","18.1147","1.03721","0","2.09052","Catalytic epsilon subunit of the translation initiation factor eIF2B, the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression"
