Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"YSY6","YBR162W-A","","","","ER","143.662","ER,vacuole","306.16","ER","37.7933","ER","41.991","","","","","","","","","","","","","","","","","","","","","",""
"SPO7","YAL009W","cytosol","19.48","5.46423","ER","49.2783","ER,vacuole","34.5168","below threshold","22.5756","below threshold","29.2411","cytosol","20.89","1.07","0","7.1","cytosol","19.56","1","0","4.73","cytosol","18.48","0.94","0","","cytosol","cytosol","19.9539","1.02369","0","2.95538","Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation"
"SEC66","YBR171W","ER","66.49","18.6224","ER,punctate","63.2593","ER,punctate","44.1934","ER","51.3937","below threshold","27.7502","ER","102.01","1.53","1","28.49","ER","63.53","0.95","0","11.44","ER","56.47","0.84","0","","ER","ER","61.8942","0.930748","0","10.0631","Non-essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p); with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER"
"PMT2","YAL023C","ER","24.45","6.79843","ER","149.063","ER","132.693","below threshold","22.0207","ER","50.0761","ER","23.4","0.95","0","6.03","ER","19.07","0.77","-1","4.82","ER","17.24","0.7","-1","","ER","ER","18.7147","0.765168","0","2.93415","Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt1p, can instead interact with Pmt5p in some conditions; target for new antifungals"
"DRS2","YAL026C","punctate","35.98","9.29317","ER,punctate","87.2838","ER","94.0487","punctate","29.2221","ER,punctate","40.8051","punctate","46.46","1.29","0","11.63","punctate","40.99","1.13","0","7.89","punctate","32.89","0.91","0","","punctate","punctate","29.6316","0.823449","0","3.72098","Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease"
"YPC1","YBR183W","below threshold","14.1","3.29365","ER","35.3916","ER","11.7372","below threshold","19.9411","below threshold","27.6952","cytosol","13.17","0.93","0","4.01","cytosol","15.16","1.07","0","2.81","cytosol","14.57","1.03","0","","below threshold","below threshold","16.2778","1.15407","0","3.29432","Alkaline ceramidase that also has reverse (CoA-independent) ceramide synthase activity, catalyzes both breakdown and synthesis of phytoceramide; overexpression confers fumonisin B1 resistance"
"FRT2","YAL028W","","","","ambiguous,ER","33.7927","vacuole","18.9032","below threshold","15.2517","below threshold","27.6859","","","","","","","","","","","","","","","","","","","","","",""
"MRX9","YDL027C","","","","ER,punctate","23.9862","punctate","9.72373","below threshold","20.4063","below threshold","26.1349","","","","","","","","","","","","","","","","","","","","","","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL027C is not an essential gene"
"SLC1","YDL052C","ER","82.31","21.9316","ER","87.7507","ER","115.356","ER","52.6416","below threshold","31.0847","ER","92.64","1.12","0","33.56","vacuole","","","0","","vacuole","","","","","ER","ER","67.6295","0.821581","0","10.1036","1-acyl-sn-glycerol-3-phosphate acyltransferase, catalyzes the acylation of lysophosphatidic acid to form phosphatidic acid, a key intermediate in lipid metabolism; enzymatic activity detected in lipid particles and microsomes"
"YET3","YDL072C","ER","82.18","","ER","25.1729","punctate,nuclear periphery","15.8446","below threshold","17.6891","below threshold","26.2172","ER","112.54","1.36","1","","ER","98.22","1.19","0","","ER","117.28","1.42","1","","","","","","","","Protein of unknown function; YET3 null mutant decreases the level of secreted invertase; homolog of human BAP31 protein"
