Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"FUN26","YAL022C","","","","punctate,vacuole membrane","80.729","punctate,vacuole membrane","96.6356","punctate,vacuole membrane","29.1808","punctate,vacuole membrane","44.9841","","","","","","","","","","","","","","","","","","","","","",""
"KTR4","YBR199W","vacuole","19.89","5.81774","punctate,vacuole membrane","64.3511","vacuole membrane","102.905","vacuole membrane","38.6405","below threshold","26.9885","vacuole","19.32","0.97","0","7.58","vacuole","16.39","0.82","0","3.52","vacuole","28.63","1.43","0","","vacuole","vacuole","17.257","0.867366","0","2.56562","Putative mannosyltransferase involved in protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family"
"MCH1","YDL054C","vacuole membrane","22.09","6.93389","vacuole membrane","67.973","vacuole membrane","95.2852","vacuole membrane","30.7204","below threshold","29.9193","vacuole membrane","19.84","0.89","0","7.76","vacuole membrane","22.79","1.03","0","4.76","vacuole membrane","26.24","1.18","0","","vacuole membrane","vacuole membrane","18.8642","0.853766","0","4.07239","Protein with similarity to mammalian monocarboxylate permeases, which are involved in transport of monocarboxylic acids across the plasma membrane; mutant is not deficient in monocarboxylate transport"
"VAM6","YDL077C","vacuole","19.48","5.31098","vacuole membrane","68.5273","vacuole membrane","41.2313","vacuole membrane","21.9348","punctate","33.2577","vacuole","24.77","1.27","0","7.59","vacuole","22.49","1.15","0","3.68","vacuole","22.18","1.13","0","","vacuole","vacuole","16.2128","0.83184","0","2.72845","Vacuolar protein that plays a critical role in the tethering steps of vacuolar membrane fusion by facilitating guanine nucleotide exchange on small guanosine triphosphatase Ypt7p"
"UIP3","YAR027W","ambiguous","19.61","6.63918","punctate,vacuole membrane","118.1","ER,vacuole","235.893","below threshold","17.1342","punctate","39.2889","ambiguous","50.38","2.56","0","24.05","ambiguous","19.59","0.99","0","3.89","ambiguous","47.16","2.4","0","","ambiguous","ambiguous","16.2897","0.830079","0","3.06879","Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family"
"YAR028W","YAR028W","ambiguous","21.29","6.57324","punctate,vacuole membrane","82.1405","vacuole membrane","171.917","below threshold","17.1179","punctate","36.2938","ambiguous","19.96","0.93","0","7.02","ambiguous","20.63","0.96","0","4.23","ambiguous","23.12","1.08","0","","ambiguous","ambiguous","17.7248","0.831962","0","3.313","Putative integral membrane protein, member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS"
"VHC1","YBR235W","","","","vacuole membrane","65.0961","vacuole membrane","76.014","ambiguous","21.3135","punctate","31.6389","","","","","","","","","","","","","","","","","","","","","","Putative ion transporter, similar to mammalian electroneutral Na(+)-(K+)-C1- cotransporter family; YBR235W is not an essential gene"
"IVY1","YDR229W","below threshold","15.64","4.23075","punctate,vacuole membrane","67.5578","punctate,vacuole membrane","105.42","punctate,vacuole membrane","21.3702","punctate","52.4151","cytosol","15.77","1","0","6.61","cytosol","16.6","1.06","0","3.11","cytosol","14.07","0.89","0","","below threshold","below threshold","16.9209","1.08096","0","2.37478","Phospholipid-binding protein that interacts with both Ypt7p and Vps33p, may partially counteract the action of Vps33p and vice versa, localizes to the rim of the vacuole as cells approach stationary phase"
"SNA4","YDL123W","vacuole membrane","92.64","24.6814","vacuole membrane","66.8262","vacuole membrane","104.058","vacuole membrane","19.1741","below threshold","26.6898","vacuole membrane","75.83","0.81","0","31.95","vacuole membrane","53.3","0.57","-1","11.34","vacuole membrane","110.58","1.19","0","","vacuole membrane","vacuole membrane","67.6872","0.730619","0","13.4933","Protein of unknown function, localized to the vacuolar outer membrane; predicted to be palmitoylated"
"VCX1","YDL128W","ER","40.55","12.387","vacuole membrane","219.994","ER","276.246","vacuole membrane","70.9204","punctate,vacuole membrane","34.3453","ER","28.68","0.7","0","9.4","ER","32.38","0.79","0","7.05","ER","22.9","0.56","-1","","ER","ER","30.7133","0.75723","0","5.60114","Vacuolar H+/Ca2+ exchanger involved in control of cytosolic Ca2+ concentration; has similarity to sodium/calcium exchangers, including the bovine Na+/Ca2+,K+ antiporter"
