ORF,mRNA
YAL001C,37.8
YAL002W,22.17
YAL003W,4621.86
YAL004W,0
YAL005C,0
YAL007C,212.42
YAL008W,0
YAL009W,34.96
YAL010C,16.67
YAL011W,17.4
YAL012W,568.34
YAL013W,25.52
YAL014C,63.3
YAL015C,23.07
YAL016C-A,0
YAL016C-B,0
YAL016W,143.3
YAL017W,50.59
YAL018C,0.15
YAL019W,0
YAL019W-A,0
YAL020C,25.42
YAL021C,92.55
YAL022C,61.02
YAL023C,342.36
YAL024C,25.86
YAL025C,58.06
YAL026C,74.53
YAL026C-A,0
YAL027W,18.86
YAL028W,8.11
YAL029C,0
YAL030W,127.45
YAL031C,26.23
YAL031W-A,0
YAL032C,24.41
YAL033W,0
YAL034C,18.23
YAL034C-B,0
YAL034W-A,0
YAL035W,403.98
YAL036C,147.38
YAL037C-A,0
YAL037C-B,0
YAL037W,4.79
YAL038W,0
YAL039C,21.95
YAL040C,35.55
YAL041W,53.48
YAL042C-A,0
YAL042W,263.39
YAL043C,55.3
YAL044C,450.75
YAL044W-A,0
YAL045C,0
YAL046C,106.35
YAL047C,16.69
YAL047W-A,0
YAL048C,19.11
YAL049C,94.23
YAL051W,32.25
YAL053W,63.73
YAL054C,13.87
YAL055W,0
YAL056C-A,0
YAL056W,39.15
YAL058W,44.41
YAL059C-A,0
YAL059W,85.66
YAL060W,187.71
YAL061W,21.72
YAL062W,0
YAL063C,0
YAL063C-A,0
YAL064C-A,0
YAL064W,0
YAL064W-B,0
YAL065C,0
YAL066W,0
YAL067C,2.24
YAL067W-A,0
YAL068C,0
YAL068W-A,0
YAL069W,0
YAR002C-A,0
YAR002W,70.67
YAR003W,33.96
YAR007C,82.58
YAR008W,28.99
YAR009C,0
YAR010C,0
YAR014C,69.97
YAR015W,215.51
YAR018C,34.73
YAR019C,16.27
YAR019W-A,0
YAR020C,0
YAR023C,10.17
YAR027W,66.39
YAR028W,37.65
YAR029W,11.31
YAR030C,0
YAR031W,0
YAR033W,0
YAR035C-A,0
YAR035W,6.45
YAR042W,62.26
YAR047C,0
YAR050W,0
YAR053W,0
YAR060C,0
YAR061W,0
YAR064W,0
YAR066W,0
YAR068W,0
YAR069C,0
YAR070C,0
YAR071W,0
YAR073W,0
YAR075W,0
YBL001C,280.62
YBL002W,1005.7
YBL003C,0
YBL004W,150.68
YBL005W,30.05
YBL005W-A,0
YBL005W-B,0
YBL006C,103.9
YBL006W-A,0
YBL007C,192.07
YBL008W,30.82
YBL008W-A,0
YBL009W,33.42
YBL010C,22.15
YBL011W,86.24
YBL012C,0
YBL013W,11.78
YBL014C,38.53
YBL015W,32.09
YBL016W,49.77
YBL017C,121.31
YBL018C,95.47
YBL019W,11.83
YBL020W,53.16
YBL021C,41.35
YBL022C,157.63
YBL023C,45.47
YBL024W,171.82
YBL025W,28.85
YBL026W,210.33
YBL027W,0
YBL028C,190.36
YBL029C-A,0
YBL029W,3.01
YBL030C,462.74
YBL031W,23.59
YBL032W,185.75
YBL033C,46.79
YBL034C,29.11
YBL035C,37
YBL036C,119.49
YBL037W,36.83
YBL038W,61.09
YBL039C,307.44
YBL039C-A,0
YBL039W-B,0
YBL040C,0
YBL041W,287.94
YBL042C,79.94
YBL043W,0.96
YBL044W,1.21
YBL045C,121.69
YBL046W,24.89
YBL047C,170.63
YBL048W,0
YBL049W,3.21
YBL050W,137.87
YBL051C,97.1
YBL052C,38.97
YBL053W,0
YBL054W,32.53
YBL055C,43.92
YBL056W,217.36
YBL057C,103.87
YBL058W,173.47
YBL059C-A,0
YBL059W,22.95
YBL060W,17.26
YBL061C,69.23
YBL062W,0
YBL063W,24.72
YBL064C,116.34
YBL065W,0
YBL066C,17.83
YBL067C,71.68
YBL068W,101.9
YBL068W-A,0
YBL069W,44.74
YBL070C,0
YBL071C,0
YBL071C-B,0
YBL071W-A,0
YBL072C,0
YBL073W,0
YBL074C,28.42
YBL075C,21.92
YBL076C,786.05
YBL077W,0
YBL078C,29.02
YBL079W,102.75
YBL080C,16.56
YBL081W,0
YBL082C,55.02
YBL083C,0
YBL084C,0
YBL085W,52.08
YBL086C,21.23
YBL087C,0
YBL088C,20.5
YBL089W,25.63
YBL090W,66.73
YBL091C,172.89
YBL091C-A,0
YBL092W,0
YBL093C,76.73
YBL094C,0
YBL095W,0
YBL096C,0
YBL097W,27.15
YBL098W,38.3
YBL099W,480.23
YBL100C,0
YBL100W-A,0
YBL100W-B,0
YBL100W-C,0
YBL101C,39.7
YBL102W,115.37
YBL103C,25.01
YBL104C,33.33
YBL105C,57.94
YBL106C,23.19
YBL107C,49.72
YBL107W-A,0
YBL108C-A,0
YBL108W,0
YBL109W,0
YBL111C,0
YBL112C,0
YBL113C,0
YBL113W-A,0
YBR001C,50.73
YBR002C,53.17
YBR003W,54.21
YBR004C,31.37
YBR005W,23.8
YBR006W,19.41
YBR007C,19.79
YBR008C,17.15
YBR009C,0
YBR010W,0
YBR011C,1719.59
YBR012C,0
YBR012W-A,0
YBR012W-B,0
YBR013C,42.35
YBR014C,86.55
YBR015C,165.86
YBR016W,0
YBR017C,135.63
YBR018C,2.29
YBR019C,0.63
YBR020W,9.41
YBR021W,17.65
YBR022W,45.04
YBR023C,79.04
YBR024W,23.05
YBR025C,904.47
YBR026C,78.23
YBR027C,0
YBR028C,50.9
YBR029C,98.21
YBR030W,35.13
YBR031W,0
YBR032W,0
YBR033W,0.96
YBR034C,172.39
YBR035C,207.43
YBR036C,132.28
YBR037C,40.71
YBR038W,71.24
YBR039W,203.82
YBR040W,0.5
YBR041W,72.17
YBR042C,60.37
YBR043C,26.79
YBR044C,27.88
YBR045C,5.93
YBR046C,52.01
YBR047W,18.56
YBR048W,0
YBR049C,95.57
YBR050C,4.66
YBR051W,0
YBR052C,187.95
YBR053C,58.97
YBR054W,46.93
YBR055C,39.91
YBR056C-B,0
YBR056W,72.59
YBR056W-A,0
YBR057C,30.66
YBR058C,61.57
YBR058C-A,0
YBR059C,76
YBR060C,41.51
YBR061C,58.74
YBR062C,51.4
YBR063C,28.14
YBR064W,0
YBR065C,36.64
YBR066C,48.1
YBR067C,225.68
YBR068C,277.83
YBR069C,270.96
YBR070C,48.59
YBR071W,48.98
YBR072C-A,0
YBR072W,58.64
YBR073W,79.83
YBR074W,84.92
YBR076C-A,0
YBR076W,0.56
YBR077C,70.18
YBR078W,1212.93
YBR079C,326.79
YBR080C,111.22
YBR081C,43.38
YBR082C,511.1
YBR083W,53.37
YBR084C-A,0
YBR084W,0
YBR085C-A,0
YBR085W,23.57
YBR086C,173.5
YBR087W,59.92
YBR088C,176.64
YBR089C-A,0
YBR089W,0
YBR090C,0
YBR091C,62.31
YBR092C,0
YBR093C,0
YBR094W,44.7
YBR095C,33.99
YBR096W,153.21
YBR097W,26.88
YBR098W,13.46
YBR099C,0
YBR101C,105.05
YBR102C,39.35
YBR103C-A,0
YBR103W,34.59
YBR104W,45.03
YBR105C,31
YBR106W,1163.61
YBR107C,20.89
YBR108W,21.52
YBR109C,403.76
YBR109W-A,0
YBR110W,66.09
YBR111C,187.48
YBR111W-A,0
YBR112C,0
YBR113W,0
YBR114W,17.63
YBR115C,118.79
YBR116C,0
YBR117C,1.23
YBR118W,0
YBR119W,31.05
YBR120C,38.28
YBR121C,714.68
YBR121C-A,0
YBR122C,94.54
YBR123C,31.17
YBR124W,0
YBR125C,47.96
YBR126C,206.8
YBR126W-A,0
YBR126W-B,0
YBR127C,1018.94
YBR128C,5.72
YBR129C,46.81
YBR130C,78.97
YBR131C-A,0
YBR131W,16.99
YBR132C,33.86
YBR133C,0
YBR134W,0
YBR135W,83.34
YBR136W,25.81
YBR137W,83.03
YBR138C,17.09
YBR139W,89.52
YBR140C,63.73
YBR141C,21.47
YBR141W-A,0
YBR142W,71.18
YBR143C,490.01
YBR144C,0
YBR145W,23.98
YBR146W,92.23
YBR147W,2.33
YBR148W,4.69
YBR149W,208.59
YBR150C,0
YBR151W,116.03
YBR152W,22.66
YBR153W,28.04
YBR154C,233.48
YBR155W,62.64
YBR156C,18.33
YBR157C,38.02
YBR158W,240.96
YBR159W,218.84
YBR160W,67.55
YBR161W,31.28
YBR162C,590.03
YBR162W-A,0
YBR163W,31.97
YBR164C,156.79
YBR165W,28.96
YBR166C,55.64
YBR167C,32.69
YBR168W,24.55
YBR169C,53.33
YBR170C,70.94
YBR171W,144.06
YBR172C,60.32
YBR173C,124.7
YBR174C,0
YBR175W,35
YBR176W,33.13
YBR177C,0
YBR178W,0
YBR179C,0
YBR180W,0.43
YBR181C,0
YBR182C,3.81
YBR182C-A,0
YBR183W,30.84
YBR184W,6.96
YBR185C,39.48
YBR186W,0.61
YBR187W,191.23
YBR188C,31.29
YBR189W,4449.24
YBR190W,0
YBR191W,0
YBR191W-A,0
YBR192W,39.29
YBR193C,36.41
YBR194W,38.01
YBR195C,26.94
YBR196C,2342.93
YBR196C-A,0
YBR196C-B,0
YBR197C,37.65
YBR198C,69.01
YBR199W,130.67
YBR200W,48.59
YBR200W-A,0
YBR201C-A,0
YBR201W,28.92
YBR202W,66.4
YBR203W,5.38
YBR204C,33.6
YBR205W,177.37
YBR206W,0
YBR207W,67.31
YBR208C,47.39
YBR209W,0
YBR210W,66.54
YBR211C,26.43
YBR212W,48.34
YBR213W,16.7
YBR214W,28.58
YBR215W,24.1
YBR216C,37.09
YBR217W,24.08
YBR218C,0
YBR219C,0
YBR220C,58.27
YBR221C,617.2
YBR221W-A,0
YBR222C,92.36
YBR223C,15.2
YBR223W-A,0
YBR224W,0
YBR225W,19.8
YBR226C,0
YBR227C,40.51
YBR228W,22.5
YBR229C,82.59
YBR230C,124.87
YBR230W-A,0
YBR231C,20.79
YBR232C,0
YBR233W,21.93
YBR233W-A,0
YBR234C,181.73
YBR235W,37.44
YBR236C,58.47
YBR237W,0
YBR238C,37.43
YBR239C,13.86
YBR240C,3.83
YBR241C,22.39
YBR242W,56.25
YBR243C,72.72
YBR244W,150.38
YBR245C,82.61
YBR246W,46.04
YBR247C,82.53
YBR248C,80.95
YBR249C,457.56
YBR250W,3.29
YBR251W,49.54
YBR252W,186.48
YBR253W,72.8
YBR254C,63.84
YBR255C-A,0
YBR255W,19.5
YBR256C,116.83
YBR257W,29.28
YBR258C,15.25
YBR259W,18.74
YBR260C,45.08
YBR261C,117.1
YBR262C,89.61
YBR263W,355.05
YBR264C,50.95
YBR265W,72.44
YBR266C,0
YBR267W,68.12
YBR268W,96.55
YBR269C,90.23
YBR270C,6.23
YBR271W,35.47
YBR272C,40.5
YBR273C,53.96
YBR274W,31.1
YBR275C,34.8
YBR276C,63
YBR277C,0
YBR278W,37.71
YBR279W,77.53
YBR280C,14.37
YBR281C,45.52
YBR282W,84.61
YBR283C,323.91
YBR284W,4.57
YBR285W,3.76
YBR286W,744.17
YBR287W,100.62
YBR288C,64.6
YBR289W,31.81
YBR290W,42.01
YBR291C,24.69
YBR292C,0
YBR293W,19.31
YBR294W,0.23
YBR295W,0
YBR296C,11.49
YBR296C-A,0
YBR297W,0
YBR298C,9.14
YBR298C-A,0
YBR299W,0
YBR300C,0
YBR301W,0
YBR302C,0
YCL001W,179.06
YCL001W-A,0
YCL001W-B,0
YCL002C,49.78
YCL004W,15.49
YCL005W,0
YCL005W-A,0
YCL007C,0
YCL008C,32.34
YCL009C,500.59
YCL010C,69.36
YCL011C,177.03
YCL012C,38.2
YCL014W,51.98
YCL016C,19.43
YCL017C,144.18
YCL018W,0
YCL019W,0
YCL020W,0
YCL021W-A,0
YCL022C,0
YCL023C,0
YCL024W,26.34
YCL025C,32.58
YCL026C-A,0
YCL026C-B,0
YCL027W,17.49
YCL028W,150.8
YCL029C,33.44
YCL030C,317.71
YCL031C,121.79
YCL032W,27.59
YCL033C,71.19
YCL034W,91.48
YCL035C,255.92
YCL036W,29.74
YCL037C,289.73
YCL038C,27.22
YCL039W,20.35
YCL040W,0
YCL041C,0
YCL042W,0
YCL043C,937.43
YCL044C,25.73
YCL045C,183.91
YCL046W,0
YCL047C,38.15
YCL048W,0
YCL048W-A,0
YCL049C,23.82
YCL050C,224.61
YCL051W,27.6
YCL052C,43.65
YCL054W,92.75
YCL054W-A,0
YCL055W,41.87
YCL056C,16.75
YCL057C-A,0
YCL057W,144.67
YCL058C,0
YCL058W-A,0
YCL059C,164.62
YCL061C,33.27
YCL063W,36.42
YCL064C,406.84
YCL065W,0
YCL066W,0
YCL067C,0
YCL068C,0
YCL069W,0
YCL073C,0
YCL074W,0
YCL075W,0
YCL076W,0
YCR001W,0
YCR002C,118.15
YCR003W,43.03
YCR004C,257.43
YCR005C,109.34
YCR006C,0
YCR007C,12.97
YCR008W,113.12
YCR009C,191.66
YCR010C,0.35
YCR011C,106.73
YCR012W,0
YCR013C,0
YCR014C,14.38
YCR015C,23.91
YCR016W,60.75
YCR017C,133.44
YCR018C,0
YCR018C-A,0
YCR019W,24
YCR020C,15.57
YCR020C-A,0
YCR020W-B,0
YCR021C,7.12
YCR022C,0
YCR023C,42.37
YCR024C,13.5
YCR024C-A,0
YCR024C-B,0
YCR025C,0
YCR026C,38.14
YCR027C,31.08
YCR028C,41.14
YCR028C-A,0
YCR030C,52.33
YCR031C,0
YCR032W,26.09
YCR033W,50.66
YCR034W,234.02
YCR035C,62.58
YCR036W,75.52
YCR037C,36.15
YCR038C,0
YCR038W-A,0
YCR039C,0
YCR040W,0
YCR041W,0
YCR042C,41.17
YCR043C,156.56
YCR044C,0
YCR045C,0.2
YCR045W-A,0
YCR046C,100.18
YCR047C,56.02
YCR047W-A,0
YCR048W,84.79
YCR049C,0
YCR050C,0
YCR051W,152.08
YCR052W,90.99
YCR053W,504.78
YCR054C,26.92
YCR057C,104.19
YCR059C,80.88
YCR060W,82.02
YCR061W,0
YCR063W,24.14
YCR064C,0
YCR065W,59.25
YCR066W,10.31
YCR067C,64.23
YCR068W,32.94
YCR069W,97.19
YCR071C,67.08
YCR072C,59.15
YCR073C,12.02
YCR073W-A,0
YCR075C,34.45
YCR075W-A,0
YCR076C,32.48
YCR077C,123.41
YCR079W,17.59
YCR081C-A,0
YCR081W,29.25
YCR082W,248.76
YCR083W,105.4
YCR084C,183.33
YCR085W,0
YCR086W,25.9
YCR087C-A,0
YCR087W,0
YCR088W,0
YCR089W,12.91
YCR090C,118.17
YCR091W,9.02
YCR092C,26.69
YCR093W,139.22
YCR094W,68.09
YCR095C,36.16
YCR095W-A,0
YCR096C,0
YCR097W,132.41
YCR097W-A,0
YCR098C,4.18
YCR099C,10.8
YCR100C,7.01
YCR101C,7.3
YCR102C,0
YCR102W-A,0
YCR104W,0
YCR105W,2.45
YCR106W,18.99
YCR107W,0
YCR108C,0
YDL001W,24.95
YDL002C,51.4
YDL003W,0
YDL004W,248.23
YDL005C,44.3
YDL006W,52.72
YDL007C-A,0
YDL007W,192.02
YDL008W,59.65
YDL009C,0
YDL010W,42.4
YDL011C,0
YDL012C,0
YDL013W,29.58
YDL014W,0
YDL015C,243.37
YDL016C,0
YDL017W,18.15
YDL018C,68.46
YDL019C,67.09
YDL020C,90.64
YDL021W,23.26
YDL022C-A,0
YDL022W,0
YDL023C,0
YDL024C,4.42
