ORF,Weighted_Rank
YAL069W,NaN
YAL068W-A,NaN
YAL068C,0.0138458007738738
YAL067W-A,NaN
YAL067C,0.0181958369765461
YAL066W,NaN
YAL065C,0.0113492862769416
YAL064W-B,0.0115604211328315
YAL064C-A,0.00565340976122175
YAL064W,0.0106302192920128
YAL063C-A,NaN
YAL063C,0.00475066097898313
YAL062W,0.0152353700017031
YAL061W,0.0140745247489876
YAL060W,0.00391361607443587
YAL059C-A,NaN
YAL059W,0.0206384856047772
YAL058W,0.0104269289946927
YAL056C-A,NaN
YAL056W,0.000194153901032643
YAL055W,0.00324986423774102
YAL054C,0.0176450550791176
YAL053W,0.00260803233171694
YAL051W,0.00423203808934394
YAL049C,0.00943115081761532
YAL048C,0.00556472994941193
YAL047W-A,NaN
YAL047C,0.0128465051295825
YAL046C,0.00625614120020913
YAL045C,NaN
YAL044W-A,NaN
YAL044C,0.00838330646206583
YAL043C,0.0101744599739948
YAL042C-A,NaN
YAL042W,0.00676634466033237
YAL041W,0.00301032607829638
YAL040C,0.000478187801761533
YAL039C,0.00497261918294097
YAL038W,0.000498171919287304
YAL037C-B,NaN
YAL037C-A,0.00619291696337444
YAL037W,0.00832632449092938
YAL036C,0.00739249848472035
YAL035W,0.00636994030527926
YAL034C-B,NaN
YAL034W-A,0.00448041176379212
YAL034C,0.0169623273456309
YAL033W,0.0163253357514206
YAL032C,0.00303754422928681
YAL031W-A,NaN
YAL031C,0.0124274804684336
YAL030W,0.008088957925741
YAL029C,0.0101552061846767
YAL028W,0.00767185436937428
YAL027W,0.00839836790894088
YAL026C-A,NaN
YAL026C,0.00620065378628184
YAL025C,0.019662000551278
YAL024C,0.0064862643799848
YAL023C,0.00221119464834228
YAL022C,0.00929781398868234
YAL021C,0.00366466120491363
YAL020C,0.00238665916279961
YAL019W-A,NaN
YAL019W,0.0147650227232949
YAL018C,NaN
YAL017W,0.00806931229260149
YAL016C-B,NaN
YAL016C-A,NaN
YAL016W,0.00565737849511861
YAL015C,0.00459502942344514
YAL014C,0.00433537980453569
YAL013W,0.00277728470471631
YAL012W,0.000125011964074414
YAL011W,0.00258606977126874
YAL010C,0.0114319689410056
YAL009W,0.00961437069661673
YAL008W,0.00403904308917028
YAL007C,0.0118489845080976
YAL005C,0.0112473154905806
YAL004W,NaN
YAL003W,0.00413508905381406
YAL002W,0.00342749589153505
YAL001C,0.00267351673982929
YAR002W,0.016693134026952
YAR002C-A,0.00947134887291688
YAR003W,0.00153635179345006
YAR007C,0.00460183949387464
YAR008W,0.015612214198483
YAR009C,NaN
YAR010C,NaN
YAR014C,0.0138294392816394
YAR015W,0.00232424048671562
YAR018C,0.0156346564448829
YAR019C,0.0108048546174583
YAR019W-A,NaN
YAR020C,0.0138237484234725
YAR023C,0.00825189390645951
YAR027W,0.0059619311166398
YAR028W,0.00508585672738523
YAR029W,0.00471326203794178
YAR030C,NaN
YAR031W,0.00897510057379024
YAR033W,0.00411335713294816
YAR035W,0.015868921784221
YAR035C-A,NaN
YAR042W,0.00663668008280742
YAR047C,NaN
YAR050W,0.00282933322091515
YAR053W,NaN
YAR060C,NaN
YAR064W,0.00804873078533807
YAR066W,0.010530986922899
YAR068W,0.00521526101286247
YAR069C,NaN
YAR070C,NaN
YAR071W,0.00359048451832185
YAR073W,NaN
YAR075W,NaN
YBL113C,NaN
YBL113W-A,NaN
YBL112C,0.0080887873276224
YBL111C,NaN
YBL109W,NaN
YBL108C-A,NaN
YBL108W,NaN
YBL107W-A,NaN
YBL107C,NaN
YBL106C,0.00590802168223736
YBL105C,0.0045532553741413
YBL104C,0.00232117399538269
YBL103C,0.00310241122453351
YBL102W,0.00196662099771652
YBL101C,0.0151017646631631
YBL100W-C,NaN
YBL100W-B,NaN
YBL100W-A,NaN
YBL100C,NaN
YBL099W,0.0138643397631397
YBL098W,0.00552140442155297
YBL097W,0.0156466242256457
YBL096C,NaN
YBL095W,0.000916090795708723
YBL094C,NaN
YBL093C,0.00556457263984301
YBL092W,0.00932874917024654
YBL091C-A,0.0080661759963028
YBL091C,0.00380604955527504
YBL090W,0.0162416985154426
YBL089W,0.00878244622572209
YBL088C,0.012592049877142
YBL087C,0.00621410243141285
YBL086C,0.00107414744479397
YBL085W,0.00485962139121914
YBL084C,0.00976526858001003
YBL083C,NaN
YBL082C,0.0064657124879314
YBL081W,0.0101071250070349
YBL080C,0.00492038231014953
YBL079W,0.0101613608333249
YBL078C,0.0146127410624684
YBL077W,NaN
YBL076C,0.012562509892063
YBL075C,0.016919736545108
YBL074C,0.00740092081016201
