ORF,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10,Var2_11,Var2_12,Var2_13,Var2_14,Var2_15,Var2_16,Var2_17,Var2_18,Var2_19,Var2_20,Var2_21,Var2_22,Var2_23,Var2_24,Var2_25,Var2_26,Var2_27,Var2_28,Var2_29,Var2_30,Var2_31
ORF,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
YER038C,-0.456953642384106,-0.368983957219251,-0.260416666666667,-0.29951690821256,-0.192118226600985,-0.159203980099502,-0.316279069767442,-0.171102661596958,-0.239819004524887,-0.152671755725191,-0.279411764705882,-0.168269230769231,-0.161016949152542,-0.187845303867403,-0.0567685589519651,-0.118483412322275,-0.273743016759777,-0.280701754385965,-0.270042194092827,-0.331550802139037,-0.1875,-0.324022346368715,-0.288659793814433,-0.235807860262009,-0.155080213903743,-0.0656565656565657,0,0,-0.0956937799043062,-0.175141242937853,-0.164893617021277
YBL054W,-0.596026490066225,-0.417112299465241,-0.40625,-0.357487922705314,-0.364532019704433,-0.109452736318408,-0.0465116279069767,0,0,0,0,-0.0961538461538461,-0.0635593220338983,-0.259668508287293,-0.11353711790393,-0.104265402843602,-0.0558659217877095,-0.0701754385964912,-0.126582278481013,-0.513368983957219,-0.21875,-0.23463687150838,-0.216494845360825,-0.126637554585153,-0.0748663101604278,-0.277777777777778,-0.275280898876405,-0.0923076923076923,-0.263157894736842,-0.242937853107345,0
YDR162C,-0.0794701986754967,-0.0855614973262032,-0.171875,-0.169082125603865,-0.083743842364532,-0.338308457711443,-0.153488372093023,-0.133079847908745,-0.0316742081447964,-0.00763358778625954,-0.0294117647058824,-0.0913461538461538,0,-0.0331491712707182,-0.122270742358079,-0.132701421800948,-0.0558659217877095,-0.149122807017544,-0.143459915611814,-0.101604278074866,-0.557291666666667,-0.597765363128492,-0.077319587628866,-0.187772925764192,-0.529411764705882,-0.292929292929293,-0.247191011235955,0,0,0,-0.0319148936170213
YER056C,-0.278145695364238,-0.165775401069519,-0.317708333333333,-0.323671497584541,-0.423645320197044,-0.164179104477612,-0.297674418604651,-0.163498098859316,-0.199095022624434,-0.118320610687023,0,-0.129807692307692,-0.364406779661017,-0.149171270718232,-0.301310043668122,-0.28436018957346,-0.184357541899441,-0.0964912280701754,-0.19831223628692,-0.224598930481283,-0.140625,-0.150837988826816,-0.0927835051546392,-0.126637554585153,-0.422459893048128,-0.5,-0.556179775280899,-0.405128205128205,-0.263157894736842,-0.338983050847458,-0.611702127659574
YAL039C,-0.245033112582781,-0.176470588235294,-0.177083333333333,-0.42512077294686,-0.448275862068965,-0.402985074626866,-0.334883720930233,-0.250950570342205,-0.230769230769231,-0.122137404580153,-0.240196078431373,-0.350961538461538,-0.228813559322034,-0.209944751381215,-0.126637554585153,-0.350710900473934,-0.553072625698324,-0.504385964912281,-0.261603375527426,-0.294117647058824,-0.515625,-0.446927374301676,-0.211340206185567,-0.00436681222707424,-0.385026737967914,-0.348484848484849,-0.376404494382022,-0.343589743589744,-0.105263157894737,-0.112994350282486,-0.473404255319149
YFR041C,-0.47682119205298,-0.572192513368984,-0.317708333333333,-0.217391304347826,-0.147783251231527,0,0,0,0,0,-0.0490196078431373,-0.201923076923077,-0.194915254237288,-0.259668508287293,-0.152838427947598,-0.104265402843602,0,-0.0263157894736842,-0.00421940928270042,-0.171122994652406,-0.166666666666667,-0.0446927374301676,-0.0618556701030928,-0.213973799126638,-0.235294117647059,-0.222222222222222,-0.00561797752808989,-0.0564102564102564,-0.244019138755981,-0.288135593220339,-0.0904255319148936
YOR288C,-0.271523178807947,-0.299465240641711,-0.203125,-0.207729468599034,-0.221674876847291,-0.223880597014925,-0.0837209302325581,-0.133079847908745,-0.108597285067873,-0.16412213740458,-0.112745098039216,-0.110576923076923,-0.114406779661017,-0.171270718232044,-0.2882096069869,-0.274881516587678,-0.251396648044693,-0.285087719298246,-0.181434599156118,-0.229946524064171,-0.203125,-0.625698324022346,-0.371134020618557,-0.270742358078603,-0.235294117647059,-0.227272727272727,-0.353932584269663,-0.256410256410256,-0.229665071770335,-0.327683615819209,-0.207446808510638
YGR180C,-0.165562913907285,-0.203208556149733,-0.197916666666667,0,-0.137931034482759,-0.333333333333333,-0.409302325581395,-0.0836501901140684,-0.330316742081448,-0.137404580152672,-0.377450980392157,-0.144230769230769,-0.0720338983050847,-0.386740331491713,-0.314410480349345,-0.336492890995261,-0.256983240223464,-0.0482456140350877,-0.206751054852321,-0.0427807486631016,-0.0572916666666667,-0.379888268156425,-0.350515463917526,-0.11353711790393,-0.106951871657754,-0.212121212121212,-0.320224719101124,-0.215384615384615,-0.076555023923445,-0.112994350282486,-0.143617021276596
YLR187W,-0.350993377483444,-0.101604278074866,0,0,-0.236453201970443,-0.238805970149254,-0.372093023255814,-0.167300380228137,-0.380090497737557,-0.114503816793893,-0.186274509803922,-0.230769230769231,-0.0635593220338983,-0.00552486187845304,-0.152838427947598,-0.0947867298578199,-0.374301675977654,-0.0614035087719298,-0.0928270042194093,-0.379679144385027,-0.427083333333333,-0.374301675977654,-0.134020618556701,-0.0218340611353712,-0.213903743315508,-0.378787878787879,-0.50561797752809,-0.323076923076923,-0.143540669856459,-0.0451977401129944,-0.324468085106383
YHL042W,-0.198675496688742,-0.117647058823529,-0.182291666666667,-0.164251207729469,-0.12807881773399,-0.0796019900497512,-0.13953488372093,-0.114068441064639,0,-0.202290076335878,-0.186274509803922,-0.149038461538462,-0.144067796610169,-0.248618784530387,-0.218340611353712,-0.170616113744076,-0.184357541899441,-0.109649122807018,-0.105485232067511,-0.417112299465241,-0.223958333333333,-0.279329608938548,-0.118556701030928,-0.074235807860262,-0.0962566844919786,-0.404040404040404,-0.466292134831461,-0.282051282051282,-0.215311004784689,-0.242937853107345,-0.234042553191489
YCL058C,-0.245033112582781,-0.197860962566845,-0.192708333333333,-0.169082125603865,-0.251231527093596,-0.248756218905473,-0.186046511627907,-0.178707224334601,-0.212669683257919,-0.0801526717557252,-0.0637254901960784,-0.192307692307692,-0.190677966101695,-0.364640883977901,-0.366812227074236,-0.241706161137441,-0.279329608938548,-0.232456140350877,-0.329113924050633,-0.390374331550802,-0.21875,-0.536312849162011,-0.319587628865979,-0.126637554585153,-0.0374331550802139,-0.0353535353535354,0,0,-0.23444976076555,-0.288135593220339,-0.271276595744681
YEL054C,-0.0794701986754967,-0.0695187165775401,-0.177083333333333,-0.251207729468599,-0.394088669950739,-0.6318407960199,-0.358139534883721,-0.182509505703422,-0.389140271493213,-0.301526717557252,-0.544117647058824,-0.403846153846154,-0.254237288135593,-0.116022099447514,-0.157205240174672,-0.218009478672986,-0.201117318435754,-0.0657894736842105,-0.30379746835443,-0.385026737967914,-0.109375,-0.0446927374301676,-0.154639175257732,-0.218340611353712,-0.245989304812834,-0.0404040404040404,-0.117977528089888,-0.128205128205128,-0.15311004784689,-0.265536723163842,-0.398936170212766
YPL173W,-0.145695364238411,-0.197860962566845,-0.208333333333333,-0.256038647342995,-0.364532019704433,-0.318407960199005,-0.0697674418604651,-0.11787072243346,-0.158371040723982,-0.0267175572519084,-0.21078431372549,-0.206730769230769,-0.0508474576271186,-0.220994475138122,-0.183406113537118,-0.0663507109004739,-0.0726256983240224,-0.192982456140351,-0.223628691983122,-0.358288770053476,-0.09375,-0.290502793296089,-0.164948453608247,-0.0480349344978166,-0.0695187165775401,-0.095959595959596,-0.235955056179775,-0.215384615384615,-0.22488038277512,-0.214689265536723,-0.148936170212766
YHR176W,-0.278145695364238,-0.315508021390374,-0.526041666666667,-0.463768115942029,-0.502463054187192,-0.482587064676617,-0.195348837209302,-0.136882129277567,-0.167420814479638,-0.114503816793893,-0.17156862745098,-0.375,-0.305084745762712,-0.370165745856354,-0.205240174672489,-0.279620853080569,-0.396648044692737,-0.324561403508772,-0.080168776371308,-0.235294117647059,-0.291666666666667,-0.35195530726257,-0.324742268041237,-0.375545851528384,-0.165775401069519,-0.287878787878788,-0.320224719101124,-0.0666666666666667,0,-0.0225988700564972,-0.329787234042553
YIR041W,-0.28476821192053,-0.491978609625668,-0.630208333333333,-0.42512077294686,-0.41871921182266,-0.164179104477612,-0.158139534883721,-0.20532319391635,-0.289592760180995,-0.248091603053435,-0.186274509803922,-0.211538461538462,-0.0466101694915254,-0.0607734806629834,-0.187772925764192,-0.265402843601896,-0.262569832402235,-0.210526315789474,-0.156118143459916,-0.449197860962567,-0.322916666666667,-0.664804469273743,-0.628865979381443,-0.353711790393013,-0.433155080213904,-0.378787878787879,-0.48876404494382,-0.558974358974359,-0.354066985645933,-0.378531073446328,-0.132978723404255
YDL099W,-0.0860927152317881,-0.117647058823529,-0.0625,-0.00966183574879227,-0.00985221674876847,-0.00995024875621891,0,0,0,-0.0534351145038168,-0.186274509803922,-0.216346153846154,-0.305084745762712,-0.480662983425414,-0.213973799126638,-0.199052132701422,-0.201117318435754,-0.337719298245614,-0.286919831223629,-0.363636363636364,-0.0677083333333333,-0.184357541899441,-0.11340206185567,-0.0960698689956332,0,0,-0.0561797752808989,-0.0512820512820513,-0.0478468899521531,-0.141242937853107,0
YNL151C,-0.490066225165563,-0.352941176470588,-0.348958333333333,-0.178743961352657,-0.305418719211823,-0.283582089552239,-0.12093023255814,-0.136882129277567,-0.0678733031674208,-0.0572519083969466,-0.333333333333333,-0.254807692307692,-0.127118644067797,-0.165745856353591,-0.131004366812227,-0.0947867298578199,-0.35195530726257,-0.0789473684210526,-0.10126582278481,-0.144385026737968,-0.140625,-0.122905027932961,-0.077319587628866,-0.122270742358079,-0.219251336898396,-0.207070707070707,-0.0898876404494382,-0.00512820512820513,-0.0717703349282297,-0.0847457627118644,-0.159574468085106
YDR299W,-0.350993377483444,-0.331550802139037,-0.0989583333333333,-0.304347826086957,-0.172413793103448,-0.189054726368159,-0.297674418604651,-0.186311787072243,-0.199095022624434,-0.0572519083969466,0,-0.0721153846153846,-0.0635593220338983,-0.0939226519337017,-0.0393013100436681,-0.23696682464455,-0.307262569832402,-0.241228070175439,-0.0548523206751055,-0.240641711229947,-0.09375,-0.111731843575419,-0.144329896907217,-0.0698689956331878,-0.0855614973262032,0,-0.151685393258427,-0.138461538461538,-0.129186602870813,0,0
YLR020C,-0.33112582781457,-0.401069518716578,-0.359375,-0.309178743961353,-0.315270935960591,-0.318407960199005,-0.255813953488372,-0.23574144486692,-0.280542986425339,-0.202290076335878,-0.0735294117647059,-0.0625,0,-0.00552486187845304,-0.00436681222707424,0,0,-0.087719298245614,-0.139240506329114,-0.181818181818182,-0.0677083333333333,-0.0391061452513966,-0.211340206185567,-0.179039301310044,-0.117647058823529,-0.095959595959596,-0.0168539325842697,-0.179487179487179,-0.23444976076555,-0.350282485875706,-0.223404255319149
YIL049W,-0.119205298013245,-0.0641711229946524,-0.09375,-0.536231884057971,-0.591133004926108,-0.144278606965174,-0.213953488372093,-0.121673003802281,-0.0633484162895928,-0.141221374045802,-0.181372549019608,-0.278846153846154,-0.177966101694915,-0.0497237569060773,-0.0436681222707424,-0.132701421800948,-0.262569832402235,-0.0789473684210526,0,-0.181818181818182,-0.0364583333333333,-0.17877094972067,-0.164948453608247,0,0,-0.146464646464646,-0.269662921348315,-0.256410256410256,-0.282296650717703,-0.096045197740113,-0.0638297872340425
YLR094C,-0.298013245033113,-0.181818181818182,-0.348958333333333,-0.323671497584541,-0.315270935960591,-0.442786069651741,-0.483720930232558,-0.250950570342205,-0.434389140271493,-0.0725190839694656,-0.0735294117647059,-0.0192307692307692,-0.0254237288135593,-0.0331491712707182,-0.0873362445414847,-0.184834123222749,-0.156424581005587,-0.12280701754386,-0.240506329113924,-0.390374331550802,-0.359375,-0.29608938547486,-0.0876288659793815,-0.0873362445414847,-0.213903743315508,-0.202020202020202,-0.101123595505618,-0.0564102564102564,-0.105263157894737,-0.129943502824859,-0.180851063829787
YDR482C,-0.28476821192053,-0.27807486631016,-0.286458333333333,-0.367149758454106,-0.389162561576355,-0.572139303482587,-0.181395348837209,-0.182509505703422,-0.235294117647059,-0.133587786259542,-0.0882352941176471,-0.158653846153846,-0.0127118644067797,-0.441988950276243,-0.441048034934498,-0.421800947867299,-0.614525139664804,-0.381578947368421,-0.139240506329114,-0.176470588235294,-0.140625,-0.150837988826816,-0.149484536082474,-0.248908296943231,-0.363636363636364,-0.308080808080808,-0.359550561797753,-0.169230769230769,-0.100478468899522,-0.192090395480226,-0.223404255319149
YGL234W,-0.264900662251656,-0.427807486631016,-0.609375,-0.318840579710145,-0.266009852216749,-0.338308457711443,-0.293023255813953,-0.406844106463878,-0.588235294117647,-0.49618320610687,-0.563725490196078,-0.173076923076923,-0.283898305084746,-0.552486187845304,-0.336244541484716,-0.227488151658768,-0.53072625698324,-0.324561403508772,-0.367088607594937,-0.620320855614973,-0.260416666666667,-0.29608938547486,-0.0824742268041237,-0.152838427947598,-0.310160427807487,-0.292929292929293,-0.393258426966292,-0.220512820512821,-0.162679425837321,-0.525423728813559,-0.5
YMR319C,-0.311258278145695,-0.438502673796791,-0.442708333333333,-0.51207729468599,-0.197044334975369,-0.323383084577114,-0.404651162790698,-0.23574144486692,-0.18552036199095,-0.103053435114504,-0.313725490196078,-0.264423076923077,-0.233050847457627,-0.353591160220994,-0.0611353711790393,-0.052132701421801,-0.128491620111732,-0.263157894736842,-0.0970464135021097,-0.240641711229947,-0.208333333333333,-0.245810055865922,-0.283505154639175,-0.235807860262009,-0.251336898395722,-0.262626262626263,-0.376404494382022,-0.287179487179487,-0.311004784688995,-0.169491525423729,-0.468085106382979
YLR172C,-0.185430463576159,-0.229946524064171,-0.270833333333333,-0.304347826086957,-0.172413793103448,-0.159203980099502,-0.516279069767442,-0.422053231939163,-0.14027149321267,-0.206106870229008,-0.259803921568627,-0.341346153846154,-0.288135593220339,-0.154696132596685,-0.301310043668122,-0.407582938388626,-0.547486033519553,-0.342105263157895,-0.172995780590717,-0.219251336898396,-0.151041666666667,-0.547486033519553,-0.463917525773196,-0.301310043668122,-0.497326203208556,-0.232323232323232,-0.387640449438202,-0.394871794871795,-0.358851674641148,-0.146892655367232,-0.218085106382979
YKL061W,-0.105960264900662,-0.0641711229946524,-0.197916666666667,-0.328502415458937,-0.394088669950739,-0.373134328358209,-0.246511627906977,-0.23574144486692,-0.149321266968326,-0.16030534351145,-0.269607843137255,-0.230769230769231,-0.203389830508475,-0.110497237569061,-0.205240174672489,-0.222748815165877,-0.0446927374301676,-0.0350877192982456,-0.0675105485232068,-0.213903743315508,-0.119791666666667,-0.0558659217877095,-0.108247422680412,-0.104803493449782,-0.299465240641711,-0.282828282828283,-0.314606741573034,-0.0205128205128205,-0.0478468899521531,-0.11864406779661,-0.175531914893617
YNR008W,-0.403973509933775,-0.283422459893048,-0.25,-0.106280193236715,-0.0689655172413793,-0.054726368159204,-0.469767441860465,-0.209125475285171,-0.081447963800905,-0.0610687022900763,-0.132352941176471,-0.0480769230769231,-0.207627118644068,-0.0994475138121547,-0.183406113537118,-0.156398104265403,-0.100558659217877,-0.105263157894737,-0.151898734177215,-0.171122994652406,-0.270833333333333,-0.256983240223464,-0.257731958762887,-0.200873362445415,-0.342245989304813,-0.343434343434343,-0.376404494382022,-0.266666666666667,-0.301435406698565,-0.310734463276836,-0.143617021276596
