ORF,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10,Var2_11,Var2_12,Var2_13,Var2_14,Var2_15,Var2_16,Var2_17,Var2_18,Var2_19,Var2_20,Var2_21,Var2_22,Var2_23,Var2_24,Var2_25,Var2_26,Var2_27,Var2_28,Var2_29,Var2_30,Var2_31
ORF,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
YER038C,-0.413840830449827,-0.410699588477366,-0.294290375203915,-0.327392377296408,-0.492179700499168,-0.343393695506371,-0.453595185302502,-0.394960732984293,-0.427327528466176,-0.284818481848185,-0.262064107079958,-0.277658815132049,-0.268499660556687,-0.156697247706422,-0.195767195767196,-0.235089933733039,-0.377596439169139,-0.461859979101358,-0.346084337349398,-0.309545049063336,-0.364433312460864,-0.380937201147593,-0.389409011117613,-0.352941176470588,-0.226034308779011,-0.107616521409625,-0.116511318242344,-0.133928571428571,-0.219537452537107,-0.218279209909608,-0.213844252163164
YBL054W,-0.273702422145329,-0.326748971193416,-0.283197389885807,-0.286262681656156,-0.287520798668885,-0.214621059691482,-0.136838770985112,-0.074607329842932,-0.0703281982585399,-0.0884488448844885,-0.113067981683691,-0.104925053533191,-0.0773930753564155,-0.10605504587156,-0.165079365079365,-0.126538340170401,-0.201409495548961,-0.322187391152908,-0.197289156626506,-0.272375854891466,-0.327489041953663,-0.348103283391776,-0.308952603861907,-0.26890756302521,-0.117389841910528,-0.256536566881394,-0.224700399467377,-0.277562111801242,-0.422160856057991,-0.184466019417476,-0.151627523691801
YDR162C,-0.0719723183391004,-0.0576131687242798,-0.165742251223491,-0.131340828077872,-0.213311148086522,-0.283031522468142,-0.279379157427938,-0.284031413612565,-0.360683188211654,-0.297359735973597,-0.271574498062698,-0.194860813704497,-0.149015614392396,-0.100550458715596,-0.142857142857143,-0.118018302303566,-0.183976261127596,-0.209334726576106,-0.225602409638554,-0.344632768361582,-0.361302442078898,-0.422059292317501,-0.180514921006436,-0.24331550802139,-0.298688193743693,-0.443728685107995,-0.216045272969374,-0.078416149068323,-0.0503969623748706,-0.160026782725142,-0.313967861557478
YER056C,-0.207266435986159,-0.158847736625514,-0.189559543230016,-0.268714011516315,-0.331114808652246,-0.278001341381623,-0.256572695597086,-0.259489528795812,-0.405224380442063,-0.365346534653465,-0.179992955265939,-0.290863668807994,-0.551595383570944,-0.270091743119266,-0.405291005291005,-0.35847270432313,-0.243323442136499,-0.231278300243818,-0.283132530120482,-0.344335414808207,-0.314026299311208,-0.206566783551163,-0.151550614394383,-0.229182582123759,-0.193743693239152,-0.449791587722622,-0.490013315579228,-0.549301242236025,-0.355195029340697,-0.479075995982591,-0.755665430572723
YAL039C,-0.651903114186851,-0.590946502057613,-0.39836867862969,-0.479572251165341,-0.789683860232945,-0.615358819584172,-0.526132404181185,-0.452879581151832,-0.303750837240455,-0.257425742574257,-0.398027474462839,-0.600999286224126,-0.418533604887984,-0.323669724770642,-0.101587301587302,-0.267907857368255,-0.40727002967359,-0.669801462904911,-0.478614457831325,-0.44157002676182,-0.434564809016907,-0.378386993943258,-0.214452896430661,-0.216959511077158,-0.588967373023882,-0.607805987116332,-0.368508655126498,-0.410714285714286,-0.318950638591646,-0.218948778038165,-0.404202719406675
YFR041C,-0.417993079584775,-0.61440329218107,-0.360195758564437,-0.229777899643543,-0.251247920133111,-0.136150234741784,-0.146024707000317,-0.192735602094241,-0.0904219691895512,-0.0867986798679868,-0.108841141246918,-0.109921484653819,-0.0889341479972845,-0.131376146788991,-0.123809523809524,-0.120542757967813,-0.106824925816024,-0.107976314872867,-0.105722891566265,-0.143621766280107,-0.0895428929242329,-0.109021357985336,-0.107080163838502,-0.177616501145913,-0.187689202825429,-0.195907540735127,-0.161118508655126,-0.119565217391304,-0.125302036589575,-0.138935386675594,-0.161104243922538
YOR288C,-0.119377162629758,-0.180658436213992,-0.222512234910277,-0.296408006580751,-0.193677204658902,-0.192488262910798,-0.121000950269243,-0.120746073298429,-0.193569993302076,-0.255445544554455,-0.174004931313843,-0.109921484653819,-0.150033944331297,-0.228623853211009,-0.535449735449736,-0.42663300725781,-0.423961424332344,-0.347614071752003,-0.159638554216867,-0.28040440083259,-0.350031308703819,-0.560726809053236,-0.457284961966062,-0.498090145148969,-0.306088126471578,-0.207275483137552,-0.209054593874834,-0.291925465838509,-0.247842595788747,-0.240709742216271,-0.517923362175525
YGR180C,-0.292733564013841,-0.336625514403292,-0.302446982055465,-0.0924047162051001,-0.0655574043261231,-0.145204560697518,-0.206525182134938,-0.383835078534031,-0.343938379102478,-0.097029702970297,-0.227192673476576,-0.244825124910778,-0.274949083503055,-0.487339449541284,-0.510405643738977,-0.358157147365099,-0.347551928783383,-0.199930337861372,-0.162048192771084,-0.143919119833482,-0.128052598622417,-0.292636276697482,-0.330602691632534,-0.286478227654698,-0.29330642448705,-0.367942402425161,-0.233688415446072,-0.233695652173913,-0.17121159820504,-0.142952795446937,-0.26740832303255
YLR187W,-0.382006920415225,-0.564197530864197,-0.125611745513866,-0.0814367973676995,-0.15540765391015,-0.247149564050972,-0.212860310421286,-0.166557591623037,-0.385130609511052,-0.375577557755776,-0.528002817893625,-0.382940756602427,-0.233536999321113,-0.217247706422018,-0.13968253968254,-0.217418744083307,-0.437314540059347,-0.179728317659352,-0.206927710843374,-0.322033898305085,-0.399812147777082,-0.425565827223462,-0.190754827384435,-0.320855614973262,-0.433905146316852,-0.434255399772641,-0.321571238348868,-0.301630434782609,-0.196410079392475,-0.14228322731838,-0.403378656777915
