max_5_ind_1,max_5_ind_2,max_5_ind_3,max_5_ind_4,max_5_ind_5
1424,6163,383,2417,5150
4516,5003,4234,848,1566
377,6539,6205,3749,2584
5789,372,1008,2213,1651
4954,6405,5117,4038,5177
84,4613,2093,2299,520
6349,2318,5558,8,5929
2750,4929,890,1574,1340
4015,2318,58,4974,5558
4643,1556,505,4168,4505
2531,5928,1831,5999,3361
3104,352,5037,5456,6300
4968,32,1540,5844,3873
141,3786,4666,5596,4622
16,-2,-2,-2,-2
6596,4266,3841,5445,667
2288,5747,910,968,6313
3700,2561,5034,969,1746
132,3294,5600,4421,5601
4984,5647,2937,5768,4958
21,-2,-2,-2,-2
200,6244,93,5007,5237
5414,6530,3054,5523,944
2163,167,1172,1879,93
868,866,6074,1296,1667
4670,5982,2931,4809,3548
5066,1869,2856,802,6375
752,5449,5519,32,1750
29,-2,-2,-2,-2
4703,28,5647,4634,750
5040,6077,424,5138,4290
392,1998,3802,800,3862
6397,2373,1540,5569,4951
34,6298,6373,37,1876
33,-2,-2,-2,-2
1729,4984,989,6312,3988
4230,3221,533,2821,5344
467,5852,3340,33,5067
-2,-2,-2,-2,-2
6398,3607,3216,5623,2189
5034,5367,6499,5593,2060
5829,1193,2635,4984,6020
4065,-2,-2,-2,-2
-2,-2,-2,-2,-2
4065,6097,-2,-2,-2
2639,3726,2948,463,489
5773,1670,6334,5920,2877
424,5822,1853,4285,1921
469,4335,2693,6635,3422
50,-2,-2,-2,-2
49,4673,581,4613,6382
3681,2532,5345,4199,6565
4345,4957,1051,3301,1974
55,6216,1135,2319,1929
53,1389,-2,-2,-2
53,6216,3705,2319,1135
2946,4128,5244,5348,1418
58,-2,-2,-2,-2
8,2318,5558,4015,5250
2380,795,6405,877,2757
6120,4013,561,401,5055
5448,2302,4457,2934,27
5235,4277,137,4000,6131
2508,5597,836,2448,5455
-2,-2,-2,-2,-2
1738,5635,403,806,3049
3290,623,502,1590,4498
68,-2,-2,-2,-2
1140,6251,3671,2944,1869
70,2458,4219,4127,4793
69,2459,2633,4740,4709
950,6492,995,3778,6132
3227,691,5515,2674,5101
6373,-2,-2,-2,-2
4239,5555,5767,4065,6438
2995,5101,2994,6302,4836
2995,5101,2994,6302,4836
2994,2993,1909,6019,2500
5285,5129,5210,5304,3397
132,4069,5725,168,5605
4065,4154,-2,-2,-2
2362,2738,579,764,5548
83,6288,2356,5705,3784
82,1619,3661,5463,5549
2299,4613,5,165,2670
4450,5836,2492,3175,3735
3681,1541,6299,2887,4097
4634,344,4958,473,875
4813,6241,4189,5660,533
599,1373,4804,3523,4642
89,5006,6477,3304,2104
2931,2622,3187,1876,1447
2334,4476,4878,5867,1478
424,4748,6578,6579,2479
4670,2056,3129,4809,2463
94,-2,-2,-2,-2
1976,764,5109,3491,3204
997,4074,2649,2279,4341
6176,99,102,4148,3850
100,98,103,102,4148
99,101,2840,5252,3881
100,102,98,99,-2
801,101,99,4959,98
2146,99,102,3850,5069
4065,3709,-2,-2,-2
1743,4644,5838,1934,62
1863,2974,1637,3060,784
956,5101,1073,5102,3432
3227,1851,3190,3766,4928
116,4436,271,3201,3488
75,2993,-2,-2,-2
113,118,115,6447,2024
2894,5852,-2,-2,-2
3001,3002,3196,111,5715
-2,-2,-2,-2,-2
