ORF,TF
YAL001C,25.0
YAL002W,23.0
YAL003W,41.0
YAL004W,18.0
YAL005C,59.0
YAL007C,28.0
YAL008W,22.0
YAL009W,16.0
YAL010C,27.0
YAL011W,24.0
YAL012W,55.0
YAL013W,24.0
YAL014C,29.0
YAL015C,21.0
YAL016C-A,
YAL016C-B,3.0
YAL016W,24.0
YAL017W,23.0
YAL018C,31.0
YAL019W,19.0
YAL019W-A,
YAL020C,17.0
YAL021C,20.0
YAL022C,47.0
YAL023C,31.0
YAL024C,20.0
YAL025C,43.0
YAL026C,18.0
YAL026C-A,
YAL027W,18.0
YAL028W,41.0
YAL029C,26.0
YAL030W,26.0
YAL031C,20.0
YAL031W-A,
YAL032C,23.0
YAL033W,31.0
YAL034C,27.0
YAL034C-B,2.0
YAL034W-A,23.0
YAL035W,22.0
YAL036C,34.0
YAL037C-A,11.0
YAL037C-B,
YAL037W,31.0
YAL038W,52.0
YAL039C,43.0
YAL040C,64.0
YAL041W,23.0
YAL042C-A,5.0
YAL042W,25.0
YAL043C,31.0
YAL044C,50.0
YAL044W-A,7.0
YAL045C,28.0
YAL046C,23.0
YAL047C,15.0
YAL047W-A,
YAL048C,16.0
YAL049C,21.0
YAL051W,13.0
YAL053W,39.0
YAL054C,45.0
YAL055W,18.0
YAL056C-A,5.0
YAL056W,15.0
YAL058W,14.0
YAL059C-A,
YAL059W,33.0
YAL060W,47.0
YAL061W,48.0
YAL062W,60.0
YAL063C,47.0
YAL063C-A,5.0
YAL064C-A,34.0
YAL064W,30.0
YAL064W-B,18.0
YAL065C,28.0
YAL066W,11.0
YAL067C,42.0
YAL067W-A,3.0
YAL068C,36.0
YAL068W-A,
YAL069W,
YAR002C-A,14.0
YAR002W,19.0
YAR003W,21.0
YAR007C,26.0
YAR008W,21.0
YAR009C,39.0
YAR010C,28.0
YAR014C,14.0
YAR015W,55.0
YAR018C,44.0
YAR019C,19.0
YAR019W-A,
YAR020C,31.0
YAR023C,17.0
YAR027W,46.0
YAR028W,39.0
YAR029W,32.0
YAR030C,14.0
YAR031W,32.0
YAR033W,25.0
YAR035C-A,5.0
YAR035W,53.0
YAR042W,38.0
YAR047C,22.0
YAR050W,46.0
YAR053W,30.0
YAR060C,15.0
YAR061W,21.0
YAR064W,32.0
YAR066W,26.0
YAR068W,54.0
YAR069C,17.0
YAR070C,19.0
YAR071W,84.0
YAR073W,31.0
YAR075W,38.0
YBL001C,30.0
YBL002W,47.0
YBL003C,57.0
YBL004W,26.0
YBL005W,23.0
YBL005W-A,23.0
YBL005W-B,10.0
YBL006C,20.0
YBL006W-A,
YBL007C,19.0
YBL008W,17.0
YBL008W-A,2.0
YBL009W,22.0
YBL010C,15.0
YBL011W,34.0
YBL012C,8.0
YBL013W,21.0
YBL014C,20.0
YBL015W,60.0
YBL016W,39.0
YBL017C,17.0
YBL018C,33.0
YBL019W,18.0
YBL020W,19.0
YBL021C,20.0
YBL022C,20.0
YBL023C,24.0
YBL024W,34.0
YBL025W,15.0
YBL026W,54.0
YBL027W,46.0
YBL028C,60.0
YBL029C-A,37.0
YBL029W,61.0
YBL030C,58.0
YBL031W,23.0
YBL032W,51.0
YBL033C,28.0
YBL034C,20.0
YBL035C,14.0
YBL036C,17.0
YBL037W,19.0
YBL038W,22.0
YBL039C,36.0
YBL039C-A,
YBL039W-B,2.0
YBL040C,25.0
YBL041W,35.0
YBL042C,55.0
YBL043W,61.0
YBL044W,33.0
YBL045C,43.0
YBL046W,17.0
YBL047C,16.0
YBL048W,28.0
YBL049W,47.0
YBL050W,34.0
YBL051C,53.0
YBL052C,22.0
YBL053W,15.0
YBL054W,31.0
YBL055C,18.0
YBL056W,19.0
YBL057C,13.0
YBL058W,38.0
YBL059C-A,21.0
YBL059W,45.0
YBL060W,19.0
YBL061C,19.0
YBL062W,26.0
YBL063W,26.0
YBL064C,53.0
YBL065W,12.0
YBL066C,20.0
YBL067C,15.0
YBL068W,17.0
YBL068W-A,
YBL069W,20.0
YBL070C,20.0
YBL071C,13.0
YBL071C-B,8.0
YBL071W-A,14.0
YBL072C,30.0
YBL073W,19.0
YBL074C,27.0
YBL075C,33.0
YBL076C,22.0
YBL077W,29.0
YBL078C,43.0
YBL079W,28.0
YBL080C,20.0
YBL081W,21.0
YBL082C,30.0
YBL083C,27.0
YBL084C,12.0
YBL085W,21.0
YBL086C,25.0
YBL087C,39.0
YBL088C,17.0
YBL089W,14.0
YBL090W,31.0
YBL091C,19.0
YBL091C-A,25.0
YBL092W,47.0
YBL093C,34.0
YBL094C,12.0
YBL095W,19.0
YBL096C,12.0
YBL097W,22.0
YBL098W,43.0
YBL099W,35.0
YBL100C,16.0
YBL100W-A,2.0
YBL100W-B,4.0
YBL100W-C,2.0
YBL101C,19.0
YBL102W,15.0
YBL103C,21.0
YBL104C,16.0
YBL105C,20.0
YBL106C,25.0
YBL107C,38.0
YBL107W-A,34.0
YBL108C-A,16.0
YBL108W,23.0
YBL109W,41.0
YBL111C,40.0
YBL112C,31.0
YBL113C,36.0
YBL113W-A,
YBR001C,31.0
YBR002C,20.0
YBR003W,25.0
YBR004C,32.0
YBR005W,49.0
YBR006W,59.0
YBR007C,32.0
YBR008C,29.0
YBR009C,65.0
YBR010W,61.0
YBR011C,38.0
YBR012C,40.0
YBR012W-A,22.0
YBR012W-B,23.0
YBR013C,27.0
YBR014C,26.0
YBR015C,27.0
YBR016W,28.0
YBR017C,13.0
YBR018C,38.0
YBR019C,37.0
YBR020W,41.0
YBR021W,30.0
YBR022W,16.0
YBR023C,20.0
YBR024W,25.0
YBR025C,32.0
YBR026C,38.0
YBR027C,12.0
YBR028C,16.0
YBR029C,45.0
YBR030W,17.0
YBR031W,45.0
YBR032W,20.0
YBR033W,30.0
YBR034C,29.0
YBR035C,20.0
YBR036C,23.0
YBR037C,31.0
YBR038W,45.0
YBR039W,35.0
YBR040W,40.0
YBR041W,21.0
YBR042C,22.0
YBR043C,32.0
YBR044C,28.0
YBR045C,28.0
YBR046C,37.0
YBR047W,42.0
YBR048W,44.0
YBR049C,21.0
YBR050C,44.0
YBR051W,21.0
YBR052C,35.0
YBR053C,45.0
YBR054W,82.0
YBR055C,22.0
YBR056C-B,
YBR056W,51.0
YBR056W-A,21.0
YBR057C,31.0
YBR058C,20.0
YBR058C-A,2.0
YBR059C,19.0
YBR060C,28.0
YBR061C,19.0
YBR062C,26.0
YBR063C,20.0
YBR064W,12.0
YBR065C,33.0
YBR066C,58.0
YBR067C,98.0
YBR068C,51.0
YBR069C,50.0
YBR070C,39.0
YBR071W,53.0
YBR072C-A,5.0
YBR072W,80.0
YBR073W,19.0
YBR074W,26.0
YBR076C-A,
YBR076W,37.0
YBR077C,38.0
YBR078W,49.0
YBR079C,23.0
YBR080C,14.0
YBR081C,28.0
YBR082C,48.0
YBR083W,55.0
YBR084C-A,45.0
YBR084W,19.0
YBR085C-A,29.0
YBR085W,40.0
YBR086C,24.0
YBR087W,35.0
YBR088C,27.0
YBR089C-A,14.0
YBR089W,40.0
YBR090C,47.0
YBR091C,38.0
YBR092C,73.0
YBR093C,128.0
YBR094W,22.0
YBR095C,21.0
YBR096W,18.0
YBR097W,20.0
YBR098W,29.0
YBR099C,23.0
YBR101C,59.0
YBR102C,21.0
YBR103C-A,6.0
YBR103W,27.0
YBR104W,27.0
YBR105C,59.0
YBR106W,30.0
YBR107C,15.0
YBR108W,25.0
YBR109C,28.0
YBR109W-A,
YBR110W,22.0
YBR111C,21.0
YBR111W-A,
YBR112C,32.0
YBR113W,14.0
YBR114W,46.0
YBR115C,24.0
YBR116C,44.0
YBR117C,52.0
YBR118W,52.0
YBR119W,20.0
YBR120C,18.0
YBR121C,33.0
YBR121C-A,
YBR122C,16.0
YBR123C,12.0
YBR124W,10.0
YBR125C,16.0
YBR126C,55.0
YBR126W-A,7.0
YBR126W-B,
YBR127C,28.0
YBR128C,26.0
YBR129C,76.0
YBR130C,23.0
YBR131C-A,
YBR131W,22.0
YBR132C,43.0
YBR133C,26.0
YBR134W,24.0
YBR135W,56.0
YBR136W,22.0
YBR137W,35.0
YBR138C,26.0
YBR139W,39.0
YBR140C,23.0
YBR141C,21.0
YBR141W-A,
YBR142W,28.0
YBR143C,26.0
YBR144C,19.0
YBR145W,55.0
YBR146W,25.0
YBR147W,40.0
YBR148W,30.0
YBR149W,40.0
YBR150C,33.0
YBR151W,31.0
YBR152W,18.0
YBR153W,20.0
YBR154C,17.0
YBR155W,32.0
YBR156C,15.0
YBR157C,61.0
YBR158W,62.0
YBR159W,30.0
YBR160W,25.0
YBR161W,32.0
YBR162C,50.0
YBR162W-A,40.0
YBR163W,27.0
YBR164C,32.0
YBR165W,13.0
YBR166C,47.0
YBR167C,37.0
YBR168W,32.0
YBR169C,72.0
YBR170C,23.0
YBR171W,36.0
YBR172C,16.0
YBR173C,21.0
YBR174C,13.0
YBR175W,17.0
YBR176W,16.0
YBR177C,32.0
YBR178W,21.0
YBR179C,26.0
YBR180W,24.0
YBR181C,41.0
YBR182C,33.0
YBR182C-A,12.0
YBR183W,58.0
YBR184W,26.0
YBR185C,42.0
YBR186W,21.0
YBR187W,45.0
YBR188C,24.0
YBR189W,41.0
YBR190W,29.0
