Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"MDM10","YAL010C","below threshold","14.72","3.99562","mitochondria","25.5189","mitochondria","10.0216","mitochondria","20.6236","below threshold","25.5889","cytosol","14.53","0.98","0","4.76","cytosol","14.75","1","0","3.07","cytosol","16.58","1.12","0","","below threshold","below threshold","15.4836","1.05117","0","1.67003","Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins"
"GEM1","YAL048C","","","","mitochondria","64.0374","mitochondria","60.5549","mitochondria","21.1292","punctate,mitochondria","31.3745","","","","","","","","","","","","","","","","","","","","","",""
"CRD1","YDL142C","below threshold","16","4.11234","mitochondria","22.8204","ER","8.89989","below threshold","17.3046","below threshold","24.4492","cytosol","15.13","0.94","0","6.75","cytosol","14.33","0.89","0","3.05","cytosol","20.59","1.28","0","","below threshold","below threshold","15.1511","0.946042","0","2.77243","Cardiolipin synthase; produces cardiolipin, which is a phospholipid of the mitochondrial inner membrane that is required for normal mitochondrial membrane potential and function; also required for normal vacuolar ion homeostasis"
"SAM50","YNL026W","","","","mitochondria","64.3208","mitochondria","46.6557","missing","","punctate,mitochondria","30.2737","","","","","","","","","","","","","","","","","","","","","",""
"FZO1","YBR179c","mitochondria","23.57","6.64577","mitochondria","55.3661","mitochondria","58.6992","mitochondria","22.7093","punctate,mitochondria","35.3098","mitochondria","22.12","0.93","0","6.01","mitochondria","22.5","0.95","0","5.11","mitochondria","26.66","1.13","0","","mitochondria","mitochondria","17.6519","0.74862","0","2.53287","Mitofusin, mitochondrial integral membrane protein involved in mitochondrial fusion and mitochondrial genome maintenance; contains N-terminal GTPase domain; targeted for destruction by cytosolic components of the ubiquitin-proteasome system"
"SCM4","YGR049W","below threshold","17.24","3.78286","mitochondria","66.2668","mitochondria","108.489","mitochondria","19.6115","mitochondria","28.9271","cytosol","14.96","0.86","0","5.74","cytosol","16.27","0.94","0","2.98","cytosol","17.72","1.02","0","","below threshold","below threshold","16.3142","0.945936","0","2.66194","Potential regulatory effector of CDC4 function, suppresses a temperature-sensitive allele of CDC4, tripartite protein structure in which a charged region separates two uncharged domains, not essential for mitosis or meiosis"
"NAT2","YGR147C","below threshold","14.43","","mitochondria","41.3329","punctate,mitochondria","37.1641","below threshold","20.458","below threshold","23.041","cytosol","16.51","1.14","0","","cytosol","15.14","1.04","0","","cytosol","15","1.03","0","","","","","","","","Protein with an apparent role in acetylation of N-terminal methionine residues"
"HEM14","YER014W","below threshold","15.98","4.19817","mitochondria","72.8822","cytosol,mitochondria","107.828","mitochondria","20.248","below threshold","23.645","cytosol","14.28","0.89","0","5.32","cytosol","15.55","0.97","0","3.12","cytosol","16.46","1.02","0","","below threshold","below threshold","14.7466","0.922063","0","1.94251","Protoporphyrinogen oxidase, a mitochondrial enzyme that catalyzes the seventh step in the heme biosynthetic pathway, converting protoporphyrinogen IX to protoporphyrin IX; inhibited by diphenyl ether-type herbicides"
"AIM11","YER093C-A","below threshold","16.74","3.15825","punctate,mitochondria","23.9843","punctate","11.4297","below threshold","14.0146","below threshold","25.3322","cytosol","15.76","0.94","0","5.93","cytosol","15.58","0.93","0","2.79","cytosol","17.06","1.01","0","","below threshold","below threshold","16.8386","1.00558","0","2.85326","Protein of unknown function; null mutant is viable but shows increased loss of mitochondrial genome and synthetic interaction with prohibitin (phb1); contains an intron"
"TOM7","YNL070W","","","","mitochondria","97.0272","mitochondria","72.4495","mitochondria","31.0721","mitochondria","28.0431","","","","","","","","","","","","","","","","","","","","","",""
