Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,Gene Symbol,GenBank Accession,Chromosome,Start Coord,End Coord,Strand,Locus Type,Is Pseudogene,Is Obsolete,Is Partial Gene,Transmembrane Helices,Signal Peptides,Scaffold External Accession,Scaffold GC %,COG,Pfam,Tigrfam,Enzyme,KO,IMG Term
638211351,YHR199C-A,Putative protein of unknown function; transcribed sequence appears to contain an intron,638208609,Saccharomyces cerevisiae S288C,1,NBL1,NP_976247,chromosome VIII,498571,498859,-,CDS,No,No,,,,NC_001140,0.38,,,,,,
638209174,YCL012C,"Putative protein of unknown function; orthologs are present in S. bayanus, S. paradoxus and Ashbya gossypii; YCL012C is not an essential gene",638208609,Saccharomyces cerevisiae S288C,1,YCL012C,NP_976246,chromosome III,101317,101788,-,CDS,No,No,,1,1,NC_001135,0.39,,pfam09435===DUF2015,,,,
638209179,YCL005W-A,"Vacuolar H+ ATPase subunit e of the V0 (membrane) sector, essential for vacuolar acidification",638208609,Saccharomyces cerevisiae S288C,1,VMA9,NP_958835,chromosome III,107023,107417,+,CDS,No,No,,2,,NC_001135,0.39,,pfam05493===ATP_synt_H,,,,
638214787,YPR159C-A,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YPR159C-A,NP_878184,chromosome XVI,860310,860411,-,CDS,No,No,,1,,NC_001148,0.38,,,,,,
638214727,YPR108W-A,Identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YPR108W-A,NP_878183,chromosome XVI,744173,744385,+,CDS,No,No,,,,NC_001148,0.38,,,,,,
638214589,YPL038W-A,Identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YPL038W-A,NP_878182,chromosome XVI,480179,480370,+,CDS,No,No,,,,NC_001148,0.38,,,,,,
638214510,YPL119C-A,Identified by expression profiling and mass spectrometry,638208609,Saccharomyces cerevisiae S288C,1,YPL119C-A,NP_878181,chromosome XVI,324023,324286,-,CDS,No,No,,1,,NC_001148,0.38,,,,,,
638214477,YPL152W-A,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YPL152W-A,NP_878180,chromosome XVI,264601,264699,+,CDS,No,No,,,,NC_001148,0.38,,,,,,
638214439,YPL189C-A,Identified by homology to Ashbya gossypii,638208609,Saccharomyces cerevisiae S288C,1,COA2,NP_878179,chromosome XVI,188306,188512,-,CDS,No,No,,1,,NC_001148,0.38,,pfam17051===COA2,,,KO:K18174===COA2===cytochrome c oxidase assembly factor 2,
638214345,YOR394C-A,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,TEL15R-YP,NP_878178,chromosome XV,1084200,1084367,-,CDS,No,No,,,,NC_001147,0.38,,,,,,
638214332,YOR381W-A,Identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YOR381W-A,NP_878177,chromosome XV,1058421,1058588,+,CDS,No,No,,,,NC_001147,0.38,,,,,,
638214327,YOR376W-A,Identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YOR376W-A,NP_878176,chromosome XV,1045194,1045349,+,CDS,No,No,,,,NC_001147,0.38,,,,,,
638214271,YOR316C-A,Identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YOR316C-A,NP_878175,chromosome XV,907723,907932,-,CDS,No,No,,,,NC_001147,0.38,,,,,,
638214248,YOR293C-A,Identified by expression profiling and mass spectrometry,638208609,Saccharomyces cerevisiae S288C,1,YOR293C-A,NP_878174,chromosome XV,867997,868146,-,CDS,No,No,,,,NC_001147,0.38,,,,,,
638214148,YOR192C-C,Identified by expression profiling and mass spectrometry,638208609,Saccharomyces cerevisiae S288C,1,YOR192C-C,NP_878173,chromosome XV,703989,704225,-,CDS,No,No,,,,NC_001147,0.38,,,,,,
638214116,YOR161C-C,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YOR161C-C,NP_878172,chromosome XV,639122,639268,-,CDS,No,No,,1,,NC_001147,0.38,,,,,,
638214029,YOR072W-B,Identified by expression profiling and mass spectrometry,638208609,Saccharomyces cerevisiae S288C,1,YOR072W-B,NP_878171,chromosome XV,464471,464632,+,CDS,No,No,,,,NC_001147,0.38,,,,,,
