ORF,AA_cons_geometric_all,nt_cons_geometric_all,AA_cons_median_all,nt_cons_median_all,AA_cons_geometric_closest,nt_cons_geometric_closest,AA_cons_median_closest,nt_cons_median_closest,AA_cons_geometric_all_beg,nt_cons_geometric_all_beg,AA_cons_median_all_beg,nt_cons_median_all_beg,AA_cons_geometric_all_end,nt_cons_geometric_all_end,AA_cons_median_all_end,nt_cons_median_all_end,AA_cons_geometric_closest_beg,nt_cons_geometric_closest_beg,AA_cons_median_closest_beg,nt_cons_median_closest_beg,AA_cons_geometric_closest_end,nt_cons_geometric_closest_end,AA_cons_median_closest_end,nt_cons_median_closest_end
YAL067C,0.7050327469479672,0.7163328717663563,0.81,0.762,0.4472891535157696,0.5437624997756508,0.48,0.516,0.4687828694542264,0.6030280078012155,0.429,0.5710000000000001,0.5895205236454986,0.6693450377055068,0.619,0.667,0.2846707227325416,0.4532478500426878,0.247,0.436,0.28598931836581104,0.4616037562844665,0.234,0.4395
YAL065C,0.6937274828273872,0.7625605934538617,0.5,1.0,0.6937274828273872,0.7625605934538617,0.5,1.0,0.6155722066724582,0.6973718331752028,0.5,0.5,0.8010698775896221,0.8428415447546994,1.0,1.0,0.6155722066724582,0.6973718331752028,0.5,0.5,0.8010698775896221,0.8428415447546994,1.0,1.0
YAL064W-B,0.6935154845656926,,0.5,,0.6935154845656926,,0.5,,0.7269862586601553,,1.0,,0.6597539553864472,,0.5,,0.7269862586601553,,1.0,,0.6597539553864472,,0.5,
YAL062W,0.8804689779602551,0.8565490535809946,0.969,0.946,0.6407954224208535,0.6737979055862656,0.7290000000000001,0.703,0.8712871212999452,0.8541435491111584,0.9445,0.93,0.8437035669593947,0.8518740565973435,0.9329999999999999,0.917,0.6451159035893824,0.6829019997471899,0.6535,0.6905000000000001,0.563059168297891,0.649496828784658,0.64,0.6775
YAL061W,0.6112101802466361,0.6648214411518778,0.625,0.6809999999999999,0.39661647764910496,0.51507457782726,0.391,0.488,0.6372940223097394,0.6719973343219158,0.637,0.6735,0.5662619845046964,0.6788011031357012,0.586,0.667,0.4909864443595655,0.5665695766121736,0.496,0.5675,0.24708171711370594,0.42421956154699136,0.2315,0.417
YAL060W,0.6091253702630683,0.6570286776326217,0.623,0.667,0.41781493548786974,0.5261530867536667,0.40399999999999997,0.503,0.6372940223097394,0.6719973343219158,0.637,0.6735,0.5749682002470938,0.6550182124616737,0.5670000000000001,0.6559999999999999,0.4909864443595655,0.5665695766121736,0.496,0.5675,0.3687427844519939,0.522642107117301,0.35700000000000004,0.4975
YAL059W,0.4519436305928667,0.5680155605046726,0.43,0.5539999999999999,0.4441443758819912,0.5618873198138211,0.426,0.547,0.5971256365270003,0.6290417410925309,0.682,0.657,0.3391855193297245,0.52976539676332,0.345,0.509,0.5968963248528986,0.6289654553350051,0.682,0.657,0.3303805423416162,0.5194053100699589,0.32299999999999995,0.491
YAL058W,0.7556794785526928,0.7707899386276921,0.8235,0.828,0.6238338103598925,0.6773078557477966,0.6985,0.7240000000000001,0.6829847934704623,0.7154469158010942,0.6984999999999999,0.7559999999999999,0.6302644119499888,0.7268915307550942,0.6609999999999999,0.7805,0.5139953783087227,0.6068777931267989,0.5425,0.635,0.4358179018711142,0.5827734257673651,0.4125,0.5405
YAL056W,0.4124978060362546,0.5650583660563728,0.389,0.5429999999999999,0.34633712173721193,0.5020369856567147,0.32399999999999995,0.471,0.2706098107344299,0.4788585513158238,0.258,0.471,0.390243548357231,0.5175585017237909,0.3735000000000001,0.4735,0.21835191556644984,0.4094315279372699,0.213,0.4,0.3489243262657018,0.4841847117581346,0.3095,0.442
YAL055W,0.3882093269121968,0.5506889391205978,0.36200000000000004,0.522,0.35969386000307885,0.5243247435145423,0.32,0.5,0.3381009736600712,0.5205880823786225,0.308,0.5,0.4104781761908137,0.5591572421553429,0.3695,0.5379999999999999,0.3101499213229034,0.495092269709857,0.302,0.462,0.3783188831907707,0.5294766106578533,0.3265,0.5
YAL054C,0.8233187952384914,0.7723689466909088,0.95,0.852,0.5349341165137889,0.5918267756983497,0.578,0.594,0.5092194727622465,0.6473833649754833,0.5075000000000001,0.629,0.9399171850593979,0.8120514110079564,1.0,0.961,0.2636934604408659,0.4484983469461957,0.2455,0.424,0.5714354218105291,0.5854447411199518,0.6405,0.603
YAL053W,0.7117719616288464,0.7144073402128052,0.7979999999999999,0.733,0.4617306565980676,0.5581408272343791,0.489,0.539,0.4971223488938137,0.6191071486678166,0.457,0.6,0.5543649052431876,0.6357708106507116,0.56,0.638,0.3597635920255387,0.4894282928349569,0.3245,0.4695,0.2720618793581913,0.42817891176167017,0.208,0.391
