ORF,gravy score,aliphatic index
YAL001C,-0.51,83.17
YAL002W,-0.09,98.8
YAL003W,-0.42,72.18
YAL005C,-0.44,78.82
YAL007C,0.15,104.56
YAL008W,0.28,106.6
YAL009W,-0.32,79.54
YAL010C,-0.47,74.95
YAL011W,-1.11,60.54
YAL012W,-0.14,93.53
YAL013W,-1.0,66.89
YAL014C,-0.51,101.37
YAL015C,-0.35,90.93
YAL016W,0.09,111.12
YAL017W,-0.47,82.2
YAL018C,0.44,99.74
YAL019W,-0.77,73.33
YAL020C,-0.32,71.02
YAL021C,-0.56,72.9
YAL022C,0.26,95.8
YAL023C,-0.05,79.18
YAL024C,-0.6,79.9
YAL025C,-1.18,53.32
YAL026C,-0.21,85.51
YAL027W,-0.26,102.02
YAL028W,-0.69,67.77
YAL029C,-0.33,89.22
YAL030W,-0.22,91.21
YAL031C,-0.46,84.99
YAL032C,-0.83,67.79
YAL033W,-0.24,98.81
YAL034W-A,-0.53,98.46
YAL035W,-0.74,77.01
YAL036C,-0.13,101.1
YAL037W,-0.12,92.57
YAL038W,-0.15,89.15
YAL039C,-0.65,54.55
YAL040C,-0.26,79.38
YAL041W,-0.48,79.55
YAL042W,-0.4,72.98
YAL043C,-0.36,89.58
YAL044C,-0.44,78.44
YAL045C,0.36,96.01
YAL046C,-0.43,80.54
YAL047C,-0.79,88.07
YAL048C,-0.16,92.46
YAL049C,-0.08,83.27
YAL051W,-0.28,84.98
YAL053W,0.22,94.44
YAL054C,-0.27,81.9
YAL055W,-0.3,80.35
YAL056W,-0.47,74.38
YAL058W,-0.34,84.02
YAL059W,-0.81,77.35
YAL060W,-0.06,87.38
YAL061W,-0.24,83.06
YAL062W,-0.19,77.86
YAL063C,-0.12,66.39
YAL064W,-0.24,73.07
YAL066W,0.64,136.21
YAL067C,-0.06,86.24
YAR002W,-0.83,55.78
YAR003W,-0.29,87.87
YAR007C,-0.56,73.26
YAR008W,-0.28,95.02
YAR009C,-0.61,77.85
YAR010C,-0.84,53.61
YAR014C,-1.04,54.89
YAR015W,-0.4,86.41
YAR018C,-0.67,74.44
