,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
YER038C,-6.9,-6.9,-5,-6.2,-3.9,-3.2,-6.8,-4.5,-5.3,-4,-5.7,-3.5,-3.8,-3.4,-1.3,-2.5,-4.9,-6.4,-6.4,-6.2,-3.6,-5.8,-5.6,-5.4,-2.9,-1.3,0,0,-2,-3.1,-3.1
YBL054W,-9,-7.8,-7.8,-7.4,-7.4,-2.2,-1,0,0,0,0,-2,-1.5,-4.7,-2.6,-2.2,-1,-1.6,-3,-9.6,-4.2,-4.2,-4.2,-2.9,-1.4,-5.5,-4.9,-1.8,-5.5,-4.3,0
YDR162C,-1.2,-1.6,-3.3,-3.5,-1.7,-6.8,-3.3,-3.5,-0.7,-0.2,-0.6,-1.9,0,-0.6,-2.8,-2.8,-1,-3.4,-3.4,-1.9,-10.7,-10.7,-1.5,-4.3,-9.9,-5.8,-4.4,0,0,0,-0.6
YER056C,-4.2,-3.1,-6.1,-6.7,-8.6,-3.3,-6.4,-4.3,-4.4,-3.1,0,-2.7,-8.6,-2.7,-6.9,-6,-3.3,-2.2,-4.7,-4.2,-2.7,-2.7,-1.8,-2.9,-7.9,-9.9,-9.9,-7.9,-5.5,-6,-11.5
YAL039C,-3.7,-3.3,-3.4,-8.8,-9.1,-8.1,-7.2,-6.6,-5.1,-3.2,-4.9,-7.3,-5.4,-3.8,-2.9,-7.4,-9.9,-11.5,-6.2,-5.5,-9.9,-8,-4.1,-0.1,-7.2,-6.9,-6.7,-6.7,-2.2,-2,-8.9
YFR041C,-7.2,-10.7,-6.1,-4.5,-3,0,0,0,0,0,-1,-4.2,-4.6,-4.7,-3.5,-2.2,0,-0.6,-0.1,-3.2,-3.2,-0.8,-1.2,-4.9,-4.4,-4.4,-0.1,-1.1,-5.1,-5.1,-1.7
YOR288C,-4.1,-5.6,-3.9,-4.3,-4.5,-4.5,-1.8,-3.5,-2.4,-4.3,-2.3,-2.3,-2.7,-3.1,-6.6,-5.8,-4.5,-6.5,-4.3,-4.3,-3.9,-11.2,-7.2,-6.2,-4.4,-4.5,-6.3,-5,-4.8,-5.8,-3.9
YGR180C,-2.5,-3.8,-3.8,0,-2.8,-6.7,-8.8,-2.2,-7.3,-3.6,-7.7,-3,-1.7,-7,-7.2,-7.1,-4.6,-1.1,-4.9,-0.8,-1.1,-6.8,-6.8,-2.6,-2,-4.2,-5.7,-4.2,-1.6,-2,-2.7
YLR187W,-5.3,-1.9,0,0,-4.8,-4.8,-8,-4.4,-8.4,-3,-3.8,-4.8,-1.5,-0.1,-3.5,-2,-6.7,-1.4,-2.2,-7.1,-8.2,-6.7,-2.6,-0.5,-4,-7.5,-9,-6.3,-3,-0.8,-6.1
YHL042W,-3,-2.2,-3.5,-3.4,-2.6,-1.6,-3,-3,0,-5.3,-3.8,-3.1,-3.4,-4.5,-5,-3.6,-3.3,-2.5,-2.5,-7.8,-4.3,-5,-2.3,-1.7,-1.8,-8,-8.3,-5.5,-4.5,-4.3,-4.4
YCL058C,-3.7,-3.7,-3.7,-3.5,-5.1,-5,-4,-4.7,-4.7,-2.1,-1.3,-4,-4.5,-6.6,-8.4,-5.1,-5,-5.3,-7.8,-7.3,-4.2,-9.6,-6.2,-2.9,-0.7,-0.7,0,0,-4.9,-5.1,-5.1
YEL054C,-1.2,-1.3,-3.4,-5.2,-8,-12.7,-7.7,-4.8,-8.6,-7.9,-11.1,-8.4,-6,-2.1,-3.6,-4.6,-3.6,-1.5,-7.2,-7.2,-2.1,-0.8,-3,-5,-4.6,-0.8,-2.1,-2.5,-3.2,-4.7,-7.5
YPL173W,-2.2,-3.7,-4,-5.3,-7.4,-6.4,-1.5,-3.1,-3.5,-0.7,-4.3,-4.3,-1.2,-4,-4.2,-1.4,-1.3,-4.4,-5.3,-6.7,-1.8,-5.2,-3.2,-1.1,-1.3,-1.9,-4.2,-4.2,-4.7,-3.8,-2.8
YHR176W,-4.2,-5.9,-10.1,-9.6,-10.2,-9.7,-4.2,-3.6,-3.7,-3,-3.5,-7.8,-7.2,-6.7,-4.7,-5.9,-7.1,-7.4,-1.9,-4.4,-5.6,-6.3,-6.3,-8.6,-3.1,-5.7,-5.7,-1.3,0,-0.4,-6.2
YIR041W,-4.3,-9.2,-12.1,-8.8,-8.5,-3.3,-3.4,-5.4,-6.4,-6.5,-3.8,-4.4,-1.1,-1.1,-4.3,-5.6,-4.7,-4.8,-3.7,-8.4,-6.2,-11.9,-12.2,-8.1,-8.1,-7.5,-8.7,-10.9,-7.4,-6.7,-2.5
YDL099W,-1.3,-2.2,-1.2,-0.2,-0.2,-0.2,0,0,0,-1.4,-3.8,-4.5,-7.2,-8.7,-4.9,-4.2,-3.6,-7.7,-6.8,-6.8,-1.3,-3.3,-2.2,-2.2,0,0,-1,-1,-1,-2.5,0
YNL151C,-7.4,-6.6,-6.7,-3.7,-6.2,-5.7,-2.6,-3.6,-1.5,-1.5,-6.8,-5.3,-3,-3,-3,-2,-6.3,-1.8,-2.4,-2.7,-2.7,-2.2,-1.5,-2.8,-4.1,-4.1,-1.6,-0.1,-1.5,-1.5,-3
YDR299W,-5.3,-6.2,-1.9,-6.3,-3.5,-3.8,-6.4,-4.9,-4.4,-1.5,0,-1.5,-1.5,-1.7,-0.9,-5,-5.5,-5.5,-1.3,-4.5,-1.8,-2,-2.8,-1.6,-1.6,0,-2.7,-2.7,-2.7,0,0
YLR020C,-5,-7.5,-6.9,-6.4,-6.4,-6.4,-5.5,-6.2,-6.2,-5.3,-1.5,-1.3,0,-0.1,-0.1,0,0,-2,-3.3,-3.4,-1.3,-0.7,-4.1,-4.1,-2.2,-1.9,-0.3,-3.5,-4.9,-6.2,-4.2
YIL049W,-1.8,-1.2,-1.8,-11.1,-12,-2.9,-4.6,-3.2,-1.4,-3.7,-3.7,-5.8,-4.2,-0.9,-1,-2.8,-4.7,-1.8,0,-3.4,-0.7,-3.2,-3.2,0,0,-2.9,-4.8,-5,-5.9,-1.7,-1.2
YLR094C,-4.5,-3.4,-6.7,-6.7,-6.4,-8.9,-10.4,-6.6,-9.6,-1.9,-1.5,-0.4,-0.6,-0.6,-2,-3.9,-2.8,-2.8,-5.7,-7.3,-6.9,-5.3,-1.7,-2,-4,-4,-1.8,-1.1,-2.2,-2.3,-3.4
YDR482C,-4.3,-5.2,-5.5,-7.6,-7.9,-11.5,-3.9,-4.8,-5.2,-3.5,-1.8,-3.3,-0.3,-8,-10.1,-8.9,-11,-8.7,-3.3,-3.3,-2.7,-2.7,-2.9,-5.7,-6.8,-6.1,-6.4,-3.3,-2.1,-3.4,-4.2
YGL234W,-4,-8,-11.7,-6.6,-5.4,-6.8,-6.3,-10.7,-13,-13,-11.5,-3.6,-6.7,-10,-7.7,-4.8,-9.5,-7.4,-8.7,-11.6,-5,-5.3,-1.6,-3.5,-5.8,-5.8,-7,-4.3,-3.4,-9.3,-9.4
YMR319C,-4.7,-8.2,-8.5,-10.6,-4,-6.5,-8.7,-6.2,-4.1,-2.7,-6.4,-5.5,-5.5,-6.4,-1.4,-1.1,-2.3,-6,-2.3,-4.5,-4,-4.4,-5.5,-5.4,-4.7,-5.2,-6.7,-5.6,-6.5,-3,-8.8
YLR172C,-2.8,-4.3,-5.2,-6.3,-3.5,-3.2,-11.1,-11.1,-3.1,-5.4,-5.3,-7.1,-6.8,-2.8,-6.9,-8.6,-9.8,-7.8,-4.1,-4.1,-2.9,-9.8,-9,-6.9,-9.3,-4.6,-6.9,-7.7,-7.5,-2.6,-4.1
YKL061W,-1.6,-1.2,-3.8,-6.8,-8,-7.5,-5.3,-6.2,-3.3,-4.2,-5.5,-4.8,-4.8,-2,-4.7,-4.7,-0.8,-0.8,-1.6,-4,-2.3,-1,-2.1,-2.4,-5.6,-5.6,-5.6,-0.4,-1,-2.1,-3.3
YNR008W,-6.1,-5.3,-4.8,-2.2,-1.4,-1.1,-10.1,-5.5,-1.8,-1.6,-2.7,-1,-4.9,-1.8,-4.2,-3.3,-1.8,-2.4,-3.6,-3.2,-5.2,-4.6,-5,-4.6,-6.4,-6.8,-6.7,-5.2,-6.3,-5.5,-2.7
YGL233W,-6.2,-4.3,-3.3,-4.8,-4.8,-4.2,-5.1,-7.7,-6.9,-5.7,-2.2,-8.5,-4,-2.9,-3,-2.8,-6.6,-7.5,-7.3,-9,-7.6,-5.2,-6.4,-7.8,-5.2,-2.8,-1.9,-3.9,-3.9,-1.5,-2.2
YIL055C,-5.3,-8.1,-7,-7.6,-6.3,-6.5,-5.8,-5.5,-5.5,-5.4,-2,-4.3,-6.8,-4.5,-5.2,-8.1,-7.6,-5.1,-5.9,-0.5,-1.2,-2.2,-2.2,-2.5,-1.3,-1.8,-0.6,-9.5,-7.4,-4.9,-4.9
YLR103C,-3.8,-0.4,-1.9,-0.3,0,-0.3,-0.3,-0.2,-3.6,-6.5,-11.3,-6.8,-3.5,-3.6,-5.4,-8.2,-9.4,-8.1,-1.8,-2.1,-4.2,-3.3,-5.4,-4.1,-8.9,-7,-3.6,-3.6,-3.6,-3.6,-4.5
YAL017W,-3.4,-4,-5.9,-1.6,-1,-3.5,-3.5,-5.4,-6.5,-5.2,0,-0.2,-0.2,0,-1,-7.7,-7.7,-3.8,-3.3,-1.6,0,-8,-3,-2.5,-1.1,-0.7,-1.5,-1.5,0,-2.3,-3.3
YCL067C,0,0,-1.9,-0.5,-1.3,-1,-2.2,-2.1,-4.3,-6,-3.4,-3.4,-1.3,-1.3,-2.1,-2.8,-3.9,-3.4,0,-2,-6.2,-8.9,-2.9,0,-2.1,-2.1,-1.7,-3,-1.3,-1.3,-0.9
YDL074C,-3.1,-4.1,-4.1,-5.1,-4.9,-8.7,-5.3,-5.5,-4.6,-7.3,-6.5,-5.5,-5.9,-4.4,-9.9,-7,-7.9,-5.2,-4.8,-4.9,-4.9,-5.2,-1.7,-1.4,-2.8,-2.4,-4,-5.4,-10.3,-7.8,-8.1
YHR140W,-2.9,-2.4,-4.4,-7.6,-8.6,-12.6,-7.8,-12.7,-4.9,-3.4,-1.2,-0.3,0,0,-0.5,-1.2,0,0,0,0,0,-1.4,-0.1,-1.3,-2.2,-2.7,-2.4,-2.5,-3,-8.8,-4.4
YJR010W,-4.4,-4.9,-3.2,-3.2,-2,-5.3,-7.1,-6.8,-2.6,-3.6,-1.4,0,-2,-2,-2.9,-5,-4.1,-4.1,-6.7,-6.7,-3.7,-2.5,-3.2,-3.4,-5.2,-5.2,-1.9,-0.5,0,0,-0.6
YLR100W,-4.4,-4.4,-2.3,-4.5,-5.2,-5.6,-6.4,-5.3,-7.8,-4.9,-3.9,-10,-10,-2.8,-3.9,-2.1,-3.8,-3.5,-2.1,-2.2,-12.6,-13.2,-11.8,-5,-3.7,-3.6,-1.4,-4.9,-6.5,-6.5,-6.6
YEL033W,0,0,0,-0.6,-0.6,-0.4,0,0,0,-0.6,-1.8,-0.4,0,-3.2,-3.2,-1.1,-0.9,0,-0.3,-2.5,-6,-5.3,-6.3,-3.1,-6.7,-19,-17.7,-12.4,-7.4,0,-2.9
YIL038C,-2.8,-2.8,-2.8,-1.3,-5.3,-5.3,-0.2,-1,-1,-3.6,-3.3,-3.2,-3.9,-1.8,-3.3,-3.3,-3,-2.8,-0.7,-0.1,-1.4,-4.6,-5.8,-5.8,-2.3,-4.4,-2.7,-2.5,-5.9,0,-2.7
YDR018C,-5.8,-4.2,-3,-5.3,-9.2,-6.8,-4.3,-7.6,-10.5,-5,-6.2,-6.2,-3.4,-9.8,-7.4,-2.8,-0.5,-1.7,-2.1,-1.6,-2.3,-2.9,-2.7,-6.4,-0.9,-3.4,-2.5,-8,-4.5,-4.5,-9.9
YIL002C,-4.8,-4.9,-4,-0.5,-0.8,-2.8,-5.6,-6.3,-2.9,-3.2,-1.2,0,-1.1,-0.9,-2.2,-3.3,-3.1,-4.3,0,-1.2,-9.5,-10.3,-8.6,-6.7,-3.4,-7.3,-11.2,-10.6,-8.4,-3.1,-1
