Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"SRP14","YDL092W","ER","63.51","16.1819","cell periphery,nucleolus","88.3289","nucleus,nucleolus","179.813","ER","55.2924","ambigous,nucleolus","34.7682","ER","70.02","1.1","0","20.96","ER","50.84","0.8","0","7.79","ER","52.43","0.82","0","","ER","ER","51.273","0.807226","0","5.45173","Signal recognition particle (SRP) subunit, interacts with the RNA component of SRP to form the Alu domain, which is the region of SRP responsible for arrest of nascent chain elongation during membrane targeting; homolog of mammalian SRP14"
"NOC2","YOR206W","nucleolus","149.86","","nucleolus","99.9688","nucleus,nucleolus","76.0554","nucleus,nucleolus","124.263","#N/A","","nucleolus","102.61","0.68","0","","nucleolus","143.81","0.95","0","","nucleolus","43.05","0.28","-1","","","","","","","","Protein that forms a nucleolar complex with Mak21p that binds to 90S and 66S pre-ribosomes, as well as a nuclear complex with Noc3p that binds to 66S pre-ribosomes; both complexes mediate intranuclear transport of ribosomal precursors"
"SPB4","YFL002C","below threshold","15.28","3.56648","nucleolus","65.8717","nucleus","84.6664","nucleus,nucleolus","52.283","#N/A","","cytosol","16.71","1.09","0","5.69","cytosol","16.86","1.1","0","3.04","cytosol","16.65","1.08","0","","below threshold","below threshold","17.1144","1.1192","0","2.85491","Putative ATP-dependent RNA helicase, nucleolar protein required for synthesis of 60S ribosomal subunits at a late step in the pathway; sediments with 66S pre-ribosomes in sucrose gradients"
"TRA1","YHR099W","","","","cytosol,nucleolus","59.1547","nucleus","36.158","nucleus","23.7912","#N/A","","","","","","","","","","","","","","","","","","","","","","",""
"RPA49","YNL248C","nucleolus","97.24","29.1292","nucleolus","155.113","nucleus,nucleolus","211.35","nucleolus","105.563","nucleus","48.1623","nucleolus","68.9","0.7","0","20.72","nucleolus","100.99","1.03","0","26.22","nucleolus","34.7","0.35","-1","","nucleolus","nucleolus","104.569","1.07526","0","21.7691","RNA polymerase I subunit A49"
"ORC3","YLL004W","","","","nucleolus","36.1094","nucleus","20.3068","nucleus","23.2334","#N/A","","","","","","","","","","","","","","","","","","","","","","",""
"RPB5","YBR154C","","","","nucleolus","161.149","punctate,nucleus","238.304","punctate,nucleus","17.7414","nucleus","66.7029","","","","","","","","","","","","","","","","","","","","","",""
"LYS14","YDR034C","nucleus","26.58","5.36194","nucleolus","40.2239","punctate,nucleus","28.3217","below threshold","17.4327","#N/A","","nucleus","","","0","","nucleus","","","0","","nucleus","","","","","nucleus","nucleus","","","0","","Transcriptional activator involved in regulation of genes of the lysine biosynthesis pathway; requires 2-aminoadipate semialdehyde as co-inducer"
"SRP68","YPL243W","cytosol","79.99","17.8933","ER,nucleolus","85.9313","nucleus,nucleolus","46.5408","ER","74.5755","cytosol","33.2845","cytosol","79.44","0.99","0","24.32","cytosol","91.54","1.14","0","11.67","cytosol","58.08","0.72","0","","cytosol","cytosol","100.85","1.26072","0","18.6056","Core component of the signal recognition particle (SRP) ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane"
"RRP7","YCL031C","nucleus","80.75","22.6359","nucleolus","60.1929","nucleus,nucleolus","40.4272","nucleus","58.9589","nucleolus","33.5314","nucleus","64.83","0.8","0","19.79","punctate","","","0","","punctate","","","","","nucleus","nucleus","70.6837","0.875278","0","10.4027","Essential protein involved in rRNA processing and ribosome biogenesis"
"RPN13","YLR421C","below threshold","16.29","3.62892","nucleolus","55.7446","nucleus","286.658","nucleus","41.1764","below threshold","24.4172","cytosol","15.94","0.97","0","5.21","cytosol","15.99","0.98","0","3.27","cytosol","17.87","1.09","0","","below threshold","below threshold","16.5572","1.0159","0","2.34287","Subunit of the 19S regulatory particle of the 26S proteasome lid; acts as a ubiquitin receptor for the proteasome; null mutants accumulate ubiquitinated Gcn4p and display decreased 26S proteasome stability"
"RPN9","YDR427W","nucleus","124.48","29.079","nucleolus","72.1257","nucleus","114.078","nucleus","85.6299","nucleus","32.4764","nucleus","111.2","0.89","0","35.37","nucleus","116.21","0.93","0","19.26","nucleus","114.47","0.91","0","","nucleus","nucleus","135.014","1.08451","0","25.167","Non-ATPase regulatory subunit of the 26S proteasome, has similarity to putative proteasomal subunits in other species; null mutant is temperature sensitive and exhibits cell cycle and proteasome assembly defects"
"RPA12","YJR063W","nucleolus","177.53","48.8718","nucleolus","168.147","nucleolus","235.881","nucleolus","104.783","punctate","58.6432","nucleolus","123.17","0.69","0","40.86","nucleolus","110.53","0.62","0","25.16","nucleolus","69.91","0.39","-1","","nucleolus","nucleolus","137.154","0.772528","0","24.9963","RNA polymerase I subunit A12.2; contains two zinc binding domains, and the N terminal domain is responsible for anchoring to the RNA pol I complex"
"RRP1","YDR087C","below threshold","16.28","3.47416","nucleolus","219.535","nucleus,nucleolus","283.924","nucleus,nucleolus","119.058","nucleus","62.098","cytosol","16.3","1","0","5.36","cytosol","14.22","0.87","0","3.52","cytosol","15.52","0.95","0","","below threshold","below threshold","16.5478","1.016","0","2.45033","Essential evolutionarily conserved nucleolar protein necessary for biogenesis of 60S ribosomal subunits and processing of pre-rRNAs to mature rRNAs, associated with several distinct 66S pre-ribosomal particles"
"MRD1","YPR112C","below threshold","16.69","4.56324","nucleolus","99.0874","nucleus","109.105","nucleus,nucleolus","88.8342","nucleus","44.8371","cytosol","17.46","1.04","0","5.41","cytosol","18.71","1.12","0","3.85","cytosol","15.34","0.91","0","","below threshold","below threshold","17.2598","1.03367","0","3.29852","Essential conserved protein that is part of the 90S preribosome; required for production of 18S rRNA and small ribosomal subunit; contains five consensus RNA-binding domains"
