Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"KTR3","YBR205W","vacuole","19.9","6.02277","punctate,vacuole","98.928","vacuole","181.367","punctate","27.1021","punctate","38.7201","vacuole","17.55","0.88","0","6.43","vacuole","19.28","0.96","0","5.44","vacuole","18.27","0.91","0","","vacuole","vacuole","18.0481","0.906592","0","2.24219","Putative alpha-1,2-mannosyltransferase involved in O- and N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family"
"SRF1","YDL133W","","","","cell periphery,vacuole","35.5356","cell periphery,vacuole","43.1701","below threshold","19.6724","below threshold","30.375","","","","","","","","","","","","","","","","","","","","","",""
"FUI1","YBL042C","cell periphery","55.68","14.7542","cell periphery,vacuole","43.7615","cell periphery,bud neck","51.5953","cell periphery","38.6034","below threshold","28.1393","cell periphery","46.46","0.83","0","16.82","punctate","","","0","","vacuole","","","","","nuclear periphery","cell periphery","46.1879","0.829371","0","8.99325","High affinity uridine permease, localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport"
"PHM6","YDR281C","","","","vacuole","23.4629","vacuole","13.6938","vacuole","20.2824","below threshold","24.984","","","","","","","","","","","","","","","","","","","","","",""
"BSD2","YBR290W","below threshold","14.59","3.99841","punctate,vacuole","33.6177","vacuole","41.5513","ambiguous","25.6479","below threshold","25.4844","cytosol","14.86","1.01","0","5.44","cytosol","13.57","0.92","0","2.65","cytosol","18.75","1.28","0","","below threshold","below threshold","13.2403","0.906912","0","1.80408","Heavy metal ion homeostasis protein, facilitates trafficking of Smf1p and Smf2p metal transporters to the vacuole where they are degraded, controls metal ion transport, prevents metal hyperaccumulation, functions in copper detoxification"
"COS2","YBR302C","below threshold","15.26","4.22985","vacuole","75.8293","vacuole","96.4378","below threshold","17.0957","below threshold","24.3588","cytosol","16.43","1.07","0","9","cytosol","14.81","0.97","0","2.57","cytosol","18.06","1.18","0","","below threshold","below threshold","15.8441","1.03809","0","1.91812","Protein of unknown function, member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins"
"VMA9","YCL005W-A","","","","vacuole","48.0168","cell periphery,vacuole","75.0145","below threshold","18.7965","below threshold","25.0181","","","","","","","","","","","","","","","","","","","","","",""
"FUR4","YBR021W","below threshold","15.5","4.23825","cell periphery,vacuole","37.0553","cell periphery,vacuole","45.3301","below threshold","26.7003","cell periphery,punctate","31.4276","cytosol","14.72","0.94","0","5.01","cytosol","16.89","1.08","0","4","cytosol","15.32","0.98","0","","below threshold","below threshold","","","0","","Uracil permease, localized to the plasma membrane; expression is tightly regulated by uracil levels and environmental cues"
"COS7","YDL248W","below threshold","15.25","4.2702","vacuole","41.7103","vacuole","41.0261","below threshold","18.2576","below threshold","24.7244","cytosol","15.8","1.03","0","5.44","cytosol","13.87","0.9","0","2.57","cytosol","19.39","1.27","0","","below threshold","below threshold","14.7554","0.966989","0","2.89896","Protein of unknown function, member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"CHS2","YBR038W","below threshold","16.78","5.8448","punctate,vacuole","58.5784","vacuole","104.602","punctate","28.8778","below threshold","25.6889","cytosol","14.15","0.84","0","10.8","cytosol","15.6","0.92","0","2.9","cytosol","15.97","0.95","0","","below threshold","below threshold","16.4527","0.98","0","4.58453","Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to chitin upon activation of zymogenic form; required for chitin synthesis in the primary septum during cytokinesis; localization regulated by Cdk1p during mitosis"
"FIG1","YBR040W","below threshold","15.3","3.82713","vacuole","47.6342","vacuole","151.83","below threshold","17.6286","below threshold","24.5456","cytosol","14.76","0.96","0","4.18","cytosol","14.21","0.92","0","2.63","cytosol","15.77","1.03","0","","below threshold","below threshold","15.5846","1.01764","0","2.40439","Integral membrane protein required for efficient mating; may participate in or regulate the low affinity Ca2+ influx system, which affects intracellular signaling and cell-cell fusion during mating"
"YCR007C","YCR007C","below threshold","17","","cell periphery,vacuole","96.2713","cell periphery,vacuole","239.005","below threshold","17.7554","punctate","50.458","cytosol","17.68","1.04","0","","cytosol","14.62","0.86","0","","cytosol","15.6","0.91","0","","","","","","","","Putative integral membrane protein, member of DUP240 gene family; YCR007C is not an essential gene"
"ADY2","YCR010C","below threshold","14.87","4.17463","cell periphery,vacuole","121.029","cell periphery,vacuole","304.917","below threshold","18.3291","ER,punctate","39.6669","cytosol","14.73","0.99","0","4.22","cytosol","15.63","1.05","0","3.06","cytosol","17.33","1.16","0","","below threshold","below threshold","14.5851","0.98025","0","2.21049","Acetate transporter required for normal sporulation; phosphorylated in mitochondria"
