Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"FRT2","YAL028W","","","","ambiguous,ER","33.7927","vacuole","18.9032","below threshold","15.2517","below threshold","27.6859","","","","","","","","","","","","","","","","","","","","","",""
"LPP1","YDR503C","below threshold","14.3","3.44188","ambiguous,punctate","48.7848","vacuole","63.6498","below threshold","22.0849","below threshold","24.7113","cytosol","15.09","1.05","0","4.35","cytosol","13.89","0.97","0","2.94","cytosol","19.44","1.35","0","","below threshold","below threshold","14.2341","0.995057","0","1.69597","Lipid phosphate phosphatase, catalyzes Mg(2+)-independent dephosphorylation of phosphatidic acid (PA), lysophosphatidic acid, and diacylglycerol pyrophosphate; involved in control of the cellular levels of phosphatidylinositol and PA"
"SPG1","YGR236C","below threshold","17.55","3.20858","ambiguous","39.0367","ER","18.8253","below threshold","17.498","below threshold","23.5927","cytosol","16.62","0.94","0","6.54","cytosol","14.88","0.84","0","2.35","cytosol","15.82","0.9","0","","below threshold","below threshold","16.0951","0.916454","0","2.31017","Protein required for survival at high temperature during stationary phase; not required for growth on nonfermentable carbon sources; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"YHL044W","YHL044W","below threshold","17.48","","ambiguous","26.4509","vacuole","12.4968","below threshold","15.4136","below threshold","23.917","cytosol","17.67","1.01","0","","cytosol","15.49","0.88","0","","cytosol","16.47","0.94","0","","","","","","","","Putative integral membrane protein, member of DUP240 gene family; green fluorescent protein (GFP)-fusion protein localizes to the plasma membrane in a punctate pattern"
"STE2","YFL026W","vacuole, cell periphery","69.37","31.5461","ambiguous","44.2186","below threshold","0","missing","","#N/A","","vacuole, cell periphery","21.64","0.31","-1","11.08","vacuole, cell periphery","34.54","0.49","-1","8.66","vacuole, cell periphery","21.39","0.3","-1","","vacuole","vacuole, cell periphery","53.1027","0.765421","0","14.1486","Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells"
"ERC1","YHR032W","","","","ambiguous","29.3686","vacuole","8.4375","below threshold","21.9291","below threshold","24.1804","","","","","","","","","","","","","","","","","","","","","",""
"YFR035C","YFR035C","below threshold","15.64","","ambiguous","22.7914","below threshold","7.27829","below threshold","17.9688","below threshold","22.8228","cytosol","17.09","1.09","0","","cytosol","17.17","1.09","0","","cytosol","16.73","1.06","0","","","","","","","","Putative protein of unknown function, deletion mutant exhibits synthetic phenotype with alpha-synuclein"
"SUL2","YLR092W","cytosol","19.49","5.92764","ambiguous","23.4293","vacuole","9.77315","below threshold","16.4535","below threshold","25.2892","cytosol","13.71","0.7","0","4.77","cytosol","16.83","0.86","0","2.26","cytosol","24.71","1.26","0","","cytosol","cytosol","16.0307","0.82216","0","2.1413","High affinity sulfate permease; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates"
"COS9","YKL219W","below threshold","15","4.34929","ambiguous,ER","37.1572","vacuole","18.5028","below threshold","21.1983","below threshold","23.9123","cytosol","16.98","1.13","0","8.22","cytosol","16.51","1.1","0","2.74","cytosol","13.11","0.87","0","","below threshold","below threshold","15.5299","1.03496","0","2.22403","Protein of unknown function, member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins"
"STB4","YMR019W","nucleus","20.99","5.91523","ambiguous","18.9964","below threshold","5.14395","below threshold","18.6632","#N/A","23.1485","nucleus","18.43","0.87","0","7.08","nucleus","21.15","1","0","4.27","nucleus","17.41","0.82","-1","","nucleus","nucleus","21.4757","1.02273","0","2.72625","Protein that binds Sin3p in a two-hybrid assay; contains a Zn(II)2Cys6 zinc finger domain characteristic of DNA-binding proteins; computational analysis suggests a role in regulation of expression of genes encoding transporters"
