Absolute_Context_Score_Main_ATG,Numer_of_alt_ATG_5UTR,Numer_of_alt_ATG_ORF,Numer_of_alt_ATG_ORF_30codons,Numer_of_alt_ATG_ORF_200codons,Number_of_alt_ATG_tot,Max_ATG_Context_Score_ORF_30codons,Mean_ATG_Context_Score_ORF_30codons,Max_relative_ATG_Context_Score_ORF_30codons,Mean_relative_ATG_Context_Score_ORF_30codons
-10.3391,0,68,0,2,68,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-464.5552,0,67,2,3,67,-9.4922,-10.1747640734745,455.063,454.380435926525
-10.2974,0,14,0,2,14,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,9,1,3,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-11.5763,0,23,1,3,23,-15.2659,-15.2659,-3.6896,-3.6896
-12.1641,0,11,1,4,11,-15.3393,-15.3393,-3.1752,-3.1752
-9.8208,0,18,4,0,18,-13.4126,-14.7230491292264,-3.5918,-4.90224912922643
-16.9526,0,12,3,5,12,-13.0042,-14.0101650884206,3.9484,2.94242748304617
-16.7727,0,25,1,1,25,-15.8089,-15.8089,0.9638,0.9638
-694.8137,0,45,0,11,45,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-9.3118,0,8,2,2,8,-14.8897,-15.4147210113644,-5.5779,-6.10292101136438
-17.1677,0,15,0,1,15,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-15.0211,1,17,2,4,18,-16.6707,-17.0438550532811,-1.6496,-2.02275505328107
-694.8137,0,25,1,2,25,-14.1858,-14.1858,680.628,680.628
NaN,NaN,5,3,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,2,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,33,0,5,33,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-12.0076,0,80,1,2,80,-12.7211,-12.7211,-0.71343,-0.71343
-464.5552,0,16,2,5,16,-14.2719,-14.9536886320961,450.2833,449.601512497388
-11.9159,0,90,3,4,90,-14.9345,-15.3823861301178,-3.0186,-3.46646240149189
NaN,NaN,4,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,24,4,9,24,-13.82,-15.1360844066966,450.7352,449.419117867687
-16.4879,0,47,2,5,47,-15.536,-15.6078662727543,0.95184,0.879982982178958
-10.5296,0,29,0,2,29,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-10.6661,0,52,1,3,52,-10.9403,-10.9403,-0.2742,-0.2742
-13.0163,0,76,2,2,76,-13.5465,-13.961619008769,-0.53012,-0.94525842614181
-13.3893,0,20,2,6,20,-12.0337,-12.583465791206,1.3555,0.80574756701661
-12.271,0,98,1,5,98,-16.5875,-16.5875,-4.3165,-4.3165
NaN,NaN,10,3,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,12,1,3,12,-13.4247,-13.4247,681.389,681.389
-14.6106,2,32,3,7,34,-11.7161,-12.4228754151301,2.8945,2.18772510545867
-14.9746,0,98,1,5,98,-10.5535,-10.5535,4.4211,4.4211
-16.1663,0,8,3,0,8,-12.7484,-13.7765322322109,3.4179,2.38976569993049
-464.5552,0,32,1,4,32,-17.8993,-17.8993,446.6559,446.6559
NaN,NaN,5,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-9.9404,0,20,0,2,20,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-14.4822,0,11,0,0,11,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-13.6558,2,24,2,4,26,-10.6916,-11.3123939189593,2.9642,2.34340608104071
NaN,NaN,8,3,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,22,3,7,22,-15.4385,-15.9062229776571,679.3752,678.90752381175
-11.8401,0,52,1,3,52,-19.0681,-19.0681,-7.228,-7.228
-8.0709,0,18,2,3,18,-11.0575,-11.697349745608,-2.9866,-3.62644974560804
-473.5048,0,2,2,0,2,-11.2395,-11.9073103243507,462.2653,461.597487173914
NaN,NaN,11,1,2,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,14,3,4,14,-10.8944,-11.9391821881925,683.9193,682.874517811808
-7.6009,0,22,0,1,22,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-9.3908,0,20,2,4,20,-13.5412,-13.9960238784945,-4.1504,-4.6052026724495
-12.5832,0,19,2,3,19,-16.1049,-16.3447821578491,-3.5217,-3.76158215784907
-13.9146,1,44,1,4,45,-15.4516,-15.4516,-1.537,-1.537
NaN,NaN,9,3,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,22,0,0,22,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-12.0637,1,41,3,5,42,-13.4016,-14.3873113994452,-1.3379,-2.32361739022921
-11.6318,0,13,3,0,13,-13.5834,-14.0060978831254,-1.9516,-2.37429788312543
-464.5552,0,10,3,0,10,-13.9695,-14.6463970180865,450.5857,449.908802981913
NaN,NaN,5,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-12.9078,0,9,2,0,9,-12.5173,-13.1250712987526,0.39058,-0.217197845144362
-464.5552,0,36,5,8,36,-10.8137,-12.3776800061037,453.7415,452.177522279799
NaN,NaN,8,4,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,37,1,1,37,-18.2796,-18.2796,446.2756,446.2756
-11.8531,0,14,1,5,14,-13.2822,-13.2822,-1.4291,-1.4291
-12.7212,0,69,3,3,69,-13.6216,-14.4033738212169,-0.90041,-1.68218110569114
-13.514,0,39,0,2,39,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-464.5552,0,33,1,3,33,-8.2457,-8.2457,456.3095,456.3095
-10.3987,0,15,0,0,15,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,7,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-14.6382,0,70,2,2,70,-12.2526,-12.9433129324899,2.3856,1.69488706751011
-15.7152,0,38,1,4,38,-17.0875,-17.0875,-1.3723,-1.3723
NaN,NaN,5,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,8,1,2,8,-12.1373,-12.1373,452.4179,452.4179
-14.0865,0,26,2,5,26,-13.9625,-14.6231273107842,0.12396,-0.536666030888054
-14.2235,0,24,1,6,24,-18.8942,-18.8942,-4.6707,-4.6707
-9.0124,1,22,1,3,23,-15.5873,-15.5873,-6.575,-6.575
-694.8137,0,78,2,9,78,-13.7504,-14.4927691258134,681.0634,680.321000905467
-694.8137,0,5,1,0,5,-19.6755,-19.6755,675.1382,675.1382
-464.5552,0,10,1,0,10,-16.4547,-16.4547,448.1005,448.1005
-694.8137,0,2,1,0,2,-12.5065,-12.5065,682.3072,682.3072
-694.8137,0,5,0,0,5,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-464.5552,0,6,0,0,6,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,6,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,46,1,3,46,-12.4303,-12.4303,682.3835,682.3835
-694.8137,0,0,0,0,0,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-464.5552,0,4,0,0,4,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,1,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,5,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-11.5586,0,8,0,1,8,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-14.4888,0,28,1,3,28,-12.5024,-12.5024,1.9864,1.9864
-15.1145,0,30,1,4,30,-13.4022,-13.4022,1.7122,1.7122
-14.8705,0,39,0,4,39,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-17.13,1,17,1,6,18,-14.5534,-14.5534,2.5766,2.5766
-464.5552,0,73,1,5,73,-8.5125,-8.5125,456.0427,456.0427
-694.8137,0,28,1,2,28,-15.2786,-15.2786,679.5351,679.5351
-13.9504,0,65,4,6,65,-10.0643,-11.357908578681,3.8861,2.59249987862074
-10.5903,0,11,1,3,11,-17.6682,-17.6682,-7.0778,-7.0778
-15.6469,0,25,0,2,25,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-464.5552,0,51,1,4,51,-12.5522,-12.5522,452.003,452.003
NaN,NaN,8,3,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,1,0,0,1,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-12.0442,1,14,1,0,15,-15.7669,-15.7669,-3.7228,-3.7228
-12.401,0,12,1,4,12,-14.1224,-14.1224,-1.7214,-1.7214
-14.4624,0,19,2,6,19,-10.171,-10.8513382328198,4.2914,3.6110622890085
-464.5552,0,2,1,0,2,-12.365,-12.365,452.1902,452.1902
NaN,NaN,3,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,17,3,4,17,-8.6721,-9.77037594494905,455.8831,454.784824055051
-464.5552,0,13,1,3,13,-12.3547,-12.3547,452.2005,452.2005
-464.5552,0,0,0,0,0,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-694.8137,0,20,0,0,20,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-13.0999,0,78,0,3,78,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,5,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,83,2,7,83,-9.9698,-10.6578438034183,454.5854,453.897356705645
NaN,NaN,7,3,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,3,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,25,2,7,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-234.2967,0,1,0,0,1,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-464.5552,0,1,0,0,1,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-694.8137,0,6,1,0,6,-17.3017,-17.3017,677.5121,677.5121
NaN,NaN,8,3,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,4,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-234.2967,0,32,1,3,32,-19.0418,-19.0418,215.2549,215.2549
NaN,NaN,31,2,2,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,9,3,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-10.4699,0,9,1,0,9,-18.9197,-18.9197,-8.4498,-8.4498
-11.9625,0,3,1,0,3,-17.5827,-17.5827,-5.6201,-5.6201
-9.6612,0,5,0,0,5,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-11.4347,0,152,0,2,152,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-13.5892,0,55,3,3,55,-13.7351,-14.5132868709075,678.842,677.925709268126
-694.8137,0,29,1,2,29,-15.9717,-15.9717,678.842,678.842
-694.8137,0,110,1,2,110,-15.9717,-15.9717,678.842,678.842
-14.4894,0,11,2,0,11,-14.5226,-14.6200355994529,-0.033228,-0.130628589977847
NaN,NaN,2,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,98,2,2,98,-16.1389,-16.7102865234349,448.4164,447.845013476565
-464.5552,0,57,4,7,57,-11.8497,-13.1222559223488,452.7056,451.433034253567
-464.5552,0,1,1,0,1,-11.8497,-11.8497,452.7056,452.7056
-11.5088,1,35,4,7,36,-12.5386,-13.798906502332,-1.0298,-2.29010057186943
-15.5491,0,21,4,5,21,-11.7308,-12.6891868440649,3.8184,2.85999984389133
-694.8137,0,36,0,1,36,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,8,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,22,3,6,22,-10.2087,-11.2516675461091,454.3466,453.303627041657
-464.5552,0,49,1,4,49,-14.86,-14.86,449.6953,449.6953
-10.161,0,24,1,2,24,-15.5036,-15.5036,-5.3426,-5.3426
-12.0328,0,15,1,1,15,-16.8147,-16.8147,-4.7819,-4.7819
-15.8973,0,116,1,4,116,-13.8149,-13.8149,2.0824,2.0824
-17.2302,1,15,4,0,16,-12.1357,-13.2001200177185,5.0945,4.03007998228154
-694.8137,0,27,3,4,27,-13.8425,-14.6703388085464,680.9712,680.143362931211
-9.7265,2,23,2,2,25,-13.8042,-14.44991293687,-4.0776,-4.72331756933095
-13.3806,0,10,1,0,10,-12.795,-12.795,0.58569,0.58569
-15.7459,0,68,0,1,68,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-10.403,0,66,2,7,66,-13.2477,-13.3595039034486,-2.8447,-2.95650390344862
-10.2902,0,47,1,5,47,-12.7883,-12.7883,-2.4982,-2.4982
-9.6769,4,9,4,0,13,-9.1001,-10.4841350068313,0.5768,-0.807235224189922
-13.6587,0,4,0,0,4,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-9.3751,0,3,0,0,3,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-11.29,0,6,2,0,6,-14.09,-14.758859077417,-2.8,-3.46885907741701
-11.0857,1,4,2,0,5,-19.7349,-19.8644858905076,-8.6493,-8.7788428071256
-15.3594,0,14,2,5,14,-12.314,-12.8562976933235,3.0454,2.50310230667655
-9.8687,0,15,1,3,15,-13.6501,-13.6501,-3.7814,-3.7814
-16.4929,1,15,3,3,16,-12.0186,-13.1068819495511,4.4744,3.38611734135358
-12.2884,0,14,1,1,14,-14.9039,-14.9039,-2.6155,-2.6155
-13.3938,0,16,2,3,16,-14.796,-15.1842337981344,-1.4022,-1.79046007844322
-10.6015,0,108,1,3,108,-12.2511,-12.2511,-1.6495,-1.6495
-11.0246,1,36,2,5,37,-14.3425,-15.0305519415424,-3.3179,-4.00595194154243
-11.2049,0,22,3,8,22,-15.9283,-16.614486409375,-4.7233,-5.40952020402976
-11.7159,0,49,0,1,49,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-11.8787,0,17,3,5,17,-11.3943,-11.9039981689201,0.48437,-0.0253248361771468
-14.0187,0,37,2,7,37,-15.9507,-16.3725435883686,-1.932,-2.35384358836865
NaN,NaN,2,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-15.4384,0,4,1,0,4,-16.1861,-16.1861,-0.74766,-0.74766
-11.3943,0,11,0,2,11,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-10.2025,0,11,1,2,11,-13.5334,-13.5334,-3.3309,-3.3309
-12.5589,0,30,1,6,30,-12.4742,-12.4742,0.084696,0.084696
-12.2647,1,20,1,3,21,-12.3843,-12.3843,-0.1196,-0.1196
-694.8137,0,4,1,0,4,-14.8237,-14.8237,679.99,679.99
-10.1716,0,16,0,0,16,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-15.3168,0,60,7,8,60,-12.529,-14.0899922360445,2.7878,1.22680831782391
-13.522,0,77,0,0,77,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,4,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-12.0377,0,6,0,0,6,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-7.6345,0,19,1,1,19,-19.5647,-19.5647,-11.9302,-11.9302
-11.9973,0,42,4,6,42,-12.5442,-13.4663473417864,-0.54692,-1.46907619445433
-11.2835,0,55,2,4,55,-8.9739,-9.66675403655217,2.3096,1.61674596344783
NaN,NaN,6,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-15.2545,0,31,2,3,31,-12.8263,-13.3129977855076,2.4283,1.94158542717529
-18.8252,2,25,1,5,27,-13.9677,-13.9677,4.8575,4.8575
-11.9998,0,44,2,7,44,-15.5887,-16.0055618668077,-3.5889,-4.00576186680767
-13.9387,0,21,2,5,21,-11.4283,-12.4969337874567,2.5104,1.44176325932632
-14.6014,0,34,3,6,34,-13.4439,-14.4463300781543,1.1575,0.155064588169933
-10.9827,0,8,2,0,8,-14.3877,-14.4892990217836,-3.4049,-3.50654367357171
-464.5552,0,13,3,0,13,-10.9791,-12.034193173368,453.5761,452.521006826632
-16.8292,2,43,3,10,45,-11.4328,-12.0203858301383,5.3965,4.80891399974874
