ORF,Mean_length,Max_length,Num_of_shifted_ORF,Mean_length_30,Max_length_30,Num_of_shifted_ORF_30,Mean_length_200,Max_length_200,Num_of_shifted_ORF_200
YAL001C,353.636363636364,3102,66,0,0,0,30.6,60,5
YAL002W,416.462686567164,3531,67,46.5,69,2,32.3571428571429,99,14
YAL003W,76.25,207,12,0,0,0,57,117,9
YAL004W,57,90,8,0,0,0,61.2857142857143,90,7
YAL005C,394.695652173913,1755,23,0,0,0,66.5,96,6
YAL007C,97.5,507,10,0,0,0,41.25,102,8
YAL008W,160.875,579,16,0,0,0,0,0,0
YAL009W,124.363636363636,636,11,28,39,3,24.8571428571429,63,7
YAL010C,322.95,1470,20,0,0,0,64.5,123,6
YAL011W,376,1530,45,0,0,0,35.3571428571429,60,14
YAL012W,85.5,264,8,30,36,2,61.5,102,4
YAL013W,381.2,1059,15,0,0,0,36.75,69,4
YAL014C,112.941176470588,435,17,28.5,48,2,90.6,192,10
YAL015C,283.92,1173,25,0,0,0,43.5,111,4
YAL016C-A,94.2,297,5,9,9,1,0,0,0
YAL016C-B,9,9,1,0,0,0,0,0,0
YAL016W,282.9375,1782,32,0,0,0,20.5714285714286,30,7
YAL017W,571.860759493671,3582,79,0,0,0,26.5,63,6
YAL018C,357.75,828,16,0,0,0,45.6,81,5
YAL019W,351.920454545455,2625,88,14,18,3,57.5,159,6
YAL019W-A,151.5,438,4,0,0,0,0,0,0
YAL020C,200.571428571429,936,21,0,0,0,62.3571428571429,144,14
YAL021C,707.042553191489,2388,47,36,57,2,30.75,81,8
YAL022C,513.206896551724,1194,29,0,0,0,71,99,3
YAL023C,496.470588235294,2082,51,33,33,1,38.5,78,6
YAL024C,737.878378378378,3561,74,36,42,2,29,48,6
YAL025C,171,732,18,0,0,0,52.2857142857143,93,7
YAL026C,545.769230769231,3837,91,72,72,1,61.9285714285714,165,14
YAL026C-A,199.5,396,10,0,0,0,0,0,0
YAL027W,151,747,9,0,0,0,36.75,69,4
YAL028W,340.96875,1479,32,18,33,3,78,234,9
YAL029C,681.612244897959,4131,98,0,0,0,42.6,90,10
YAL030W,93.375,228,8,0,0,0,0,0,0
YAL031C,346.78125,1905,32,27,27,1,25.2,75,10
YAL031W-A,114.6,300,5,30,30,1,0,0,0
YAL032C,279.642857142857,786,14,0,0,0,73.7142857142857,114,7
YAL033W,112.333333333333,231,9,0,0,0,0,0,0
YAL034C,258.625,1200,24,0,0,0,42.9230769230769,165,13
YAL034C-B,138.375,312,8,0,0,0,0,0,0
YAL034W-A,183.3,855,20,0,0,0,38.25,156,12
YAL035W,417.882352941176,2823,51,0,0,0,95.25,159,4
YAL036C,194.666666666667,1068,18,0,0,0,58.8,81,5
YAL037C-A,63,72,2,0,0,0,0,0,0
YAL037C-B,63.5,171,6,12,12,1,63.5,171,6
YAL037W,154.714285714286,798,14,9,9,1,52.8,150,5
YAL038W,392.045454545455,1356,22,0,0,0,67.2,150,5
YAL039C,299.4,744,20,0,0,0,52.2,90,5
YAL040C,547.333333333333,1425,18,0,0,0,138,246,4
YAL041W,661.5,2481,44,0,0,0,47,90,3
YAL042C-A,63,186,8,25,33,3,0,0,0
YAL042W,283.772727272727,1038,22,0,0,0,40.7142857142857,117,7
YAL043C,766.65,2343,40,0,0,0,39,54,3
YAL044C,83.7272727272727,480,11,9,9,1,0,0,0
YAL044W-A,100.333333333333,318,9,27,27,1,0,0,0
YAL045C,192,255,4,0,0,0,0,0,0
YAL046C,164.625,339,8,24,24,1,0,0,0
YAL047C,333.916666666667,1782,36,12,12,1,65.7272727272727,120,11
YAL047W-A,100.875,246,8,19,27,3,0,0,0
YAL048C,243.25,1605,36,27,27,1,43.75,90,12
YAL049C,125.25,528,12,0,0,0,56.7,165,10
YAL051W,767.630769230769,2790,65,50,57,3,51.6923076923077,123,13
YAL053W,413,2214,39,0,0,0,28.8,51,5
YAL054C,307,2070,33,0,0,0,22.2,45,5
YAL055W,80.3571428571429,348,14,0,0,0,0,0,0
YAL056C-A,74.5714285714286,192,7,7.5,9,2,0,0,0
YAL056W,472.114285714286,2328,70,30,30,1,25.7142857142857,63,7
YAL058W,246,1230,38,0,0,0,50.4545454545455,111,11
YAL059C-A,172.8,405,5,0,0,0,0,0,0
YAL059W,152.142857142857,567,7,0,0,0,36,66,5
YAL060W,222,993,26,0,0,0,89.1,213,10
YAL061W,245.608695652174,1044,23,0,0,0,65,129,9
YAL062W,222.545454545455,1056,22,0,0,0,88.2,219,5
YAL063C,641.769230769231,3855,78,0,0,0,84,189,10
YAL063C-A,16.2,39,5,18,18,1,0,0,0
YAL064C-A,78.9,177,10,0,0,0,0,0,0
YAL064W,124.5,225,2,0,0,0,0,0,0
YAL064W-B,75,228,4,0,0,0,0,0,0
YAL065C,44.4,159,5,0,0,0,0,0,0
YAL066W,114,225,4,0,0,0,0,0,0
YAL067C,190,1290,42,0,0,0,56.25,144,12
YAL067W-A,0,0,0,0,0,0,0,0,0
YAL068C,144,210,3,0,0,0,0,0,0
YAL068W-A,0,0,0,0,0,0,0,0,0
YAL069W,66.75,96,4,30,30,1,0,0,0
YAR002C-A,62.5714285714286,156,7,0,0,0,34.5,54,4
YAR002W,257.884615384615,1410,26,0,0,0,75.75,102,8
YAR003W,123.9,1119,30,0,0,0,56.1818181818182,150,11
YAR007C,305.076923076923,1722,39,0,0,0,44.5,96,6
YAR008W,160.5,699,16,0,0,0,44.6666666666667,156,9
YAR009C,474.416666666667,3522,72,0,0,0,36,84,6
YAR010C,342.535714285714,1056,28,0,0,0,36.6,66,5
YAR014C,201.285714285714,2010,63,45,48,2,37.25,108,12
YAR015W,119.4,786,10,9,9,1,43.2,81,5
YAR018C,281,1128,24,0,0,0,23.4,66,10
YAR019C,541.44,2916,50,0,0,0,28.7142857142857,45,7
YAR019W-A,58.2857142857143,162,7,12,12,1,0,0,0
YAR020C,0,0,0,0,0,0,0,0,0
YAR023C,133.090909090909,459,11,0,0,0,0,0,0
YAR027W,154.75,555,12,0,0,0,38.625,99,8
YAR028W,232.736842105263,672,19,6,6,1,25.125,45,8
YAR029W,52.5,66,2,0,0,0,0,0,0
YAR030C,86,228,3,15,15,1,0,0,0
YAR031W,195.75,813,16,24,33,2,30.5,42,6
YAR033W,105.75,552,12,0,0,0,40.8,81,10
YAR035C-A,0,0,0,0,0,0,0,0,0
YAR035W,499.35,1596,20,0,0,0,0,0,0
YAR042W,581.131578947368,3405,76,0,0,0,33,33,1
YAR047C,156,180,2,0,0,0,0,0,0
YAR050W,982.590361445783,4608,83,0,0,0,45,105,5
YAR053W,42.4285714285714,102,7,21,27,3,0,0,0
YAR060C,106,243,3,36,36,1,0,0,0
YAR061W,104.625,597,24,0,0,0,63.6428571428571,174,14
YAR064W,27,27,1,0,0,0,0,0,0
YAR066W,0,0,0,0,0,0,0,0,0
YAR068W,150.6,354,5,0,0,0,0,0,0
YAR069C,67.5,216,6,25.5,33,2,0,0,0
YAR070C,98,129,3,0,0,0,0,0,0
YAR071W,258.84375,1209,32,0,0,0,44.5,153,6
YAR073W,346.666666666667,1128,27,24,24,1,60.75,123,8
YAR075W,234,408,9,0,0,0,0,0,0
YBL001C,93,282,8,0,0,0,0,0,0
YBL002W,136.5,210,2,0,0,0,0,0,0
YBL003C,28.5,78,4,0,0,0,0,0,0
YBL004W,1220.65540540541,6765,148,0,0,0,69,138,10
YBL005W,476.320754716981,2646,53,27,42,2,45,102,9
YBL005W-A,327.51724137931,1056,29,0,0,0,30.4285714285714,66,7
YBL005W-B,799.083333333333,5001,108,0,0,0,30.4285714285714,66,7
YBL006C,83.1818181818182,528,11,48,48,1,0,0,0
YBL006W-A,24,24,1,0,0,0,0,0,0
