Gene,AA_cons_geometric_all,nt_cons_geometric_all,AA_cons_median_all,nt_cons_median_all,AA_cons_geometric_closest,nt_cons_geometric_closest,AA_cons_median_closest,nt_cons_median_closest,AA_cons_geometric_all_beg,nt_cons_geometric_all_beg,AA_cons_median_all_beg,nt_cons_median_all_beg,AA_cons_geometric_all_end,nt_cons_geometric_all_end,AA_cons_median_all_end,nt_cons_median_all_end,AA_cons_geometric_closest_beg,nt_cons_geometric_closest_beg,AA_cons_median_closest_beg,nt_cons_median_closest_beg,AA_cons_geometric_closest_end,nt_cons_geometric_closest_end,AA_cons_median_closest_end,nt_cons_median_closest_end
AJO98539.1,0.7050327469479672,0.7163328717663563,0.81,0.762,0.44728915351576964,0.5437624997756508,0.48,0.516,0.46878286945422637,0.6030280078012155,0.429,0.5710000000000001,0.5895205236454986,0.6693450377055068,0.619,0.667,0.28467072273254157,0.4532478500426878,0.247,0.43599999999999994,0.285989318365811,0.4616037562844665,0.23399999999999999,0.4395
AJO98540.1,0.6937274828273872,0.7625605934538617,0.5,1.0,0.6937274828273872,0.7625605934538617,0.5,1.0,0.6155722066724582,0.6973718331752028,0.5,0.5,0.8010698775896221,0.8428415447546994,1.0,1.0,0.6155722066724582,0.6973718331752028,0.5,0.5,0.8010698775896221,0.8428415447546994,1.0,1.0
AJO98541.1,0.6935154845656926,,0.5,,0.6935154845656926,,0.5,,0.7269862586601553,,1.0,,0.6597539553864472,,0.5,,0.7269862586601553,,1.0,,0.6597539553864472,,0.5,
AJO98542.1,0.8804689779602551,0.8565490535809946,0.9690000000000001,0.946,0.6407954224208535,0.6737979055862656,0.7290000000000001,0.703,0.8712871212999452,0.8541435491111584,0.9445,0.9299999999999999,0.8437035669593947,0.8518740565973435,0.933,0.917,0.6451159035893824,0.68290199974719,0.6535,0.6905000000000001,0.563059168297891,0.649496828784658,0.64,0.6775
AJO98543.1,0.6112101802466361,0.6648214411518778,0.625,0.6809999999999999,0.39661647764910496,0.51507457782726,0.391,0.488,0.6372940223097394,0.6719973343219158,0.637,0.6735,0.5662619845046964,0.6788011031357012,0.586,0.667,0.4909864443595655,0.5665695766121736,0.496,0.5675,0.24708171711370594,0.42421956154699136,0.23149999999999998,0.41700000000000004
AJO98544.1,0.6091253702630683,0.6570286776326217,0.623,0.667,0.41781493548786974,0.5261530867536667,0.404,0.503,0.6372940223097394,0.6719973343219158,0.637,0.6735,0.5749682002470938,0.6550182124616737,0.567,0.656,0.4909864443595655,0.5665695766121736,0.496,0.5675,0.36874278445199393,0.522642107117301,0.357,0.4975
AJO98545.1,0.4519436305928667,0.5680155605046726,0.43,0.5539999999999999,0.44414437588199124,0.5618873198138211,0.426,0.547,0.5971256365270003,0.6290417410925309,0.682,0.657,0.3391855193297245,0.52976539676332,0.345,0.509,0.5968963248528986,0.6289654553350051,0.682,0.657,0.3303805423416162,0.5194053100699589,0.323,0.491
AJO98546.1,0.7556794785526928,0.7707899386276921,0.8235,0.828,0.6238338103598925,0.6773078557477966,0.6985,0.7240000000000001,0.6829847934704623,0.7154469158010942,0.6984999999999999,0.7559999999999999,0.6302644119499888,0.7268915307550942,0.661,0.7805,0.5139953783087227,0.606877793126799,0.5425,0.635,0.4358179018711142,0.5827734257673651,0.4125,0.5405
AJO98547.1,0.4124978060362546,0.5650583660563728,0.389,0.5429999999999999,0.34633712173721193,0.5020369856567147,0.32399999999999995,0.47100000000000003,0.2706098107344299,0.4788585513158238,0.258,0.47100000000000003,0.390243548357231,0.5175585017237909,0.37350000000000005,0.47350000000000003,0.21835191556644984,0.4094315279372699,0.213,0.4,0.3489243262657018,0.48418471175813466,0.3095,0.442
AJO98548.1,0.38820932691219684,0.5506889391205978,0.362,0.522,0.35969386000307885,0.5243247435145423,0.32,0.5,0.3381009736600712,0.5205880823786225,0.308,0.5,0.41047817619081384,0.5591572421553429,0.3695,0.5379999999999999,0.3101499213229034,0.49509226970985704,0.302,0.462,0.3783188831907707,0.5294766106578533,0.3265,0.5
AJO98549.1,0.8233187952384914,0.7723689466909088,0.95,0.852,0.5349341165137889,0.5918267756983497,0.578,0.594,0.5092194727622465,0.6473833649754833,0.5075000000000001,0.629,0.939917185059398,0.8120514110079564,1.0,0.961,0.2636934604408659,0.44849834694619567,0.2455,0.424,0.5714354218105291,0.5854447411199518,0.6405,0.603
AJO98550.1,0.7117719616288464,0.7144073402128052,0.7979999999999999,0.733,0.46173065659806756,0.558140827234379,0.489,0.539,0.4971223488938137,0.6191071486678166,0.457,0.6,0.5543649052431876,0.6357708106507116,0.56,0.638,0.3597635920255387,0.4894282928349569,0.3245,0.46950000000000003,0.27206187935819126,0.42817891176167017,0.20800000000000002,0.391
AJO98551.1,0.3589563635152622,0.5197164734593013,0.33299999999999996,0.5,0.29027431057655184,0.46610325387791945,0.27399999999999997,0.444,0.29916161924663537,0.47367260350799434,0.28900000000000003,0.444,0.35004535783007223,0.5312396356862962,0.33299999999999996,0.518,0.24524415839521616,0.4184261881349369,0.2265,0.4235,0.2911839944863445,0.47989517520422437,0.2525,0.451
AJO98552.1,0.6577438440876685,0.6920230080187157,0.7,0.7004999999999999,0.38552903602632926,0.5134908870807112,0.4015,0.4905,0.6475792660103468,0.6783825427517359,0.688,0.679,0.7048607103401279,0.7073110255229024,0.8105,0.7364999999999999,0.33217940275330926,0.49299838633579257,0.293,0.46299999999999997,0.39875776217807574,0.507808269936252,0.403,0.4815
AJO98553.1,0.7181334366142091,0.6946714056920934,0.79,0.752,0.5500308992610854,0.5770072740174356,0.598,0.5785,0.768765798906091,0.7151649869996807,0.8005,0.8,0.5637866176087454,0.6193772117489962,0.6174999999999999,0.62,0.6076028355524195,0.6059131609809892,0.6785,0.61,0.4125220443337167,0.5045671078551658,0.4175,0.4845
AJO98554.1,0.4069319684946617,0.5536580559585371,0.4,0.52,0.4069319684946617,0.5536580559585371,0.4,0.52,0.3255872766526942,0.4984653727502076,0.28,0.48,0.5848905317705865,0.6181593000336338,0.78,0.6,0.3255872766526942,0.4984653727502076,0.28,0.48,0.5848905317705865,0.6181593000336338,0.78,0.6
AJO98555.1,0.6175189635373655,0.675312772569528,0.7165,0.6759999999999999,0.35026191102390336,0.4951630859511399,0.3215,0.4615,0.46297549381218484,0.5843956856639365,0.462,0.5379999999999999,0.7646175621421923,0.7585197051192798,0.7785,0.7929999999999999,0.220847238752434,0.4073851504623087,0.1985,0.38,0.4787890263645758,0.5714488157169969,0.4935,0.5695
AJO98556.1,0.7244750630842078,0.7184988319110204,0.8,0.769,0.5040025719092998,0.5657475341928137,0.507,0.5489999999999999,0.6983728655455281,0.708367889699273,0.78,0.7645,0.7252354663698852,0.720933584219259,0.7789999999999999,0.7595000000000001,0.4477314021940974,0.53643641368243,0.4585,0.514,0.5584190245640004,0.5936090626961968,0.532,0.603
AJO98557.1,0.7269150848509796,0.733997707153258,0.8,0.7825,0.44687838053592926,0.5643139775696935,0.448,0.541,0.6510271349104582,0.6679819387267691,0.7124999999999999,0.6815,0.6659006350087016,0.7361151839202812,0.6985000000000001,0.8,0.3026979045740621,0.45931951111078484,0.3005,0.4385,0.4421181055906983,0.5823781344295015,0.4195,0.583
AJO98558.1,0.6372871417326974,0.6801591085616085,0.6729999999999999,0.703,0.3904327799501447,,0.3965,,0.6046603354022736,0.6716615216438215,0.665,0.69,0.6919010206993984,0.6999251338956075,0.679,0.7284999999999999,0.39250096141621094,0.5144247655232391,0.423,0.492,0.4231458193495847,0.5241569586412196,0.43500000000000005,0.504
AJO98559.1,0.7338771806864328,0.7248407842629937,0.818,0.7879999999999999,0.5565836993627963,0.6005375330853243,0.593,0.607,0.7532733231840959,0.7183155149861284,0.8,0.7845,0.8020875984031595,0.7467421872617465,0.8505,0.8225,0.5812411094045653,0.5973658406035091,0.601,0.614,0.5590515393849405,0.5905787388769761,0.58,0.6125
AJO98560.1,0.7314087029907596,0.724221879550992,0.8115,0.7659999999999999,0.4773224462114466,0.5558922254357709,0.49150000000000005,0.5329999999999999,0.590039321948786,0.6482730853177663,0.5795000000000001,0.6194999999999999,0.7979311248123959,0.7743338096820264,0.84,0.84,0.3790089415735307,0.4786517580259649,0.3445,0.4375,0.5223484895518643,0.617653249420121,0.535,0.611
AJO98561.1,0.5523733347791999,0.6552619337284434,0.5710000000000001,0.643,0.3261502352959462,0.47990340676202026,0.324,0.45299999999999996,0.46556714298060814,0.5922829265949413,0.4385,0.6,0.4639160930163345,0.5824359081996107,0.45699999999999996,0.5710000000000001,0.27836348430036584,0.43681438495161823,0.278,0.42500000000000004,0.21905209165434003,0.38433712702579986,0.185,0.3595
AJO98562.1,0.6445154051976798,0.669163388384702,0.738,0.682,0.43098886290772453,0.5342474099925095,0.42700000000000005,0.52,0.4259571636399159,0.5648199051532417,0.36450000000000005,0.5569999999999999,0.6458761180752788,0.6716868140882687,0.671,0.679,0.2974892525028618,0.4481335416805832,0.256,0.4415,0.4004508191748187,0.5169790602451256,0.44999999999999996,0.5
AJO98563.1,0.894030880971382,0.8737514848643634,1.0,0.971,0.6757079269131064,0.6884794306196499,0.799,0.7224999999999999,0.8394446183928784,0.8318732313423421,0.9640000000000001,0.893,0.7928240815071851,0.8182700324856578,0.8474999999999999,0.8574999999999999,0.5894777409467346,0.6461203435228241,0.681,0.6335,0.5780304163843291,0.65260035667774,0.6234999999999999,0.651
AJO98564.1,0.9439896753084284,0.8277019241813709,1.0,1.0,0.63497403223195,0.6313807428437532,0.6679999999999999,0.636,0.9295876747714212,0.8243826940824291,1.0,0.952,0.9421939721830344,0.8334436629988125,1.0,1.0,0.686332271640555,0.6584747966931699,0.722,0.6895,0.6153110144788748,0.6151700352574735,0.6585000000000001,0.596
AJO98565.1,0.8252881916706305,0.8004231116060169,0.96,0.882,0.607479370245747,0.6334676416349216,0.6759999999999999,0.65,0.5802668991339411,0.7033601769685941,0.617,0.7155,0.8889214023643862,0.8198603187677752,0.9824999999999999,0.9435,0.3815315805385909,0.5467364831180751,0.3325,0.55,0.6316889152948635,0.6364956046418861,0.7,0.6655
AJO98566.1,0.5885262298446192,0.6496582778215133,0.615,0.652,0.3562051136063001,0.4942207404741622,0.364,0.47200000000000003,0.808637729958919,0.7458062261889099,0.889,0.852,0.48990468407639476,0.5969522404430294,0.528,0.5894999999999999,0.43269773382781496,0.5555751791928233,0.45199999999999996,0.5395000000000001,0.3037517618582086,0.46098930226421164,0.322,0.4455
AJO98567.1,0.5514023509031359,0.6208498563084814,0.5760000000000001,0.612,0.3484410745006881,0.47979618303704885,0.319,0.444,0.4209035792727054,0.5642115976393709,0.403,0.5505,0.8293383559665037,0.7609340023985576,0.972,0.8885000000000001,0.19757222560829016,0.38383161744209826,0.175,0.37150000000000005,0.6199108216194685,0.6322822881769923,0.6659999999999999,0.6515
AJO98568.1,0.6147672343479121,0.6695819489261474,0.6779999999999999,0.675,0.38608577357379387,0.5007942498142595,0.379,0.48,0.58379475613228,0.6474852265283045,0.6785,0.635,0.48154409091881756,0.6327518458344885,0.47100000000000003,0.6245,0.35704594962633524,0.5056530819411138,0.311,0.47900000000000004,0.28835845882418665,0.45749425053804754,0.27,0.4655
