Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"SEO1","YAL067C","below threshold","15.88","5.52089","cell periphery","69.8061","cell periphery,vacuole","122.761","below threshold","15.8982","below threshold","31.0676","cytosol","15.36","0.96","0","5.71","cytosol","15.43","0.97","0","3.84","cell periphery","78.91","4.96","0","","below threshold","below threshold","13.7648","0.86623","0","1.83848","Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide"
"RTN1","YDR233C","ER","332.41","111.248","cell periphery,ER,punctate","208.14","cell periphery,ER,punctate","306.758","cell periphery,ER,punctate","98.3956","cell periphery,punctate","66.7372","ER","387.45","1.16","0","159.59","ER","294.82","0.88","0","61.71","ER","311.99","0.93","0","","ER","ER","307.915","0.926297","0","59.1295","ER membrane protein that interacts with Sey1p to maintain ER morphology; interacts with exocyst subunit Sec6p, with Yip3p, and with Sbh1p; null mutant has an altered ER morphology; member of the RTNLA (reticulon-like A) subfamily"
"SRF1","YDL133W","","","","cell periphery,vacuole","35.5356","cell periphery,vacuole","43.1701","below threshold","19.6724","below threshold","30.375","","","","","","","","","","","","","","","","","","","","","",""
"FUI1","YBL042C","cell periphery","55.68","14.7542","cell periphery,vacuole","43.7615","cell periphery,bud neck","51.5953","cell periphery","38.6034","below threshold","28.1393","cell periphery","46.46","0.83","0","16.82","punctate","","","0","","vacuole","","","","","nuclear periphery","cell periphery","46.1879","0.829371","0","8.99325","High affinity uridine permease, localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport"
"PMP3","YDR276C","","","","cell periphery","250.077","missing","","cell periphery","249.375","cell periphery","45.0971","","","","","","","","","","","","","","","","","","","","","",""
"RGT2","YDL138W","below threshold","18.37","4.67154","cell periphery","31.0141","cell periphery,vacuole","38.4019","below threshold","15.5353","below threshold","28.4526","cytosol","15.56","0.84","0","5.04","cytosol","16.86","0.91","0","4.11","cytosol","16.82","0.91","0","","below threshold","below threshold","15.56","0.846767","0","2.4851","Plasma membrane high glucose sensor that regulates glucose transport; contains 12 predicted transmembrane segments and a long C-terminal tail required for induction of hexose transporters; highly similar to Snf3p"
"SNF3","YDL194W","below threshold","13.69","3.92228","cell periphery","32.7424","cell periphery,vacuole","41.2798","below threshold","17.9449","below threshold","25.3209","cytosol","14.5","1.05","0","5.02","cytosol","16.07","1.17","0","2.51","cytosol","16.54","1.2","0","","below threshold","below threshold","14.2377","1.03899","0","1.64749","Plasma membrane low glucose sensor that regulates glucose transport; contains 12 predicted transmembrane segments and a long C-terminal tail required for induction of hexose transporters; also senses fructose and mannose; similar to Rgt2p"
"MAL31","YBR298C","below threshold","15.18","3.86412","cell periphery,ER","104.001","cell periphery,vacuole","164.009","below threshold","19.1864","punctate,vacuole membrane","40.9768","cytosol","13.98","0.92","0","4.25","cytosol","15.51","1.02","0","3.04","cytosol","15.69","1.03","0","","below threshold","below threshold","14.9201","0.982203","0","1.33843","Maltose permease, high-affinity maltose transporter (alpha-glucoside transporter); encoded in the MAL3 complex locus; member of the 12 transmembrane domain superfamily of sugar transporters; functional in genomic reference strain S288C"
"YSP2","YDR326C","","","","cell periphery,punctate","39.8787","cell periphery,punctate","15.6098","cell periphery,punctate","25.1303","below threshold","26.3162","","","","","","","","","","","","","","","","","","","","","",""
"RTN2","YDL204W","ER","38.69","26.6163","cell periphery","129.769","cell periphery,punctate","173.285","below threshold","24.0913","cell periphery,punctate","58.6751","ER","45.32","1.17","0","41.19","ER","56.46","1.45","1","22.67","ER","110.52","2.85","1","","ER","ER","52.4329","1.35494","1","24.0562","Protein of unknown function; has similarity to mammalian reticulon proteins; member of the RTNLA (reticulon-like A) subfamily"
"HXT7","YDR342C","","","","cell periphery","139.35","cell periphery,vacuole","272.61","below threshold","14.4215","cell periphery,punctate","54.8769","","","","","","","","","","","","","","","","","","","","","",""
"HXT6","YDR343C","","","","cell periphery","90.311","cell periphery,vacuole","136.757","below threshold","14.7286","cell periphery,punctate","46.4862","","","","","","","","","","","","","","","","","","","","","",""
"HXT3","YDR345C","cell periphery","405.63","164.817","cell periphery","98.2453","cell periphery,vacuole","175.102","cell periphery","177.293","cell periphery,punctate","44.0142","cell periphery","277.47","0.68","0","151.93","cell periphery","323.68","0.79","0","103.94","vacuole","","","","","cytosol","cell periphery","347.935","0.857747","0","106.299","Low affinity glucose transporter of the major facilitator superfamily, expression is induced in low or high glucose conditions"
"FMP45","YDL222C","Cell periphery","53.72","77.7451","cell periphery,punctate","119.575","cell periphery,punctate","206.59","cell periphery,punctate","49.5173","below threshold","35.6806","Cell periphery","75.45","1.4","1","158.55","Cell periphery","56.47","1.05","0","61.4","Cell periphery","241.92","4.5","1","","Cell periphery","Cell periphery","98.6582","1.83612","1","111.179","Integral membrane protein localized to mitochondria (untagged protein); required for sporulation and maintaining sphingolipid content; has sequence similarity to SUR7 and YNL194C"
"BRE4","YDL231C","below threshold","16.42","3.59649","cell periphery,ER","42.5081","cell periphery,vacuole","75.8322","below threshold","17.6918","below threshold","28.5942","punctate","16.14","0.98","0","5.27","cytosol","20.09","1.22","0","3.91","cytosol","17.99","1.09","0","","below threshold","below threshold","19.1765","1.16711","0","2.48226","Zinc finger protein containing five transmembrane domains; null mutant exhibits strongly fragmented vacuoles and sensitivity to brefeldin A, a drug which is known to affect intracellular transport"
"FLR1","YBR008C","below threshold","16.26","4.76134","cell periphery","99.2392","cell periphery,vacuole","178.475","below threshold","16.2185","cell periphery,punctate","30.3718","cytosol","15.34","0.94","0","4.94","cytosol","23.25","1.42","0","12.83","cytosol","18.25","1.12","0","","below threshold","below threshold","14.6074","0.897996","0","1.76799","Plasma membrane multidrug transporter of the major facilitator superfamily, involved in efflux of fluconazole, diazaborine, benomyl, methotrexate, and other drugs; expression induced in cells treated with the mycotoxin patulin"
"FUR4","YBR021W","below threshold","15.5","4.23825","cell periphery,vacuole","37.0553","cell periphery,vacuole","45.3301","below threshold","26.7003","cell periphery,punctate","31.4276","cytosol","14.72","0.94","0","5.01","cytosol","16.89","1.08","0","4","cytosol","15.32","0.98","0","","below threshold","below threshold","","","0","","Uracil permease, localized to the plasma membrane; expression is tightly regulated by uracil levels and environmental cues"
"HXT15","YDL245C","","","","cell periphery","150.726","cell periphery,vacuole","240.446","below threshold","18.8933","cell periphery,punctate","51.3347","","","","","","","","","","","","","","","","","","","","","",""
"MPH2","YDL247W","below threshold","16.82","4.76005","cell periphery,punctate","66.4262","cell periphery,vacuole","70.0612","below threshold","16.1554","below threshold","30.5137","cytosol","","","0","","cytosol","","","0","","cytosol","","","","","below threshold","below threshold","","","0","","Alpha-glucoside permease, transports maltose, maltotriose, alpha-methylglucoside, and turanose; identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication"
"ATO3","YDR384C","below threshold","16.45","4.00945","cell periphery,punctate","88.031","cell periphery,vacuole","173.37","cell periphery,punctate","66.1619","below threshold","29.2475","cytosol","18.24","1.1","0","6.11","cytosol","15.12","0.91","0","4.58","cytosol","14.58","0.88","0","","below threshold","below threshold","18.6623","1.13423","0","3.50853","Plasma membrane protein, regulation pattern suggests a possible role in export of ammonia from the cell; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family of putative transporters"
"SNQ2","YDR011W","below threshold","15.52","3.65925","cell periphery","68.8719","cell periphery,vacuole","125.757","below threshold","20.7066","cell periphery,punctate","36.621","cytosol","17.69","1.13","0","5.83","cytosol","15.2","0.97","0","3.38","cytosol","14.6","0.94","0","","below threshold","below threshold","14.5301","0.935749","0","1.84733","Plasma membrane ATP-binding cassette (ABC) transporter, multidrug transporter involved in multidrug resistance and resistance to singlet oxygen species"
"PDR15","YDR406W","cytosol","20.86","","cell periphery","99.5919","cell periphery,vacuole","115.446","cell periphery","23.771","cell periphery,punctate","41.6763","cytosol","22.86","1.09","0","","cytosol","18.25","0.87","0","","cytosol","18.34","0.87","0","","","","","","","","Plasma membrane ATP binding cassette (ABC) transporter, multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p, Pdr3p and Pdr8p; promoter contains a PDR responsive element"
"FAT1","YBR041W","","","","cell periphery,ER,punctate","103.123","ER,punctate","151.832","punctate","29.0444","punctate","34.7019","","","","","","","","","","","","","","","","","","","","","",""
