,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
YER038C,-5.9799999999999995,-4.989999999999999,-4.51,-5.970000000000001,-7.394999999999999,-5.12,-7.160000000000001,-6.034999999999999,-6.38,-4.315,-3.7199999999999998,-3.8900000000000006,-3.9549999999999996,-2.135,-2.7750000000000004,-3.7250000000000005,-5.09,-6.63,-5.744999999999999,-5.205,-5.8199999999999985,-5.9750000000000005,-6.654999999999999,-4.619999999999999,-3.3600000000000003,-1.4200000000000002,-1.75,-1.725,-3.1800000000000006,-3.2600000000000002,-2.5949999999999998
YBL054W,-3.955000000000001,-3.9699999999999998,-4.339999999999999,-5.219999999999999,-4.319999999999999,-3.2,-2.16,-1.1400000000000001,-1.05,-1.34,-1.605,-1.47,-1.1400000000000001,-1.445,-2.34,-2.005,-2.715,-4.624999999999999,-3.275,-4.58,-5.230000000000001,-5.46,-5.28,-3.5199999999999996,-1.7450000000000003,-3.3849999999999993,-3.375000000000001,-3.575,-6.114999999999999,-2.755,-1.8399999999999999
YDR162C,-1.04,-0.7,-2.5400000000000005,-2.395,-3.2049999999999996,-4.220000000000001,-4.409999999999999,-4.34,-5.385,-4.505,-3.8549999999999995,-2.7299999999999995,-2.195,-1.3699999999999999,-2.025,-1.8699999999999999,-2.48,-3.005,-3.7449999999999997,-5.795,-5.770000000000001,-6.62,-3.085,-3.185,-4.4399999999999995,-5.8549999999999995,-3.245,-1.01,-0.7300000000000001,-2.39,-3.810000000000001
YER056C,-2.995,-1.9299999999999997,-2.9050000000000002,-4.9,-4.975,-4.145,-4.049999999999999,-3.965,-6.050000000000001,-5.535,-2.5550000000000006,-4.075000000000001,-8.124999999999998,-3.6799999999999997,-5.745000000000001,-5.6800000000000015,-3.2800000000000002,-3.3200000000000003,-4.7,-5.789999999999999,-5.015,-3.2399999999999998,-2.59,-2.9999999999999996,-2.88,-5.935,-7.359999999999999,-7.075,-5.1450000000000005,-7.154999999999999,-9.17
YAL039C,-9.42,-7.18,-6.105000000000001,-8.745000000000001,-11.865,-9.175,-8.305000000000001,-6.919999999999999,-4.534999999999999,-3.8999999999999995,-5.65,-8.42,-6.165000000000001,-4.41,-1.4400000000000002,-4.244999999999999,-5.489999999999999,-9.614999999999998,-7.945,-7.424999999999999,-6.9399999999999995,-5.9350000000000005,-3.6650000000000005,-2.8399999999999994,-8.754999999999999,-8.02,-5.534999999999999,-5.289999999999999,-4.619999999999999,-3.2700000000000005,-4.905000000000001
YFR041C,-6.04,-7.465000000000001,-5.520000000000001,-4.1899999999999995,-3.7749999999999995,-2.0300000000000002,-2.305,-2.9450000000000003,-1.3499999999999999,-1.3150000000000002,-1.5450000000000002,-1.5399999999999998,-1.3099999999999998,-1.7900000000000003,-1.7550000000000001,-1.9100000000000001,-1.44,-1.5500000000000003,-1.7550000000000001,-2.4149999999999996,-1.4300000000000002,-1.7099999999999997,-1.8299999999999996,-2.325,-2.79,-2.585,-2.42,-1.5399999999999998,-1.8150000000000002,-2.075,-1.9550000000000005
YOR288C,-1.725,-2.1949999999999994,-3.41,-5.405,-2.91,-2.87,-1.9100000000000001,-1.8450000000000002,-2.89,-3.87,-2.4699999999999998,-1.54,-2.21,-3.1149999999999993,-7.590000000000001,-6.760000000000001,-5.715,-4.99,-2.65,-4.715,-5.589999999999998,-8.795000000000002,-7.8149999999999995,-6.5200000000000005,-4.55,-2.735,-3.1399999999999997,-3.7599999999999993,-3.5900000000000007,-3.595,-6.285
YGR180C,-4.2299999999999995,-4.09,-4.635,-1.685,-0.985,-2.165,-3.2599999999999993,-5.865,-5.135000000000001,-1.47,-3.225,-3.4299999999999997,-4.049999999999999,-6.640000000000001,-7.235000000000001,-5.675,-4.6850000000000005,-2.87,-2.69,-2.4200000000000004,-2.0450000000000004,-4.59,-5.650000000000001,-3.750000000000001,-4.359999999999999,-4.8549999999999995,-3.5100000000000002,-3.0100000000000002,-2.48,-2.1350000000000002,-3.2449999999999997
YLR187W,-5.5200000000000005,-6.8549999999999995,-1.925,-1.485,-2.335,-3.685,-3.3599999999999994,-2.545,-5.75,-5.6899999999999995,-7.495,-5.365,-3.4400000000000004,-2.96,-1.9800000000000004,-3.4449999999999994,-5.895000000000001,-2.58,-3.435,-5.414999999999999,-6.385000000000001,-6.675000000000002,-3.2600000000000002,-4.2,-6.45,-5.7299999999999995,-4.83,-3.8850000000000002,-2.8450000000000006,-2.125,-4.8950000000000005
YHL042W,-3.71,-3.405,-3.72,-3.59,-3.8649999999999998,-3.12,-2.774999999999999,-2.6599999999999997,-3.165,-5.155,-3.8850000000000002,-4.885,-5.7700000000000005,-5.82,-7.3549999999999995,-6.345000000000001,-3.9900000000000007,-1.7400000000000002,-2.585,-4.194999999999999,-5.055,-4.420000000000001,-2.5149999999999997,-2.8449999999999998,-3.3,-4.17,-4.7,-4.98,-7.039999999999999,-4.66,-4.760000000000001
