ORF,FOP,instability index
YAL001C,0.42,31.78
YAL002W,0.46,42.28
YAL003W,0.88,41.79
YAL005C,0.89,31.9
YAL007C,0.59,33.28
YAL008W,0.45,33.4
YAL009W,0.45,51.52
YAL010C,0.4,35.65
YAL011W,0.49,60.26
YAL012W,0.78,30.26
YAL013W,0.48,58.69
YAL014C,0.43,46.66
YAL015C,0.47,49.0
YAL016W,0.5,41.8
YAL017W,0.43,43.04
YAL018C,0.49,38.16
YAL019W,0.48,45.48
YAL020C,0.36,31.54
YAL021C,0.5,44.07
YAL022C,0.5,36.15
YAL023C,0.62,38.19
YAL024C,0.42,52.9
YAL025C,0.57,58.93
YAL026C,0.52,36.1
YAL027W,0.43,49.95
YAL028W,0.42,56.79
YAL029C,0.49,41.67
YAL030W,0.49,52.64
YAL031C,0.45,55.82
YAL032C,0.51,39.95
YAL033W,0.42,48.9
YAL034W-A,0.39,34.43
YAL035W,0.69,48.79
YAL036C,0.6,36.06
YAL037W,0.39,48.02
YAL038W,0.96,23.07
YAL039C,0.47,61.33
YAL040C,0.57,52.62
YAL041W,0.45,50.46
YAL042W,0.48,33.3
YAL043C,0.5,50.46
YAL044C,0.53,45.4
YAL045C,0.46,36.04
YAL046C,0.49,59.2
YAL047C,0.46,54.73
YAL048C,0.46,38.5
YAL049C,0.5,37.01
YAL051W,0.46,44.19
YAL053W,0.54,28.36
YAL054C,0.62,34.44
YAL055W,0.36,45.92
YAL056W,0.41,43.85
YAL058W,0.44,31.46
YAL059W,0.54,34.68
YAL060W,0.59,35.99
YAL061W,0.52,32.75
YAL062W,0.54,24.46
YAL063C,0.65,32.14
YAL064W,0.41,43.42
YAL066W,0.42,51.71
YAL067C,0.51,35.51
YAR002W,0.46,58.71
YAR003W,0.45,43.52
YAR007C,0.55,28.43
YAR008W,0.43,36.57
YAR009C,0.48,49.27
YAR010C,0.46,52.73
YAR014C,0.4,56.55
YAR015W,0.61,34.74
YAR018C,0.47,49.64
YAR019C,0.48,45.26
YAR020C,0.78,16.85
YAR023C,0.42,24.47
YAR027W,0.44,32.13
YAR028W,0.45,41.6
YAR029W,0.39,58.09
YAR031W,0.4,43.53
YAR033W,0.44,45.52
YAR035W,0.5,36.69
YAR042W,0.53,41.32
YAR047C,0.38,43.16
YAR050W,0.67,30.11
YAR053W,0.34,32.16
YAR060C,0.43,69.83
YAR061W,,
YAR064W,0.42,33.42
YAR068W,0.28,59.92
YAR069C,0.43,14.5
YAR070C,0.41,24.79
YAR071W,0.68,28.3
YAR073W,0.65,31.54
YBL001C,0.56,28.57
YBL002W,0.82,36.84
YBL003C,0.79,53.03
YBL004W,0.47,42.52
YBL005W,0.47,45.66
YBL006C,0.32,57.4
YBL007C,0.54,49.72
YBL008W,0.43,42.38
YBL009W,0.45,49.19
YBL010C,0.43,56.57
YBL011W,0.53,54.23
YBL012C,0.38,43.61
YBL013W,0.41,36.05
YBL014C,0.42,50.44
YBL015W,0.62,33.86
YBL016W,0.47,44.34
YBL017C,0.47,35.1
YBL018C,0.49,34.8
YBL019W,0.43,35.33
YBL020W,0.49,34.87
YBL021C,0.42,55.67
YBL022C,0.54,40.75
YBL023C,0.52,52.94
YBL024W,0.6,40.2
YBL025W,0.41,44.07
YBL026W,0.52,42.71
YBL027W,0.93,41.58
YBL028C,0.55,37.28
YBL029W,0.42,58.82
YBL030C,0.8,25.94
YBL031W,0.47,52.23
YBL032W,0.58,45.61
YBL033C,0.46,31.31
YBL034C,0.46,43.72
YBL035C,0.47,43.53
YBL036C,0.56,26.65
YBL037W,0.47,39.66
YBL038W,0.51,30.28
YBL039C,0.65,34.76
YBL040C,0.54,32.56
YBL041W,0.51,29.08
YBL042C,0.54,30.2
YBL043W,0.51,52.29
YBL044W,0.45,50.3
YBL045C,0.66,30.7
YBL046W,0.39,47.69
YBL047C,0.54,47.89
YBL048W,0.46,30.68
YBL049W,0.5,56.89
YBL050W,0.45,29.81
YBL051C,0.54,53.69
YBL052C,0.42,56.48
YBL053W,0.39,77.37
YBL054W,0.47,55.18
YBL055C,0.43,36.86
YBL056W,0.48,39.51
YBL057C,0.47,40.16
YBL058W,0.47,41.68
YBL059W,0.41,39.25
YBL060W,0.47,43.11
YBL061C,0.4,40.81
YBL062W,0.42,45.06
YBL063W,0.46,46.84
YBL064C,0.56,37.0
YBL065W,0.4,39.34
YBL066C,0.47,44.79
YBL067C,0.45,46.42
YBL068W,0.53,34.05
YBL069W,0.51,36.3
YBL070C,0.43,28.89
YBL071C,0.42,47.91
YBL072C,0.91,52.24
YBL073W,0.4,48.28
YBL074C,0.45,33.21
YBL075C,0.52,29.57
YBL076C,0.65,34.8
YBL077W,0.4,58.75
YBL078C,0.51,38.85
YBL079W,0.48,41.82
YBL080C,0.47,41.06
YBL081W,0.55,62.44
YBL082C,0.47,42.24
YBL083C,0.52,51.35
YBL084C,0.41,44.9
YBL085W,0.45,58.98
YBL086C,0.43,32.41
YBL087C,0.87,31.88
YBL088C,0.42,38.62
YBL089W,0.41,42.41
YBL090W,0.48,54.12
YBL091C,0.57,33.13
YBL092W,0.94,43.33
YBL093C,0.43,52.11
YBL094C,0.45,37.07
YBL095W,0.44,37.58
YBL096C,0.41,35.07
YBL097W,0.44,35.1
YBL098W,0.49,39.78
YBL099W,0.78,34.25
YBL100C,0.45,43.08
YBL101C,0.44,48.47
YBL102W,0.46,46.76
YBL103C,0.46,54.5
YBL104C,0.46,39.42
YBL105C,0.5,47.42
YBL106C,0.45,34.86
YBL107C,0.39,36.76
YBL108W,0.4,51.97
YBR001C,0.42,42.11
YBR002C,0.42,38.65
YBR003W,0.47,46.08
YBR004C,0.47,37.95
YBR005W,0.39,55.46
YBR006W,0.55,29.98
YBR007C,0.4,45.44
YBR008C,0.49,40.14
YBR009C,0.89,50.02
YBR010W,0.86,46.21
YBR011C,0.83,23.49
YBR012C,0.36,41.02
YBR013C,0.39,41.3
YBR014C,0.48,41.57
YBR015C,0.51,29.85
YBR016W,0.48,63.29
YBR017C,0.46,42.98
YBR018C,0.52,47.8
YBR019C,0.52,27.09
YBR020W,0.54,37.68
YBR021W,0.53,39.05
YBR022W,0.4,42.64
YBR023C,0.49,38.76
YBR024W,0.47,50.39
YBR025C,0.8,35.72
YBR026C,0.52,29.83
YBR027C,0.41,38.37
YBR028C,0.46,40.61
YBR029C,0.52,21.5
YBR030W,0.46,48.37
YBR031W,0.96,32.95
YBR032W,0.41,33.03
YBR033W,0.43,49.1
YBR034C,0.6,38.11
YBR035C,0.62,33.38
YBR036C,0.53,35.56
YBR037C,0.43,29.07
YBR038W,0.52,43.16
YBR039W,0.68,34.38
YBR040W,0.44,44.14
YBR041W,0.53,35.77
YBR042C,0.45,33.68
YBR043C,0.46,36.64
YBR044C,0.45,40.5
YBR045C,0.41,50.16
YBR046C,0.51,29.37
YBR047W,0.47,38.27
YBR048W,0.92,53.32
YBR049C,0.49,46.84
YBR050C,0.45,46.04
YBR051W,0.45,54.37
YBR052C,0.49,27.89
YBR053C,0.48,40.88
YBR054W,0.77,44.18
YBR055C,0.41,42.23
YBR056W,0.5,31.5
YBR057C,0.42,44.06
YBR058C,0.47,40.77
YBR059C,0.48,56.14
YBR060C,0.47,42.8
YBR061C,0.43,44.8
YBR062C,0.45,60.72
YBR063C,0.43,44.79
YBR064W,0.36,39.5
YBR065C,0.4,42.09
YBR066C,0.42,42.39
YBR067C,0.8,43.75
YBR068C,0.52,33.68
YBR069C,0.51,36.15
YBR070C,0.44,20.72
YBR071W,0.49,71.45
YBR072W,0.65,47.83
YBR073W,0.45,41.75
YBR074W,0.43,36.77
YBR076W,0.46,37.13
YBR077C,0.49,30.68
YBR078W,0.85,32.61
YBR079C,0.69,49.87
YBR080C,0.53,37.12
YBR081C,0.45,44.13
YBR082C,0.64,48.11
YBR083W,0.46,57.82
YBR084W,0.57,35.76
YBR085W,0.55,19.14
YBR086C,0.5,36.44
YBR087W,0.46,39.8
YBR088C,0.58,27.03
YBR089W,0.44,42.2
YBR090C,0.39,59.85
YBR091C,0.31,50.71
YBR092C,0.69,30.58
YBR093C,0.75,31.28
YBR094W,0.49,35.77
YBR095C,0.49,60.86
YBR096W,0.55,37.71
YBR097W,0.45,40.34
YBR098W,0.39,51.42
YBR099C,0.42,20.38
YBR101C,0.49,46.0
YBR102C,0.43,49.73
YBR103W,0.41,28.69
YBR104W,0.47,31.08
YBR105C,0.46,46.8
YBR106W,0.82,41.04
YBR107C,0.48,30.52
YBR108W,0.45,69.35
YBR109C,0.54,43.95
YBR110W,0.44,36.9
YBR111C,0.59,45.09
YBR112C,0.54,61.71
YBR113W,0.49,40.96
YBR114W,0.49,52.05
YBR115C,0.55,28.38
YBR116C,0.42,54.45
YBR117C,0.54,35.19
YBR118W,0.95,30.21
YBR119W,0.43,46.45
YBR120C,0.43,32.97
YBR121C,0.7,34.11
YBR122C,0.53,53.09
YBR123C,0.43,39.67
YBR124W,0.47,40.44
YBR125C,0.48,32.09
YBR126C,0.57,34.37
YBR127C,0.72,33.49
YBR128C,0.4,39.62
YBR129C,0.44,26.55
YBR130C,0.45,51.86
YBR131W,0.44,42.28
YBR132C,0.48,37.02
YBR133C,0.47,48.16
YBR134W,0.41,31.94
YBR135W,0.53,74.89
YBR136W,0.45,38.77
YBR137W,0.47,51.61
YBR138C,0.42,53.38
YBR139W,0.46,40.5
YBR140C,0.45,43.77
YBR141C,0.45,41.17
YBR142W,0.49,38.27
YBR143C,0.64,25.26
YBR144C,0.41,50.87
YBR145W,0.62,29.12
YBR146W,0.47,49.71
YBR147W,0.43,38.88
YBR148W,0.47,39.82
YBR149W,0.58,34.49
YBR150C,0.41,48.82
YBR151W,0.46,39.94
YBR152W,0.46,50.14
YBR153W,0.39,44.62
YBR154C,0.62,53.17
YBR155W,0.52,42.02
YBR156C,0.43,54.56
YBR157C,0.43,59.91
YBR158W,0.43,50.72
YBR159W,0.58,35.85
YBR160W,0.51,27.48
YBR161W,0.44,50.64
YBR162C,0.69,44.98
YBR163W,0.41,35.63
YBR164C,0.52,39.03
YBR165W,0.41,50.51
YBR166C,0.45,34.65
YBR167C,0.5,42.31
YBR168W,0.41,47.36
YBR169C,0.52,31.8
YBR170C,0.45,35.63
YBR171W,0.5,41.27
YBR172C,0.49,46.52
YBR173C,0.52,42.81
YBR174C,0.42,48.76
YBR175W,0.38,35.86
YBR176W,0.48,37.28
YBR177C,0.48,32.51
YBR178W,0.37,41.4
YBR179C,0.46,43.09
YBR180W,0.45,40.42
YBR181C,0.94,37.15
YBR182C,0.43,57.34
YBR183W,0.47,35.52
YBR184W,0.41,50.47
YBR185C,0.45,44.44
YBR186W,0.4,36.09
YBR187W,0.53,30.4
YBR188C,0.38,34.66
YBR189W,0.95,51.48
YBR190W,0.45,65.33
YBR191W,0.9,36.39
YBR192W,0.45,33.86
YBR193C,0.49,48.71
YBR194W,0.48,54.13
YBR195C,0.44,32.26
YBR196C,0.87,27.18
YBR197C,0.43,44.71
YBR198C,0.44,42.58
YBR199W,0.43,44.32
YBR200W,0.47,36.62
YBR201W,0.44,38.67
YBR202W,0.52,42.96
YBR203W,0.48,47.04
YBR204C,0.42,34.05
YBR205W,0.53,38.32
YBR206W,0.4,42.83
YBR207W,0.51,42.66
YBR208C,0.54,37.21
YBR209W,0.38,35.29
YBR210W,0.42,32.06
YBR211C,0.41,41.01
YBR212W,0.44,53.08
YBR213W,0.47,33.57
YBR214W,0.53,54.32
YBR215W,0.46,46.69
YBR216C,0.45,36.69
YBR217W,0.44,65.03
YBR218C,0.67,34.01
YBR219C,0.4,36.71
YBR220C,0.45,31.18
YBR221C,0.7,31.39
YBR222C,0.58,31.08
YBR223C,0.44,49.46
YBR224W,0.4,37.71
YBR225W,0.44,58.31
YBR226C,0.38,50.73
YBR227C,0.5,32.87
YBR228W,0.43,42.61
YBR229C,0.5,38.04
YBR230C,0.56,42.44
YBR231C,0.47,67.67
YBR232C,0.43,42.64
YBR233W,0.48,51.67
YBR234C,0.55,28.46
YBR235W,0.45,39.25
YBR236C,0.48,54.7
YBR237W,0.45,47.93
YBR238C,0.57,40.53
YBR239C,0.48,45.0
YBR240C,0.43,45.82
YBR241C,0.51,36.94
YBR242W,0.49,20.86
YBR243C,0.46,32.97
YBR244W,0.52,25.49
YBR245C,0.51,40.68
YBR246W,0.41,41.92
YBR247C,0.53,43.66
YBR248C,0.51,35.41
YBR249C,0.8,34.81
YBR250W,0.45,50.48
YBR251W,0.45,35.78
YBR252W,0.59,16.41
YBR253W,0.43,34.66
YBR254C,0.4,42.71
YBR255W,0.42,47.34
YBR256C,0.55,44.28
YBR257W,0.41,36.8
YBR258C,0.47,48.74
YBR259W,0.43,40.75
YBR260C,0.5,46.68
YBR261C,0.51,29.71
YBR262C,0.43,23.58
YBR263W,0.67,34.77
YBR264C,0.36,37.34
YBR265W,0.52,43.8
YBR266C,0.44,44.78
YBR267W,0.55,55.65
YBR268W,0.42,52.65
YBR269C,0.42,34.58
YBR270C,0.4,50.77
YBR271W,0.37,31.19
YBR272C,0.45,39.12
YBR273C,0.48,33.04
YBR274W,0.46,37.96
YBR275C,0.42,47.33
YBR276C,0.42,39.8
YBR277C,0.43,39.51
YBR278W,0.43,63.23
YBR279W,0.5,54.33
YBR280C,0.44,42.81
YBR281C,0.51,40.51
YBR282W,0.46,20.53
YBR283C,0.63,29.03
YBR284W,0.41,45.61
YBR285W,0.46,54.88
YBR286W,0.69,34.55
YBR287W,0.56,37.93
YBR288C,0.41,30.55
YBR289W,0.47,63.08
YBR290W,0.4,47.83
YBR291C,0.49,23.36
YBR292C,0.46,57.52
YBR293W,0.41,34.08
YBR294W,0.46,35.0
YBR295W,0.51,42.71
YBR296C,0.63,34.23
YBR297W,0.43,48.26
YBR298C,0.51,39.34
YBR299W,0.56,30.0
YBR300C,0.38,54.84
YBR301W,0.89,17.01
YBR302C,0.47,37.83
YCL001W,0.54,42.74
YCL002C,0.37,35.25
YCL004W,0.43,43.2
YCL005W,0.41,37.69
YCL007C,0.48,49.42
YCL008C,0.46,52.84
YCL009C,0.66,57.04
YCL010C,0.44,42.16
YCL011C,0.51,44.4
YCL014W,0.44,44.95
YCL016C,0.47,41.16
YCL017C,0.61,33.89
YCL018W,0.74,32.6
YCL019W,0.47,46.59
YCL020W,0.52,48.82
YCL022C,0.37,41.86
YCL023C,0.52,38.46
YCL024W,0.42,51.35
YCL025C,0.64,34.97
YCL027W,0.42,48.22
YCL028W,0.58,43.67
YCL029C,0.48,55.02
YCL030C,0.63,36.5
YCL031C,0.46,35.02
YCL032W,0.48,55.1
YCL033C,0.52,53.7
YCL034W,0.43,47.05
YCL035C,0.58,40.5
YCL036W,0.42,32.23
YCL037C,0.66,68.18
YCL038C,0.46,28.05
YCL039W,0.49,43.66
YCL040W,0.57,34.79
YCL041C,0.44,43.77
YCL042W,0.37,52.59
YCL043C,0.76,40.03
YCL044C,0.48,43.37
YCL045C,0.47,34.16
YCL046W,0.49,47.5
YCL047C,0.39,34.55
YCL048W,0.51,43.89
YCL049C,0.48,38.41
YCL050C,0.65,44.08
YCL051W,0.42,62.56
YCL052C,0.43,40.3
YCL054W,0.57,42.79
YCL055W,0.51,51.67
YCL056C,0.35,20.63
YCL057W,0.52,34.22
YCL058C,0.53,26.79
YCL059C,0.56,54.15
YCL061C,0.44,44.18
YCL063W,0.44,62.31
YCL064C,0.51,35.69
YCL065W,0.46,27.77
YCL066W,0.43,31.64
YCL067C,0.41,43.01
YCL068C,0.45,56.33
YCL069W,0.47,31.33
YCL073C,0.46,38.33
YCL074W,0.48,39.07
YCL075W,0.5,46.05
YCL076W,0.48,60.17
YCL026C-A,0.66,48.89
YCR001W,0.36,32.98
YCR002C,0.52,41.06
YCR003W,0.5,59.24
YCR004C,0.58,39.43
YCR005C,0.5,31.48
YCR006C,0.38,46.38
YCR007C,0.43,28.94
YCR008W,0.46,50.1
YCR009C,0.55,41.56
YCR010C,0.58,32.73
YCR011C,0.45,41.32
YCR012W,0.94,22.95
YCR013C,0.4,34.08
YCR014C,0.45,47.55
YCR015C,0.45,29.93
YCR016W,0.48,46.84
YCR017C,0.49,31.62
YCR018C,0.47,48.92
YCR019W,0.42,41.47
YCR020C,0.53,32.99
YCR020C-A,0.48,45.3
YCR021C,0.58,29.25
YCR022C,0.41,87.12
YCR023C,0.45,44.13
YCR024C,0.46,41.71
YCR024C-A,0.9,41.79
YCR025C,0.37,30.92
YCR026C,0.41,41.43
