,ORF,gene_length,gene_distance_to_end_of_chromosome_near_end,gene_distance_to_end_of_chromosome_far_end
0,YHR199C-A,288,0.10918035714285712,0.10969464285714281
1,YCL012C,471,0.316615625,0.3180875
2,YCL005W-A,394,0.334446875,0.335678125
3,YPR159C-A,101,0.09430421052631577,0.0944105263157895
4,YPR108W-A,212,0.21643684210526315,0.21665999999999996
5,YPL038W-A,191,0.49434736842105265,0.4945484210526315
6,YPL119C-A,263,0.3410768421052632,0.3413536842105263
7,YPL152W-A,98,0.27852736842105263,0.2786305263157895
8,YPL189C-A,206,0.19821684210526316,0.19843368421052632
9,YOR394C-A,167,0.005167889908256895,0.00532110091743121
10,YOR381W-A,167,0.02881834862385324,0.028971559633027555
11,YOR376W-A,155,0.04096422018348622,0.041106422018348576
12,YOR316C-A,209,0.16703486238532106,0.16722660550458712
13,YOR293C-A,149,0.20353577981651372,0.2036724770642202
14,YOR192C-C,236,0.3539220183486238,0.3541385321100917
15,YOR161C-C,146,0.41351559633027524,0.4136495412844037
16,YOR072W-B,161,0.42612018348623854,0.42626788990825687
17,YOR034C-A,242,0.36461100917431194,0.3648330275229358
18,YOR032W-A,200,0.35979449541284403,0.3599779816513761
19,YOR020W-A,272,0.34099541284403667,0.34124495412844036
20,YOR011W-A,206,0.3262862385321101,0.32647522935779816
21,YOL013W-A,191,0.2761908256880734,0.2763660550458716
22,YOL019W-A,152,0.2646064220183486,0.26474587155963303
23,YOL038C-A,95,0.23387614678899082,0.23396330275229357
24,YOL097W-A,185,0.12497247706422018,0.12514220183486238
25,YOL155W-A,134,0.024846788990825687,0.0249697247706422
26,YOL164W-A,182,0.0037889908256880734,0.0039559633027522936
27,YOL166W-A,155,0.000536697247706422,0.0006788990825688073
28,YNR075C-A,92,-0.0020551282051282094,-0.001937179487179419
29,YNL024C-A,218,0.24766538461538457,0.2479448717948718
30,YNL042W-B,257,0.29824230769230764,0.29857179487179486
31,YNL067W-B,140,0.35954102564102564,0.35972051282051287
32,YNL097C-B,122,0.43471666666666664,0.434873076923077
33,YNL130C-A,146,0.48877820512820513,0.48896538461538464
34,YNL138W-A,379,0.469275641025641,0.46976153846153845
35,YNL146C-A,194,0.4504974358974359,0.45074615384615385
36,YNL277W-A,188,0.14958846153846153,0.1498294871794872
37,YMR315W-A,107,0.0169652173913043,0.017081521739130467
38,YMR272W-B,107,0.11826630434782603,0.1183826086956522
39,YMR247W-A,143,0.1636684782608696,0.1638239130434782
40,YMR242W-A,89,0.18001630434782612,0.18011304347826085
41,YMR230W-A,188,0.20276630434782605,0.20297065217391308
42,YMR194C-B,293,0.2903413043478261,0.2906597826086956
43,YMR182W-A,86,0.3196782608695652,0.3197717391304348
44,YMR175W-A,194,0.3353184782608696,0.335529347826087
45,YMR105W-A,194,0.4801554347826087,0.4803663043478261
46,YMR030W-A,290,0.36664347826086957,0.3669586956521739
47,YMR001C-A,230,0.29494239130434785,0.2951923913043478
48,YML054C-A,158,0.18219891304347827,0.18237065217391304
49,YML100W-A,173,0.07623695652173913,0.076425
50,YLR466C-B,116,0.007677777777777783,0.007785185185185228
51,YLR412C-A,206,0.1199351851851852,0.12012592592592597
52,YLR406C-A,149,0.13670925925925925,0.13684722222222223
53,YLR361C-A,296,0.21326111111111112,0.21353518518518522
54,YLR342W-A,173,0.2444601851851852,0.24462037037037032
55,YLR307C-A,263,0.3082287037037037,0.30847222222222226
56,YLR285C-A,170,0.3441296296296297,0.344287037037037
57,YLR264C-A,116,0.3759759259259259,0.3760833333333333
58,YLR162W-A,188,0.45408055555555554,0.45425462962962965
59,YLR159C-A,131,0.4497333333333333,0.44985462962962963
60,YLR157C-C,131,0.44635185185185183,0.44647314814814815
61,YLR157W-E,164,0.44617962962962965,0.4463314814814815
62,YLR157W-D,212,0.44052314814814814,0.44071944444444444
63,YLR156C-A,131,0.43748148148148147,0.4376027777777778
64,YLR154C-H,131,0.4341,0.4342212962962963
65,YLR154C-G,149,0.428262037037037,0.4284
66,YLR154C-G,176,0.4267814814814815,0.429925
67,YLL006W-A,170,0.12624444444444444,0.1264074074074074
68,YLL066W-B,341,0.005189814814814815,0.005347222222222222
69,YKR095W-A,236,0.06589999999999996,0.06640895522388057
70,YKL068W-A,149,0.46097014925373136,0.4613223880597015
71,YKL096C-B,212,0.386144776119403,0.3863671641791045
72,YKL183C-A,50,0.14686567164179104,0.1471820895522388
73,YJR151W-A,378,0.04327199999999998,0.043338666666666636
74,YJR112W-A,281,0.14922133333333332,0.14972533333333338
75,YJR005C-A,134,0.4017693333333333,0.40214399999999995
76,YJL047C-A,98,0.4652813333333333,0.46546
