Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"VPS8","YAL002W","punctate","19.55","5.73279","punctate","68.4383","punctate","49.844","punctate","21.1228","below threshold","31.9132","punctate","22.86","1.16","0","7.63","punctate","22.54","1.15","0","3.93","punctate","20.96","1.07","0","","punctate","punctate","17.1147","0.874906","0","4.01098","Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif"
"SYN8","YAL014C","","","","punctate","88.1887","punctate,vacuole","148.293","punctate","22.3677","punctate","45.2018","","","","","","","","","","","","","","","","","","","","","",""
"PEX32","YBR168W","punctate","17.59","","punctate","30.5407","below threshold","9.40676","below threshold","19.497","below threshold","28.0146","punctate","21.24","1.2","0","","punctate","19.3","1.09","0","","punctate","24.45","1.38","0","","","","","","","","Peroxisomal integral membrane protein, involved in negative regulation of peroxisome size; partially functionally redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p"
"LDS1","YAL018C","","","","punctate","112.38","punctate","195.118","below threshold","17.2763","punctate","35.1517","","","","","","","","","","","","","","","","","","","","","","Putative protein of unknown function"
"FUN26","YAL022C","","","","punctate,vacuole membrane","80.729","punctate,vacuole membrane","96.6356","punctate,vacuole membrane","29.1808","punctate,vacuole membrane","44.9841","","","","","","","","","","","","","","","","","","","","","",""
"SEC66","YBR171W","ER","66.49","18.6224","ER,punctate","63.2593","ER,punctate","44.1934","ER","51.3937","below threshold","27.7502","ER","102.01","1.53","1","28.49","ER","63.53","0.95","0","11.44","ER","56.47","0.84","0","","ER","ER","61.8942","0.930748","0","10.0631","Non-essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p); with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER"
"DRS2","YAL026C","punctate","35.98","9.29317","ER,punctate","87.2838","ER","94.0487","punctate","29.2221","ER,punctate","40.8051","punctate","46.46","1.29","0","11.63","punctate","40.99","1.13","0","7.89","punctate","32.89","0.91","0","","punctate","punctate","29.6316","0.823449","0","3.72098","Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease"
"KTR4","YBR199W","vacuole","19.89","5.81774","punctate,vacuole membrane","64.3511","vacuole membrane","102.905","vacuole membrane","38.6405","below threshold","26.9885","vacuole","19.32","0.97","0","7.58","vacuole","16.39","0.82","0","3.52","vacuole","28.63","1.43","0","","vacuole","vacuole","17.257","0.867366","0","2.56562","Putative mannosyltransferase involved in protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family"
"SNC1","YAL030W","","","","punctate,bud","98.2949","cell periphery,vacuole,bud","164.718","bud","24.9122","bud","41.5201","","","","","","","","","","","","","","","","","","","","","",""
"MRX9","YDL027C","","","","ER,punctate","23.9862","punctate","9.72373","below threshold","20.4063","below threshold","26.1349","","","","","","","","","","","","","","","","","","","","","","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL027C is not an essential gene"
