Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"CDC28","YBR160W","nucleus","49.71","13.6611","nucleus","76.4636","missing","","missing","0","#N/A","","nucleus","64.55","1.29","0","24.8","nucleus","58.05","1.16","0","10.88","nucleus","53.16","1.06","0","","nucleus","nucleus","48.6333","0.978157","0","6.95487","Catalytic subunit of the main cell cycle cyclin-dependent kinase (CDK); alternately associates with G1 cyclins (CLNs) and G2/M cyclins (CLBs) which direct the CDK to specific substrates"
"NPL4","YBR170C","nucleus,cytosol","41.7","","cytosol,nucleus","87.609","cytosol,nucleus","97.9736","nucleus","45.0922","cytosol","45.6942","nucleus,cytosol","56.47","1.35","1","","nucleus,cytosol","62.26","1.49","1","","nucleus,cytosol","44.46","1.06","0","","","","","","","","Endoplasmic reticulum and nuclear membrane protein, forms a complex with Cdc48p and Ufd1p that recognizes ubiquitinated proteins in the endoplasmic reticulum and delivers them to the proteasome for degradation"
"RMD5","YDR255C","below threshold","17.83","4.66368","nucleus","54.0077","nucleus","24.0349","below threshold","15.5309","below threshold","26.9089","cytosol","21.16","1.18","0","7.64","cytosol","19.46","1.09","0","3.25","cytosol","20.27","1.13","0","","below threshold","below threshold","19.3635","1.08539","0","3.27966","Conserved protein that has an E3-like ubiquitin ligase activity necessary for polyubiquitination and degradation of the gluconeogenic enzyme fructose-1,6-bisphosphatase; also required for sporulation; has a degenerate RING finger domain"
"PRE7","YBL041W","","","","cytosol,nucleus","144.4","cytosol,nucleus","239.716","missing","0","cytosol","51.4641","","","","","","","","","","","","","","","","","","","","","",""
"SHP1","YBL058W","nucleus:cytosol","61.64","14.1435","cytosol,nucleus","119.522","cytosol,nucleus","185.484","below threshold","21.67","cytosol","43.5927","nucleus.cytosol","60.64","0.98","0","21.16","nucleus.cytosol","78.14","1.26","0","16.96","nucleus,cytosol","46.64","0.75","0","","nucleus:cytosol","nucleus:cytosol","70.1807","1.13841","0","8.20286","UBX (ubiquitin regulatory X) domain-containing protein that regulates Glc7p phosphatase activity and interacts with Cdc48p; interacts with ubiquitylated proteins in vivo and is required for degradation of a ubiquitylated model substrate"
"YBL100C","YBL100C","","","","cytosol,nucleus","50.9339","vacuole","15.1453","missing","","#N/A","","","","","","","","","","","","","","","","","","","","","","",""
"PAU24","YBR301W","below threshold","14.52","","cytosol,nucleus","55.002","below threshold","7.47469","below threshold","19.3703","below threshold","24.1707","cytosol","19.41","1.33","0","","cytosol","16.67","1.14","0","","cytosol","16.19","1.11","0","","","","","","","","Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions, completely repressed during aerobic growth"
"SPC110","YDR356W","punctate","22.84","7.05579","punctate,nucleus","81.1635","punctate,nucleus","102.261","punctate,nucleus","33.8091","punctate,nucleus","38.7221","punctate","25.18","1.1","0","8.05","punctate","23.95","1.04","0","5.08","punctate","19.96","0.87","0","","punctate","punctate","24.4583","1.07068","0","5.13559","Inner plaque spindle pole body (SPB) component, ortholog of human kendrin; involved in connecting nuclear microtubules to SPB; interacts with Tub4p-complex and calmodulin; phosphorylated by Mps1p in cell cycle-dependent manner"
"YCL002C","YCL002C","below threshold","16.46","","cytosol,nucleus","32.0218","cell periphery,punctate","16.6487","below threshold","15.2045","below threshold","25.0609","cytosol","15.82","0.96","0","","cytosol","15.59","0.94","0","","cytosol","19.27","1.17","0","","","","","","","","Putative protein of unknown function; YCL002C is not an essential gene"
"EXO84","YBR102C","bud neck","","8.02561","bud neck,nucleus","81.4991","cytosol,bud,nucleus","94.1804","punctate,bud neck","26.1077","bud","41.1045","bud neck","","","0","","technical problem","","","0","","punctate","","","","","bud neck","bud neck","","","0","","Essential protein with dual roles in spliceosome assembly and exocytosis; the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p) mediates polarized targeting of secretory vesicles to active sites of exocytosis"
"TBS1","YBR150C","below threshold","18.49","4.2543","nucleus","30.3373","nucleus","25.414","below threshold","18.8262","nucleus","25.5318","cytosol","15.51","0.83","0","5.77","cytosol","19.02","1.02","0","3.41","nucleus","17.28","0.93","0","","below threshold","below threshold","22.8436","1.23536","0","3.40837","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"SPG3","YDR504C","below threshold","17.04","3.98034","nucleus","23.9357","ER","12.5253","below threshold","16.9978","below threshold","23.6809","cytosol","17.72","1.03","0","7.35","cytosol","15.77","0.92","0","2.45","cytosol","15.73","0.92","0","","below threshold","below threshold","15.7359","0.922898","0","2.1999","Protein required for survival at high temperature during stationary phase; not required for growth on nonfermentable carbon sources"
"GRX2","YDR513W","nucleus","33.84","8.45781","punctate,nucleus","131.435","punctate,nucleus","170.815","nucleus","34.6026","below threshold","24.151","nucleus","27.56","0.81","0","10.84","nucleus","25.89","0.76","0","5.4","nucleus","18.72","0.55","-1","","nucleus","nucleus","24.7424","0.730927","0","3.65197","Cytoplasmic glutaredoxin, thioltransferase, glutathione-dependent disulfide oxidoreductase involved in maintaining redox state of target proteins, also exhibits glutathione peroxidase activity, expression induced in response to stress"
"YEL025C","YEL025C","nucleus","17.37","","nucleus","44.2941","nucleus","15.1552","below threshold","20.9015","below threshold","25.7313","nucleus","16.47","0.94","0","","nucleus","20.17","1.16","0","","nucleus","17.11","0.98","0","","","","","","","","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus"
"NUG1","YER006W","nucleus","119.25","","nucleus","58.2203","nucleus","64.3908","punctate,nucleus","25.5018","nucleus","35.822","nucleus","73.63","0.61","-1","","nucleus","93.52","0.78","0","","nucleus","41.7","0.34","-1","","","","","","","","GTPase that associates with nuclear 60S pre-ribosomes, required for export of 60S ribosomal subunits from the nucleus"
"TDH3","YGR192C","cytosol","3726.2","256.297","cytosol,nucleus","437.708","cytosol,nucleus","673.849","punctate","18.0776","nucleus","100.117","cytosol","3182.36","0.85","0","293.97","cytosol","3740.95","1","0","500.52","cytosol","3726.2","1","0","","cytosol","cytosol","3740.96","1.00396","0","348.778","Glyceraldehyde-3-phosphate dehydrogenase, isozyme 3, involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell wall"
"YHR214C-D","YHR214C-D","","","","nucleus","59.7209","ER,punctate","67.6752","below threshold","16.9951","below threshold","22.9002","","","","","","","","","","","","","","","","","","","","","",""
"YPP1","YGR198W","punctate","26.19","7.95821","cytosol,nucleus","72.3872","cytosol,nucleus","52.488","cell periphery,punctate","26.3949","cytosol","37.216","punctate","26.3","1","0","12.73","punctate","29.53","1.12","0","7.17","punctate","19.04","0.72","-1","","punctate","punctate","28.498","1.08792","0","4.83542","Cargo-transport protein involved in endocytosis; interacts with phosphatidylinositol-4-kinase Stt4; GFP-fusion protein localizes to the cytoplasm; YGR198W is an essential gene"
"CBR1","YIL043C","ER","41.73","11.3718","cytosol,nucleus","178.106","cytosol,nucleus","138.434","cytosol,nucleus","63.2068","missing","24.3636","ER","37.1","0.88","0","13.22","ER","39.97","0.95","0","7.61","ER","36.26","0.86","0","","ER","ER","41.6717","0.998169","0","6.08973","Microsomal cytochrome b reductase, not essential for viability; also detected in mitochondria; mutation in conserved NADH binding domain of the human ortholog results in type I methemoglobinemia"
"PEX21","YGR239C","punctate","29.04","","cytosol,nucleus","46.5601","cytosol","22.3292","punctate","32.8469","punctate","28.3306","punctate","21.58","0.74","-1","","punctate","29.39","1.01","0","","punctate","25.32","0.87","0","","","","","","","","Peroxin required for targeting of peroxisomal matrix proteins containing PTS2; interacts with Pex7p; partially redundant with Pex18p"
"YTA7","YGR270W","nucleus","28.44","5.87964","nucleus","88.9293","nucleus","104.437","cell periphery,nucleus","36.7586","punctate,nucleus","38.4052","nucleus","22.47","0.78","0","6.49","nucleus","31.18","1.09","0","5.91","nucleus","24.97","0.87","0","","nucleus","nucleus","24.7635","0.870379","0","2.77628","Protein that localizes to chromatin and has a role in regulation of histone gene expression; has a bromodomain-like region that interacts with the N-terminal tail of histone H3, and an ATPase domain; potentially phosphorylated by Cdc28p"
"PUP3","YER094C","","","","nucleus","173.008","cytosol,nucleus","218.808","nucleolus","164.124","nucleus","40.2902","","","","","","","","","","","","","","","","","","","","","",""
"TOG1","YER184C","","","","nucleus","67.2945","nucleus","62.2657","below threshold","13.2003","punctate,nucleus","31.8105","","","","","","","","","","","","","","","","","","","","","","Putative zinc cluster protein; deletion confers sensitivity to Calcufluor white, and prevents growth on glycerol or lactate as sole carbon source"
